date,WBA
2013-08-20,3.8000000000000003
2013-08-21,9.8
2013-08-22,4.4
2013-08-23,3.4000000000000004
2013-08-24,4.6000000000000005
2013-08-25,8.6
2013-08-26,7.0
2013-08-27,0.0
2013-08-28,5.800000000000001
2013-08-29,3.0
2013-08-30,15.200000000000001
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,11.76
2013-09-04,7.92
2013-09-05,4.8
2013-09-06,3.36
2013-09-07,0.0
2013-09-08,3.12
2013-09-09,0.0
2013-09-10,7.68
2013-09-11,9.12
2013-09-12,9.12
2013-09-13,9.84
2013-09-14,7.4399999999999995
2013-09-15,19.439999999999998
2013-09-16,11.28
2013-09-17,8.64
2013-09-18,11.76
2013-09-19,9.12
2013-09-20,6.0
2013-09-21,11.04
2013-09-22,7.92
2013-09-23,14.639999999999999
2013-09-24,6.24
2013-09-25,24.0
2013-09-26,13.44
2013-09-27,7.4399999999999995
2013-09-28,19.68
2013-09-29,7.68
2013-09-30,6.96
2013-10-01,9.61
2013-10-02,14.26
2013-10-03,5.89
2013-10-04,14.879999999999999
2013-10-05,10.85
2013-10-06,24.18
2013-10-07,12.4
2013-10-08,22.32
2013-10-09,12.4
2013-10-10,4.96
2013-10-11,0.0
2013-10-12,10.54
2013-10-13,9.61
2013-10-14,16.74
2013-10-15,6.82
2013-10-16,6.82
2013-10-17,12.09
2013-10-18,5.89
2013-10-19,11.78
2013-10-20,24.49
2013-10-21,10.85
2013-10-22,6.51
2013-10-23,31.0
2013-10-24,7.4399999999999995
2013-10-25,13.33
2013-10-26,24.18
2013-10-27,27.28
2013-10-28,13.33
2013-10-29,13.33
2013-10-30,8.06
2013-10-31,10.85
2013-11-01,9.36
2013-11-02,14.399999999999999
2013-11-03,21.599999999999998
2013-11-04,5.76
2013-11-05,14.76
2013-11-06,14.399999999999999
2013-11-07,10.799999999999999
2013-11-08,4.68
2013-11-09,24.119999999999997
2013-11-10,13.32
2013-11-11,10.08
2013-11-12,7.199999999999999
2013-11-13,3.96
2013-11-14,8.64
2013-11-15,9.719999999999999
2013-11-16,14.04
2013-11-17,19.8
2013-11-18,15.479999999999999
2013-11-19,6.4799999999999995
2013-11-20,9.36
2013-11-21,10.08
2013-11-22,2.88
2013-11-23,9.36
2013-11-24,36.0
2013-11-25,23.759999999999998
2013-11-26,6.4799999999999995
2013-11-27,8.64
2013-11-28,4.68
2013-11-29,11.879999999999999
2013-11-30,12.959999999999999
2013-12-01,14.7
2013-12-02,15.12
2013-12-03,12.18
2013-12-04,16.38
2013-12-05,4.62
2013-12-06,9.45
2013-12-07,4.41
2013-12-08,14.28
2013-12-09,10.29
2013-12-10,7.9799999999999995
2013-12-11,16.38
2013-12-12,13.229999999999999
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,11.34
2013-12-16,18.9
2013-12-17,17.43
2013-12-18,14.91
2013-12-19,7.35
2013-12-20,8.61
2013-12-21,7.9799999999999995
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,6.51
2013-12-25,0.0
2013-12-26,14.91
2013-12-27,14.7
2013-12-28,21.0
2013-12-29,0.0
2013-12-30,14.91
2013-12-31,0.0
2014-01-01,6.93
2014-01-02,0.0
2014-01-03,11.549999999999999
2014-01-04,19.529999999999998
2014-01-05,6.93
2014-01-06,5.04
2014-01-07,9.87
2014-01-08,6.93
2014-01-09,4.62
2014-01-10,5.67
2014-01-11,9.03
2014-01-12,11.549999999999999
2014-01-13,0.0
2014-01-14,8.82
2014-01-15,8.61
2014-01-16,9.24
2014-01-17,11.76
