date,NKE
2013-08-19,2.8000000000000003
2013-08-20,0.0
2013-08-21,5.68
2013-08-22,2.8000000000000003
2013-08-23,4.96
2013-08-24,2.24
2013-08-25,0.0
2013-08-26,4.96
2013-08-27,3.68
2013-08-28,4.0
2013-08-29,4.48
2013-08-30,5.76
2013-08-31,3.44
2013-09-01,0.0
2013-09-02,1.9500000000000002
2013-09-03,2.6
2013-09-04,2.73
2013-09-05,5.33
2013-09-06,2.99
2013-09-07,1.17
2013-09-08,2.47
2013-09-09,1.3
2013-09-10,4.42
2013-09-11,1.04
2013-09-12,3.38
2013-09-13,2.34
2013-09-14,7.54
2013-09-15,0.0
2013-09-16,4.42
2013-09-17,2.8600000000000003
2013-09-18,2.8600000000000003
2013-09-19,5.33
2013-09-20,2.8600000000000003
2013-09-21,1.17
2013-09-22,2.34
2013-09-23,3.9000000000000004
2013-09-24,3.12
2013-09-25,3.77
2013-09-26,13.0
2013-09-27,11.18
2013-09-28,4.16
2013-09-29,1.9500000000000002
2013-09-30,4.68
2013-10-01,10.14
2013-10-02,5.59
2013-10-03,11.05
2013-10-04,8.58
2013-10-05,0.0
2013-10-06,5.07
2013-10-07,13.0
2013-10-08,5.46
2013-10-09,5.46
2013-10-10,11.05
2013-10-11,5.46
2013-10-12,0.0
2013-10-13,2.08
2013-10-14,4.29
2013-10-15,5.33
2013-10-16,1.82
2013-10-17,5.07
2013-10-18,1.4300000000000002
2013-10-19,0.0
2013-10-20,6.76
2013-10-21,9.1
2013-10-22,10.790000000000001
2013-10-23,8.450000000000001
2013-10-24,5.59
2013-10-25,6.890000000000001
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,7.28
2013-10-29,4.29
2013-10-30,6.24
2013-10-31,2.08
2013-11-01,12.0
2013-11-02,3.96
2013-11-03,0.0
2013-11-04,9.6
2013-11-05,5.279999999999999
2013-11-06,9.6
2013-11-07,4.8
2013-11-08,10.559999999999999
2013-11-09,5.52
2013-11-10,4.56
2013-11-11,5.279999999999999
2013-11-12,10.08
2013-11-13,8.4
2013-11-14,5.16
2013-11-15,7.8
2013-11-16,0.0
2013-11-17,4.2
2013-11-18,7.4399999999999995
2013-11-19,2.52
2013-11-20,8.16
2013-11-21,7.8
2013-11-22,8.4
2013-11-23,4.92
2013-11-24,4.56
2013-11-25,6.359999999999999
2013-11-26,8.16
2013-11-27,5.16
2013-11-28,0.0
2013-11-29,8.04
2013-11-30,3.7199999999999998
2013-12-01,5.98
2013-12-02,4.68
2013-12-03,4.8100000000000005
2013-12-04,3.25
2013-12-05,5.59
2013-12-06,6.11
2013-12-07,0.0
2013-12-08,2.73
2013-12-09,6.24
2013-12-10,2.47
2013-12-11,1.69
2013-12-12,3.38
2013-12-13,8.32
2013-12-14,2.99
2013-12-15,4.29
2013-12-16,5.98
2013-12-17,4.8100000000000005
2013-12-18,5.59
2013-12-19,11.83
2013-12-20,12.09
2013-12-21,13.0
2013-12-22,1.69
2013-12-23,7.930000000000001
2013-12-24,4.29
2013-12-25,0.0
2013-12-26,3.12
2013-12-27,3.9000000000000004
2013-12-28,3.9000000000000004
2013-12-29,0.0
2013-12-30,2.08
2013-12-31,4.03
2014-01-01,0.0
2014-01-02,8.82
2014-01-03,3.2399999999999998
2014-01-04,0.0
2014-01-05,0.0
2014-01-06,3.42
2014-01-07,4.05
2014-01-08,4.14
2014-01-09,8.459999999999999
2014-01-10,0.0
2014-01-11,7.56
2014-01-12,0.0
2014-01-13,7.199999999999999
2014-01-14,6.569999999999999
2014-01-15,2.34
2014-01-16,9.0
2014-01-17,6.39
2014-01-18,0.0
2014-01-19,3.33
2014-01-20,4.41
2014-01-21,7.29
2014-01-22,1.98
2014-01-23,8.01
2014-01-24,3.78
2014-01-25,0.0
2014-01-26,5.31
2014-01-27,6.12
2014-01-28,3.96
2014-01-29,6.029999999999999
2014-01-30,5.13
2014-01-31,7.83
2014-02-01,5.720000000000001
2014-02-02,12.22
2014-02-03,13.0
2014-02-04,4.68
2014-02-05,7.54
2014-02-06,10.66
2014-02-07,12.870000000000001
2014-02-08,4.29
2014-02-09,8.19
2014-02-10,4.68
2014-02-11,3.9000000000000004
2014-02-12,5.98
2014-02-13,6.11
2014-02-14,8.19
2014-02-15,8.06
2014-02-16,3.64
2014-02-17,3.64
2014-02-18,8.19
2014-02-19,7.54
2014-02-20,9.23
2014-02-21,10.530000000000001
2014-02-22,6.24
2014-02-23,6.5
2014-02-24,6.11
2014-02-25,6.5
2014-02-26,10.14
2014-02-27,7.800000000000001
2014-02-28,10.92
2014-03-01,2.6999999999999997
2014-03-02,5.85
2014-03-03,4.35
2014-03-04,5.7
2014-03-05,5.25
2014-03-06,6.45
2014-03-07,7.35
2014-03-08,5.7
2014-03-09,2.4
2014-03-10,4.05
2014-03-11,6.3
2014-03-12,9.45
2014-03-13,6.75
2014-03-14,6.45
2014-03-15,0.0
2014-03-16,2.85
2014-03-17,7.199999999999999
2014-03-18,1.3499999999999999
2014-03-19,7.05
2014-03-20,12.45
2014-03-21,15.0
2014-03-22,0.0
2014-03-23,5.1
2014-03-24,7.05
2014-03-25,14.1
2014-03-26,6.8999999999999995
2014-03-27,6.75
2014-03-28,9.0
2014-03-29,3.4499999999999997
2014-03-30,4.5
2014-03-31,6.6
2014-04-01,8.19
2014-04-02,11.700000000000001
2014-04-03,8.32
2014-04-04,5.59
2014-04-05,3.12
2014-04-06,5.59
2014-04-07,3.38
2014-04-08,9.23
2014-04-09,5.46
2014-04-10,12.35
2014-04-11,9.49
2014-04-12,0.0
2014-04-13,3.38
2014-04-14,7.0200000000000005
2014-04-15,9.88
2014-04-16,8.58
2014-04-17,10.4
2014-04-18,4.94
2014-04-19,2.99
2014-04-20,0.0
2014-04-21,10.790000000000001
2014-04-22,1.69
2014-04-23,3.38
2014-04-24,6.76
2014-04-25,0.0
2014-04-26,4.42
2014-04-27,5.07
2014-04-28,13.0
2014-04-29,7.54
2014-04-30,8.19
2014-05-01,7.4399999999999995
2014-05-02,3.36
2014-05-03,1.92
2014-05-04,4.32
2014-05-05,7.8
2014-05-06,9.48
2014-05-07,3.48
2014-05-08,2.16
2014-05-09,3.96
2014-05-10,0.0
2014-05-11,3.2399999999999998
2014-05-12,8.4
2014-05-13,7.319999999999999
2014-05-14,9.84
2014-05-15,5.3999999999999995
2014-05-16,6.6
2014-05-17,6.359999999999999
2014-05-18,0.0
2014-05-19,5.3999999999999995
2014-05-20,7.08
2014-05-21,10.68
2014-05-22,6.12
2014-05-23,8.28
2014-05-24,5.04
2014-05-25,12.0
2014-05-26,6.24
2014-05-27,6.6
2014-05-28,4.08
2014-05-29,4.2
2014-05-30,3.0
2014-05-31,6.0
2014-06-01,3.52
2014-06-02,2.2
2014-06-03,5.61
2014-06-04,3.41
2014-06-05,0.0
2014-06-06,1.87
2014-06-07,2.53
2014-06-08,2.2
2014-06-09,3.52
2014-06-10,3.3
2014-06-11,0.0
2014-06-12,3.08
2014-06-13,5.5
2014-06-14,0.0
2014-06-15,1.76
2014-06-16,2.42
2014-06-17,1.54
2014-06-18,2.53
2014-06-19,3.74
2014-06-20,2.86
2014-06-21,0.0
2014-06-22,2.31
2014-06-23,7.81
2014-06-24,1.76
2014-06-25,3.3
2014-06-26,8.47
2014-06-27,11.0
2014-06-28,0.0
2014-06-29,1.98
2014-06-30,3.63
2014-07-01,5.39
2014-07-02,4.29
2014-07-03,7.26
2014-07-04,0.0
2014-07-05,8.91
2014-07-06,2.09
2014-07-07,0.0
2014-07-08,7.48
2014-07-09,2.53
2014-07-10,4.29
2014-07-11,3.85
2014-07-12,1.98
2014-07-13,0.0
2014-07-14,3.41
2014-07-15,4.07
2014-07-16,2.09
2014-07-17,5.72
2014-07-18,3.85
2014-07-19,4.18
2014-07-20,0.0
2014-07-21,2.2
2014-07-22,4.84
2014-07-23,3.96
2014-07-24,11.0
2014-07-25,4.29
2014-07-26,0.0
2014-07-27,2.75
2014-07-28,2.53
2014-07-29,8.25
2014-07-30,4.18
2014-07-31,4.73
2014-08-01,3.15
2014-08-02,3.69
2014-08-03,6.75
2014-08-04,2.9699999999999998
2014-08-05,6.3
2014-08-06,4.5
2014-08-07,3.78
2014-08-08,4.95
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,5.85
2014-08-12,5.3999999999999995
2014-08-13,9.0
2014-08-14,3.51
2014-08-15,7.29
2014-08-16,4.68
2014-08-17,2.07
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,4.859999999999999
2014-08-21,3.69
2014-08-22,5.04
2014-08-23,0.0
2014-08-24,2.6999999999999997
2014-08-25,4.5
2014-08-26,8.37
2014-08-27,6.75
2014-08-28,4.05
2014-08-29,6.12
2014-08-30,5.67
2014-08-31,0.0
2014-09-01,1.65
2014-09-02,1.05
2014-09-03,3.15
2014-09-04,1.95
2014-09-05,3.75
2014-09-06,1.3499999999999999
2014-09-07,0.8999999999999999
2014-09-08,3.3
2014-09-09,1.3499999999999999
2014-09-10,3.0
2014-09-11,4.95
2014-09-12,2.4
2014-09-13,1.65
2014-09-14,4.2
2014-09-15,4.05
2014-09-16,4.35
2014-09-17,1.65
2014-09-18,4.35
2014-09-19,2.55
2014-09-20,2.85
2014-09-21,2.85
2014-09-22,0.8999999999999999
2014-09-23,2.55
2014-09-24,1.95
2014-09-25,7.35
2014-09-26,15.0
2014-09-27,2.25
2014-09-28,4.8
2014-09-29,5.3999999999999995
2014-09-30,4.05
2014-10-01,15.0
2014-10-02,10.2
2014-10-03,6.8999999999999995
2014-10-04,0.0
2014-10-05,10.2
2014-10-06,7.35
2014-10-07,7.8
2014-10-08,3.5999999999999996
2014-10-09,7.8
2014-10-10,7.05
2014-10-11,4.8
2014-10-12,4.6499999999999995
2014-10-13,4.5
2014-10-14,7.05
2014-10-15,7.199999999999999
2014-10-16,9.6
2014-10-17,10.35
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,8.7
2014-10-21,9.75
2014-10-22,12.9
2014-10-23,7.199999999999999
2014-10-24,1.65
2014-10-25,5.3999999999999995
2014-10-26,5.3999999999999995
2014-10-27,3.0
2014-10-28,10.2
2014-10-29,10.5
2014-10-30,6.75
2014-10-31,7.5
2014-11-01,0.0
2014-11-02,11.48
2014-11-03,9.100000000000001
2014-11-04,12.180000000000001
2014-11-05,8.680000000000001
2014-11-06,11.200000000000001
2014-11-07,9.24
2014-11-08,4.62
2014-11-09,0.0
2014-11-10,9.100000000000001
2014-11-11,8.680000000000001
2014-11-12,6.0200000000000005
2014-11-13,9.24
2014-11-14,9.8
2014-11-15,5.180000000000001
2014-11-16,2.5200000000000005
2014-11-17,8.82
2014-11-18,11.06
2014-11-19,7.000000000000001
2014-11-20,6.86
2014-11-21,7.98
2014-11-22,0.0
2014-11-23,6.580000000000001
2014-11-24,5.6000000000000005
2014-11-25,10.22
2014-11-26,14.000000000000002
2014-11-27,5.74
2014-11-28,7.98
2014-11-29,0.0
2014-11-30,4.340000000000001
2014-12-01,8.1
2014-12-02,9.9
2014-12-03,6.45
2014-12-04,6.0
2014-12-05,7.8
2014-12-06,5.1
2014-12-07,2.1
2014-12-08,4.35
2014-12-09,6.45
2014-12-10,6.6
2014-12-11,8.549999999999999
2014-12-12,8.1
2014-12-13,5.1
2014-12-14,6.45
2014-12-15,6.0
2014-12-16,5.7
2014-12-17,8.4
2014-12-18,9.299999999999999
2014-12-19,11.549999999999999
2014-12-20,6.45
2014-12-21,5.55
2014-12-22,15.0
2014-12-23,8.1
2014-12-24,3.0
2014-12-25,4.8
2014-12-26,3.4499999999999997
2014-12-27,0.0
2014-12-28,6.1499999999999995
2014-12-29,3.15
2014-12-30,1.95
2014-12-31,3.15
2015-01-01,2.8000000000000003
2015-01-02,6.800000000000001
2015-01-03,4.1000000000000005
2015-01-04,3.0
2015-01-05,6.0
2015-01-06,5.2
2015-01-07,8.9
2015-01-08,6.6000000000000005
2015-01-09,5.9
2015-01-10,4.7
2015-01-11,0.0
2015-01-12,3.4000000000000004
2015-01-13,9.8
2015-01-14,6.0
2015-01-15,4.5
2015-01-16,2.3000000000000003
2015-01-17,5.0
2015-01-18,3.2
2015-01-19,0.0
2015-01-20,10.0
2015-01-21,3.9000000000000004
2015-01-22,8.700000000000001
2015-01-23,6.2
2015-01-24,6.1000000000000005
2015-01-25,6.300000000000001
2015-01-26,4.3
2015-01-27,6.0
2015-01-28,4.9
2015-01-29,2.3000000000000003
2015-01-30,5.300000000000001
2015-01-31,0.0
2015-02-01,0.0
2015-02-02,6.890000000000001
2015-02-03,12.22
2015-02-04,7.800000000000001
2015-02-05,12.22
2015-02-06,9.49
2015-02-07,0.0
2015-02-08,3.25
2015-02-09,9.620000000000001
2015-02-10,7.54
2015-02-11,4.68
2015-02-12,12.09
2015-02-13,13.0
2015-02-14,8.32
2015-02-15,7.28
2015-02-16,6.37
2015-02-17,10.66
2015-02-18,11.05
2015-02-19,4.42
2015-02-20,4.8100000000000005
2015-02-21,0.0
2015-02-22,2.6
2015-02-23,5.59
2015-02-24,0.0
2015-02-25,8.450000000000001
2015-02-26,9.1
2015-02-27,9.620000000000001
2015-02-28,4.68
2015-03-01,1.6800000000000002
2015-03-02,9.66
2015-03-03,5.460000000000001
2015-03-04,7.140000000000001
2015-03-05,8.4
2015-03-06,7.280000000000001
2015-03-07,0.0
2015-03-08,1.6800000000000002
2015-03-09,6.580000000000001
2015-03-10,3.3600000000000003
2015-03-11,2.66
2015-03-12,2.5200000000000005
2015-03-13,6.300000000000001
2015-03-14,3.6400000000000006
2015-03-15,0.0
2015-03-16,3.6400000000000006
2015-03-17,6.0200000000000005
2015-03-18,7.700000000000001
2015-03-19,10.360000000000001
2015-03-20,14.000000000000002
2015-03-21,6.300000000000001
2015-03-22,1.8200000000000003
2015-03-23,3.5000000000000004
2015-03-24,8.82
2015-03-25,0.0
2015-03-26,6.86
2015-03-27,7.140000000000001
2015-03-28,2.24
2015-03-29,0.0
2015-03-30,7.280000000000001
2015-03-31,4.2
2015-04-01,7.5
2015-04-02,9.299999999999999
2015-04-03,9.9
2015-04-04,10.799999999999999
2015-04-05,4.35
2015-04-06,11.1
2015-04-07,12.75
2015-04-08,8.85
2015-04-09,12.0
2015-04-10,7.5
2015-04-11,3.9
2015-04-12,5.7
2015-04-13,12.6
2015-04-14,8.1
2015-04-15,8.25
2015-04-16,4.05
2015-04-17,14.25
2015-04-18,3.9
2015-04-19,8.1
2015-04-20,8.4
2015-04-21,8.1
2015-04-22,4.05
2015-04-23,12.15
2015-04-24,15.0
2015-04-25,4.95
2015-04-26,0.0
2015-04-27,11.4
2015-04-28,4.5
2015-04-29,8.1
2015-04-30,6.75
2015-05-01,6.86
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,10.360000000000001
2015-05-05,14.000000000000002
2015-05-06,8.4
2015-05-07,9.520000000000001
2015-05-08,6.300000000000001
2015-05-09,2.5200000000000005
2015-05-10,6.300000000000001
2015-05-11,11.340000000000002
2015-05-12,4.48
2015-05-13,8.540000000000001
2015-05-14,9.520000000000001
2015-05-15,7.5600000000000005
2015-05-16,5.460000000000001
2015-05-17,6.720000000000001
2015-05-18,6.86
2015-05-19,7.5600000000000005
2015-05-20,8.82
2015-05-21,7.700000000000001
2015-05-22,6.720000000000001
2015-05-23,7.98
2015-05-24,4.48
2015-05-25,3.9200000000000004
2015-05-26,9.100000000000001
2015-05-27,3.7800000000000002
2015-05-28,8.120000000000001
2015-05-29,5.74
2015-05-30,2.1
2015-05-31,3.5000000000000004
2015-06-01,2.5500000000000003
2015-06-02,3.2300000000000004
2015-06-03,4.25
2015-06-04,2.21
2015-06-05,2.5500000000000003
2015-06-06,2.72
2015-06-07,3.91
2015-06-08,1.53
2015-06-09,4.590000000000001
2015-06-10,2.5500000000000003
2015-06-11,4.930000000000001
2015-06-12,1.53
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,4.590000000000001
2015-06-16,1.1900000000000002
2015-06-17,2.89
2015-06-18,4.25
2015-06-19,2.04
2015-06-20,4.08
2015-06-21,5.1000000000000005
2015-06-22,2.3800000000000003
2015-06-23,1.53
2015-06-24,6.12
2015-06-25,11.56
2015-06-26,17.0
2015-06-27,5.1000000000000005
2015-06-28,0.0
2015-06-29,4.25
2015-06-30,5.61
2015-07-01,14.000000000000002
2015-07-02,8.96
2015-07-03,4.340000000000001
2015-07-04,4.0600000000000005
2015-07-05,2.8000000000000003
2015-07-06,7.840000000000001
2015-07-07,13.440000000000001
2015-07-08,7.000000000000001
2015-07-09,5.040000000000001
2015-07-10,10.920000000000002
2015-07-11,4.760000000000001
2015-07-12,2.24
2015-07-13,8.4
2015-07-14,10.22
2015-07-15,7.280000000000001
2015-07-16,4.340000000000001
2015-07-17,7.140000000000001
2015-07-18,7.840000000000001
2015-07-19,3.3600000000000003
2015-07-20,11.340000000000002
2015-07-21,7.5600000000000005
2015-07-22,6.580000000000001
2015-07-23,7.98
