date,TRV
2013-10-03,0.0
2013-10-04,34.32
2013-10-05,62.7
2013-10-06,64.68
2013-10-07,0.0
2013-10-08,29.700000000000003
2013-10-09,30.360000000000003
2013-10-10,17.16
2013-10-11,46.86
2013-10-12,33.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,29.040000000000003
2013-10-16,0.0
2013-10-17,60.06
2013-10-18,27.060000000000002
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,66.0
2013-10-22,58.74
2013-10-23,22.44
2013-10-24,33.0
2013-10-25,51.480000000000004
2013-10-26,26.400000000000002
2013-10-27,33.0
2013-10-28,0.0
2013-10-29,0.0
2013-10-30,29.040000000000003
2013-10-31,40.92
2013-11-01,49.4
2013-11-02,0.0
2013-11-03,52.0
2013-11-04,46.15
2013-11-05,27.3
2013-11-06,22.1
2013-11-07,31.85
2013-11-08,65.0
2013-11-09,26.0
2013-11-10,0.0
2013-11-11,28.6
2013-11-12,24.05
2013-11-13,0.0
2013-11-14,37.050000000000004
2013-11-15,18.2
2013-11-16,27.95
2013-11-17,42.25
2013-11-18,17.55
2013-11-19,14.950000000000001
2013-11-20,35.75
2013-11-21,29.25
2013-11-22,14.950000000000001
2013-11-23,33.15
2013-11-24,0.0
2013-11-25,40.300000000000004
2013-11-26,15.600000000000001
2013-11-27,46.15
2013-11-28,34.45
2013-11-29,55.25
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,20.74
2013-12-03,17.08
2013-12-04,23.79
2013-12-05,10.37
2013-12-06,22.57
2013-12-07,51.24
2013-12-08,0.0
2013-12-09,18.3
2013-12-10,34.769999999999996
2013-12-11,0.0
2013-12-12,9.76
2013-12-13,0.0
2013-12-14,33.55
2013-12-15,13.42
2013-12-16,56.73
2013-12-17,17.69
2013-12-18,29.89
2013-12-19,61.0
2013-12-20,0.0
2013-12-21,29.28
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,33.55
2013-12-25,0.0
2013-12-26,42.699999999999996
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,18.3
2013-12-30,39.65
2013-12-31,26.23
2014-01-01,14.0
2014-01-02,34.3
2014-01-03,23.099999999999998
2014-01-04,46.199999999999996
2014-01-05,14.7
2014-01-06,0.0
2014-01-07,35.699999999999996
2014-01-08,0.0
2014-01-09,41.3
2014-01-10,30.799999999999997
2014-01-11,18.2
2014-01-12,30.099999999999998
2014-01-13,21.0
2014-01-14,29.4
