date,MCD
2013-08-31,10.88
2013-09-01,11.0
2013-09-02,7.800000000000001
2013-09-03,7.6000000000000005
2013-09-04,11.0
2013-09-05,14.8
2013-09-06,13.200000000000001
2013-09-07,7.800000000000001
2013-09-08,10.8
2013-09-09,9.8
2013-09-10,17.0
2013-09-11,13.0
2013-09-12,10.8
2013-09-13,16.6
2013-09-14,9.600000000000001
2013-09-15,7.4
2013-09-16,12.600000000000001
2013-09-17,16.8
2013-09-18,14.4
2013-09-19,19.0
2013-09-20,11.600000000000001
2013-09-21,7.6000000000000005
2013-09-22,10.8
2013-09-23,16.0
2013-09-24,16.6
2013-09-25,10.200000000000001
2013-09-26,14.4
2013-09-27,16.0
2013-09-28,7.4
2013-09-29,11.0
2013-09-30,20.0
2013-10-01,18.630000000000003
2013-10-02,18.630000000000003
2013-10-03,16.560000000000002
2013-10-04,15.64
2013-10-05,15.64
2013-10-06,18.630000000000003
2013-10-07,13.34
2013-10-08,16.560000000000002
2013-10-09,18.86
2013-10-10,21.85
2013-10-11,13.8
2013-10-12,10.81
2013-10-13,10.120000000000001
2013-10-14,19.55
2013-10-15,18.17
2013-10-16,20.470000000000002
2013-10-17,21.16
2013-10-18,17.48
2013-10-19,11.270000000000001
2013-10-20,12.42
2013-10-21,23.0
2013-10-22,19.32
2013-10-23,16.560000000000002
2013-10-24,15.64
2013-10-25,13.34
2013-10-26,13.8
2013-10-27,6.67
2013-10-28,17.94
2013-10-29,20.240000000000002
2013-10-30,22.540000000000003
2013-10-31,17.02
2013-11-01,11.44
2013-11-02,11.22
2013-11-03,9.24
2013-11-04,14.3
2013-11-05,16.06
2013-11-06,17.82
2013-11-07,15.18
2013-11-08,18.7
2013-11-09,9.9
2013-11-10,4.18
2013-11-11,11.88
2013-11-12,12.32
2013-11-13,17.6
2013-11-14,15.4
2013-11-15,16.72
2013-11-16,10.12
2013-11-17,13.2
2013-11-18,14.74
2013-11-19,22.0
2013-11-20,18.04
2013-11-21,17.38
2013-11-22,16.28
2013-11-23,10.56
2013-11-24,8.36
2013-11-25,16.28
2013-11-26,19.14
2013-11-27,12.32
2013-11-28,6.82
2013-11-29,13.86
2013-11-30,11.0
2013-12-01,7.26
2013-12-02,14.74
2013-12-03,19.8
2013-12-04,20.68
2013-12-05,13.86
2013-12-06,12.540000000000001
2013-12-07,13.86
2013-12-08,12.98
2013-12-09,16.5
2013-12-10,15.84
2013-12-11,15.4
2013-12-12,16.28
2013-12-13,18.04
2013-12-14,14.96
2013-12-15,5.72
2013-12-16,22.0
2013-12-17,16.72
2013-12-18,14.08
2013-12-19,21.12
2013-12-20,10.34
2013-12-21,7.26
2013-12-22,7.92
2013-12-23,14.08
2013-12-24,11.88
2013-12-25,14.74
2013-12-26,11.66
2013-12-27,15.62
2013-12-28,11.88
2013-12-29,11.0
2013-12-30,15.62
2013-12-31,15.84
2014-01-01,6.67
2014-01-02,15.180000000000001
2014-01-03,14.950000000000001
2014-01-04,14.49
2014-01-05,8.51
2014-01-06,13.8
2014-01-07,18.400000000000002
2014-01-08,21.62
2014-01-09,15.64
2014-01-10,13.34
2014-01-11,11.5
2014-01-12,10.58
2014-01-13,16.330000000000002
2014-01-14,18.17
2014-01-15,17.94
2014-01-16,14.72
2014-01-17,14.49
2014-01-18,9.43
2014-01-19,13.34
2014-01-20,11.96
2014-01-21,15.64
2014-01-22,19.09
2014-01-23,23.0
2014-01-24,20.7
2014-01-25,12.190000000000001
2014-01-26,9.89
2014-01-27,14.49
2014-01-28,19.55
2014-01-29,20.240000000000002
2014-01-30,17.48
2014-01-31,12.190000000000001
2014-02-01,11.73
2014-02-02,11.96
2014-02-03,17.71
2014-02-04,17.71
2014-02-05,20.01
2014-02-06,23.0
2014-02-07,15.41
2014-02-08,10.120000000000001
2014-02-09,7.36
2014-02-10,15.41
2014-02-11,17.71
2014-02-12,15.870000000000001
2014-02-13,14.49
2014-02-14,10.35
2014-02-15,11.040000000000001
2014-02-16,7.36
2014-02-17,11.96
2014-02-18,14.030000000000001
2014-02-19,12.65
2014-02-20,16.1
2014-02-21,16.560000000000002
2014-02-22,11.040000000000001
2014-02-23,8.97
2014-02-24,16.560000000000002
2014-02-25,12.190000000000001
2014-02-26,13.110000000000001
2014-02-27,15.64
2014-02-28,13.34
2014-03-01,7.48
2014-03-02,7.92
2014-03-03,13.86
2014-03-04,18.48
2014-03-05,12.98
2014-03-06,12.98
2014-03-07,14.3
2014-03-08,11.0
2014-03-09,7.92
2014-03-10,16.94
2014-03-11,18.04
2014-03-12,15.4
2014-03-13,14.3
2014-03-14,19.580000000000002
2014-03-15,7.48
2014-03-16,9.46
2014-03-17,17.16
2014-03-18,17.38
2014-03-19,15.62
2014-03-20,18.26
2014-03-21,18.7
2014-03-22,13.42
2014-03-23,10.56
2014-03-24,15.4
2014-03-25,14.08
2014-03-26,19.580000000000002
2014-03-27,16.94
2014-03-28,16.94
2014-03-29,17.6
2014-03-30,13.42
2014-03-31,22.0
2014-04-01,22.56
2014-04-02,15.84
2014-04-03,15.36
2014-04-04,11.52
