date,CSCO
2013-08-24,2.37
2013-08-25,3.16
2013-08-26,11.06
2013-08-27,20.54
2013-08-28,8.690000000000001
2013-08-29,9.48
2013-08-30,7.11
2013-08-31,2.37
2013-09-01,0.0
2013-09-02,10.8
2013-09-03,32.85
2013-09-04,35.550000000000004
2013-09-05,45.0
2013-09-06,32.85
2013-09-07,17.1
2013-09-08,11.25
2013-09-09,27.900000000000002
2013-09-10,40.050000000000004
2013-09-11,40.050000000000004
2013-09-12,27.900000000000002
2013-09-13,38.7
2013-09-14,11.700000000000001
2013-09-15,0.0
2013-09-16,32.4
2013-09-17,38.7
2013-09-18,29.7
2013-09-19,29.7
2013-09-20,35.1
2013-09-21,12.6
2013-09-22,14.4
2013-09-23,35.1
2013-09-24,35.1
2013-09-25,22.05
2013-09-26,25.2
2013-09-27,30.150000000000002
2013-09-28,12.15
2013-09-29,9.0
2013-09-30,30.150000000000002
2013-10-01,24.48
2013-10-02,33.660000000000004
2013-10-03,38.25
2013-10-04,34.68
2013-10-05,8.16
2013-10-06,7.65
2013-10-07,29.580000000000002
2013-10-08,24.48
2013-10-09,32.64
2013-10-10,29.07
2013-10-11,29.580000000000002
2013-10-12,9.69
2013-10-13,0.0
2013-10-14,13.26
2013-10-15,36.72
2013-10-16,29.580000000000002
2013-10-17,51.0
2013-10-18,44.88
2013-10-19,7.65
2013-10-20,8.16
2013-10-21,27.54
2013-10-22,35.19
2013-10-23,25.5
2013-10-24,31.62
2013-10-25,42.33
2013-10-26,6.63
2013-10-27,8.67
2013-10-28,31.11
2013-10-29,34.17
2013-10-30,28.560000000000002
2013-10-31,22.95
2013-11-01,9.88
2013-11-02,5.32
2013-11-03,3.04
2013-11-04,7.6
2013-11-05,12.16
2013-11-06,12.16
2013-11-07,13.68
2013-11-08,14.44
2013-11-09,1.52
2013-11-10,0.0
2013-11-11,8.36
2013-11-12,13.68
2013-11-13,38.0
2013-11-14,76.0
2013-11-15,39.52
2013-11-16,6.84
2013-11-17,2.2800000000000002
2013-11-18,17.48
2013-11-19,15.96
2013-11-20,14.44
2013-11-21,16.72
2013-11-22,13.68
2013-11-23,6.84
2013-11-24,0.0
2013-11-25,11.4
2013-11-26,11.4
2013-11-27,9.120000000000001
2013-11-28,1.52
2013-11-29,5.32
2013-11-30,3.8
2013-12-01,8.0
2013-12-02,22.0
2013-12-03,50.0
2013-12-04,44.5
2013-12-05,25.0
2013-12-06,25.0
2013-12-07,3.5
2013-12-08,3.0
2013-12-09,32.0
2013-12-10,23.5
2013-12-11,46.5
2013-12-12,37.0
2013-12-13,36.5
2013-12-14,14.0
2013-12-15,12.5
2013-12-16,36.0
2013-12-17,40.5
2013-12-18,45.5
2013-12-19,43.5
2013-12-20,35.0
2013-12-21,14.0
2013-12-22,9.0
2013-12-23,32.5
2013-12-24,41.0
2013-12-25,14.5
2013-12-26,36.5
2013-12-27,33.0
2013-12-28,22.5
2013-12-29,18.5
2013-12-30,31.5
2013-12-31,32.0
2014-01-01,21.659999999999997
2014-01-02,37.05
2014-01-03,50.16
2014-01-04,7.9799999999999995
2014-01-05,0.0
2014-01-06,28.499999999999996
2014-01-07,45.599999999999994
2014-01-08,39.33
2014-01-09,43.88999999999999
2014-01-10,40.47
2014-01-11,10.26
2014-01-12,9.12
2014-01-13,42.18
2014-01-14,56.99999999999999
2014-01-15,52.44
2014-01-16,47.309999999999995
2014-01-17,41.61
2014-01-18,22.799999999999997
2014-01-19,0.0
2014-01-20,21.09
2014-01-21,36.48
2014-01-22,27.36
2014-01-23,39.33
2014-01-24,35.91
2014-01-25,12.54
2014-01-26,15.389999999999999
2014-01-27,41.61
2014-01-28,44.459999999999994
2014-01-29,36.48
2014-01-30,45.029999999999994
2014-01-31,23.939999999999998
2014-02-01,4.55
2014-02-02,0.0
2014-02-03,18.2
2014-02-04,14.3
2014-02-05,11.700000000000001
2014-02-06,15.600000000000001
2014-02-07,19.5
2014-02-08,6.5
2014-02-09,5.2
2014-02-10,14.950000000000001
2014-02-11,21.45
2014-02-12,65.0
2014-02-13,52.0
2014-02-14,29.25
2014-02-15,5.8500000000000005
2014-02-16,5.8500000000000005
2014-02-17,11.05
2014-02-18,20.8
2014-02-19,18.2
2014-02-20,10.4
2014-02-21,9.1
2014-02-22,6.5
2014-02-23,4.55
2014-02-24,17.55
2014-02-25,14.950000000000001
2014-02-26,10.4
2014-02-27,15.600000000000001
2014-02-28,18.85
2014-03-01,7.03
2014-03-02,2.2199999999999998
2014-03-03,24.05
2014-03-04,18.13
2014-03-05,37.0
2014-03-06,21.83
2014-03-07,19.98
2014-03-08,4.4399999999999995
2014-03-09,5.92
2014-03-10,19.98
2014-03-11,16.28
2014-03-12,15.17
2014-03-13,25.9
2014-03-14,23.68
2014-03-15,9.25
2014-03-16,0.0
2014-03-17,21.83
2014-03-18,22.57
2014-03-19,18.13
2014-03-20,21.09
2014-03-21,28.86
2014-03-22,7.03
2014-03-23,0.0
2014-03-24,31.82
2014-03-25,28.49
2014-03-26,21.46
2014-03-27,19.61
2014-03-28,24.419999999999998
2014-03-29,4.81
2014-03-30,3.7
2014-03-31,25.9
2014-04-01,46.0
2014-04-02,21.16
2014-04-03,31.28
2014-04-04,29.900000000000002
2014-04-05,9.66
2014-04-06,7.36
2014-04-07,28.52
2014-04-08,18.400000000000002
2014-04-09,23.92
2014-04-10,29.900000000000002
2014-04-11,36.34
2014-04-12,5.98
2014-04-13,6.9
2014-04-14,29.900000000000002
2014-04-15,26.68
2014-04-16,30.360000000000003
2014-04-17,32.2
2014-04-18,11.5
2014-04-19,7.82
2014-04-20,11.040000000000001
2014-04-21,19.78
2014-04-22,36.34
2014-04-23,28.98
2014-04-24,23.92
2014-04-25,23.0
2014-04-26,17.48
2014-04-27,0.0
2014-04-28,27.14
2014-04-29,24.84
2014-04-30,20.240000000000002
2014-05-01,8.82
2014-05-02,12.6
2014-05-03,2.52
2014-05-04,3.15
2014-05-05,13.23
2014-05-06,15.75
2014-05-07,13.86
2014-05-08,11.34
2014-05-09,13.23
2014-05-10,8.19
2014-05-11,8.19
2014-05-12,18.27
2014-05-13,17.64
2014-05-14,49.14
2014-05-15,63.0
