date,IBM
2013-08-28,68.73
2013-08-29,59.25
2013-08-30,52.14
2013-08-31,22.91
2013-09-01,26.4
2013-09-02,29.92
2013-09-03,64.24
2013-09-04,68.64
2013-09-05,65.12
2013-09-06,64.24
2013-09-07,44.88
2013-09-08,39.6
2013-09-09,88.0
2013-09-10,77.44
2013-09-11,83.6
2013-09-12,73.92
2013-09-13,63.36
2013-09-14,31.68
2013-09-15,27.28
2013-09-16,58.96
2013-09-17,73.92
2013-09-18,70.4
2013-09-19,75.68
2013-09-20,59.84
2013-09-21,33.44
2013-09-22,34.32
2013-09-23,76.56
2013-09-24,74.8
2013-09-25,74.8
2013-09-26,73.92
2013-09-27,67.76
2013-09-28,30.8
2013-09-29,29.04
2013-09-30,63.36
2013-10-01,63.480000000000004
2013-10-02,62.56
2013-10-03,72.68
2013-10-04,55.2
2013-10-05,25.76
2013-10-06,26.68
2013-10-07,56.120000000000005
2013-10-08,73.60000000000001
2013-10-09,67.16
2013-10-10,57.04
2013-10-11,57.04
2013-10-12,25.76
2013-10-13,23.0
2013-10-14,49.68
2013-10-15,55.2
2013-10-16,74.52000000000001
2013-10-17,92.0
2013-10-18,74.52000000000001
2013-10-19,30.360000000000003
2013-10-20,30.360000000000003
2013-10-21,66.24000000000001
2013-10-22,69.92
2013-10-23,69.0
2013-10-24,68.08
2013-10-25,59.800000000000004
2013-10-26,24.84
2013-10-27,24.84
2013-10-28,57.96
2013-10-29,67.16
2013-10-30,69.0
2013-10-31,57.96
2013-11-01,67.94
2013-11-02,32.39
2013-11-03,30.020000000000003
2013-11-04,65.57000000000001
2013-11-05,72.68
2013-11-06,75.05
2013-11-07,75.05
2013-11-08,73.47
2013-11-09,33.18
2013-11-10,28.44
2013-11-11,60.040000000000006
2013-11-12,75.84
2013-11-13,75.84
2013-11-14,72.68
2013-11-15,69.52000000000001
2013-11-16,30.810000000000002
2013-11-17,31.6
2013-11-18,73.47
2013-11-19,75.84
2013-11-20,77.42
2013-11-21,79.0
2013-11-22,66.36
2013-11-23,29.23
2013-11-24,29.23
2013-11-25,62.410000000000004
2013-11-26,63.99
2013-11-27,48.190000000000005
2013-11-28,28.44
2013-11-29,33.18
2013-11-30,27.650000000000002
2013-12-01,23.76
2013-12-02,54.120000000000005
2013-12-03,66.0
2013-12-04,62.7
2013-12-05,59.400000000000006
2013-12-06,52.14
2013-12-07,27.060000000000002
2013-12-08,26.400000000000002
2013-12-09,51.480000000000004
2013-12-10,62.040000000000006
2013-12-11,59.400000000000006
2013-12-12,59.400000000000006
2013-12-13,52.14
2013-12-14,25.080000000000002
2013-12-15,25.740000000000002
2013-12-16,58.74
2013-12-17,57.42
2013-12-18,56.760000000000005
2013-12-19,58.74
2013-12-20,56.760000000000005
2013-12-21,25.740000000000002
2013-12-22,23.76
2013-12-23,47.52
2013-12-24,38.28
2013-12-25,25.080000000000002
2013-12-26,39.6
2013-12-27,42.24
2013-12-28,23.1
2013-12-29,25.740000000000002
2013-12-30,45.54
2013-12-31,38.28
2014-01-01,25.0
2014-01-02,48.0
2014-01-03,45.0
2014-01-04,25.0
2014-01-05,25.0
2014-01-06,51.0
2014-01-07,64.0
2014-01-08,66.0
2014-01-09,75.0
2014-01-10,69.0
2014-01-11,31.0
2014-01-12,35.0
2014-01-13,58.0
2014-01-14,64.0
2014-01-15,60.0
2014-01-16,66.0
2014-01-17,64.0
2014-01-18,32.0
2014-01-19,32.0
2014-01-20,51.0
2014-01-21,84.0
2014-01-22,100.0
2014-01-23,94.0
2014-01-24,75.0
2014-01-25,35.0
2014-01-26,36.0
2014-01-27,66.0
2014-01-28,73.0
2014-01-29,71.0
2014-01-30,75.0
2014-01-31,69.0
2014-02-01,32.01
2014-02-02,26.189999999999998
2014-02-03,62.08
2014-02-04,70.81
2014-02-05,64.02
2014-02-06,72.75
2014-02-07,69.84
2014-02-08,32.98
2014-02-09,31.04
2014-02-10,66.92999999999999
2014-02-11,72.75
2014-02-12,68.87
2014-02-13,69.84
2014-02-14,65.96
2014-02-15,31.04
2014-02-16,26.189999999999998
2014-02-17,53.35
2014-02-18,67.89999999999999
2014-02-19,70.81
2014-02-20,64.99
2014-02-21,58.199999999999996
2014-02-22,31.04
2014-02-23,32.01
2014-02-24,69.84
2014-02-25,71.78
2014-02-26,83.42
2014-02-27,97.0
2014-02-28,81.48
2014-03-01,45.05
2014-03-02,41.65
2014-03-03,74.8
2014-03-04,78.2
2014-03-05,85.0
2014-03-06,79.89999999999999
2014-03-07,73.95
2014-03-08,41.65
2014-03-09,48.449999999999996
2014-03-10,82.45
2014-03-11,81.6
2014-03-12,77.35
2014-03-13,75.64999999999999
2014-03-14,71.39999999999999
2014-03-15,34.0
2014-03-16,32.3
2014-03-17,72.25
2014-03-18,81.6
2014-03-19,77.35
2014-03-20,77.35
2014-03-21,68.85
2014-03-22,31.45
2014-03-23,31.45
2014-03-24,74.8
2014-03-25,81.6
2014-03-26,79.89999999999999
2014-03-27,77.35
2014-03-28,71.39999999999999
2014-03-29,28.05
2014-03-30,32.3
2014-03-31,76.5
2014-04-01,79.17
2014-04-02,72.8
2014-04-03,74.62
2014-04-04,65.52
2014-04-05,33.67
2014-04-06,32.76
2014-04-07,72.8
2014-04-08,72.8
2014-04-09,76.44
2014-04-10,81.9
2014-04-11,72.8
2014-04-12,34.58
2014-04-13,32.76
2014-04-14,69.16
2014-04-15,70.98
2014-04-16,91.0
2014-04-17,86.45
2014-04-18,59.15
2014-04-19,26.39
2014-04-20,24.57
2014-04-21,73.71000000000001
2014-04-22,75.53
2014-04-23,78.26
2014-04-24,65.52
2014-04-25,63.7
2014-04-26,29.12
2014-04-27,31.85
2014-04-28,70.98
2014-04-29,75.53
2014-04-30,70.98
2014-05-01,71.39999999999999
2014-05-02,66.36
2014-05-03,30.24
2014-05-04,30.24
2014-05-05,76.44
2014-05-06,73.92
2014-05-07,78.11999999999999
2014-05-08,74.75999999999999
2014-05-09,67.2
2014-05-10,26.04
2014-05-11,27.72
2014-05-12,81.48
2014-05-13,84.0
