date,MMM
2013-09-02,23.099999999999998
2013-09-03,25.549999999999997
2013-09-04,22.75
2013-09-05,17.15
2013-09-06,27.299999999999997
2013-09-07,26.25
2013-09-08,28.7
2013-09-09,30.45
2013-09-10,28.7
2013-09-11,34.65
2013-09-12,22.75
2013-09-13,29.049999999999997
2013-09-14,24.15
2013-09-15,24.5
2013-09-16,23.099999999999998
2013-09-17,24.5
2013-09-18,30.45
2013-09-19,25.2
2013-09-20,35.0
2013-09-21,15.749999999999998
2013-09-22,20.65
2013-09-23,21.349999999999998
2013-09-24,24.5
2013-09-25,23.799999999999997
2013-09-26,29.049999999999997
2013-09-27,27.299999999999997
2013-09-28,20.299999999999997
2013-09-29,25.9
2013-09-30,24.15
2013-10-01,26.279999999999998
2013-10-02,24.48
2013-10-03,32.4
2013-10-04,25.919999999999998
2013-10-05,23.759999999999998
2013-10-06,23.4
2013-10-07,23.4
2013-10-08,26.279999999999998
2013-10-09,28.799999999999997
2013-10-10,27.0
2013-10-11,28.439999999999998
2013-10-12,22.68
2013-10-13,28.439999999999998
2013-10-14,22.32
2013-10-15,23.4
2013-10-16,27.36
2013-10-17,27.36
2013-10-18,28.799999999999997
2013-10-19,27.0
2013-10-20,31.68
2013-10-21,23.04
2013-10-22,30.599999999999998
2013-10-23,23.759999999999998
2013-10-24,36.0
2013-10-25,27.36
2013-10-26,22.68
2013-10-27,26.279999999999998
2013-10-28,28.799999999999997
2013-10-29,23.4
2013-10-30,24.119999999999997
2013-10-31,29.16
2013-11-01,26.599999999999998
2013-11-02,25.549999999999997
2013-11-03,18.9
2013-11-04,26.599999999999998
2013-11-05,31.499999999999996
2013-11-06,25.549999999999997
2013-11-07,30.45
2013-11-08,32.55
2013-11-09,31.499999999999996
2013-11-10,21.0
2013-11-11,23.099999999999998
2013-11-12,22.75
2013-11-13,26.25
2013-11-14,25.2
2013-11-15,25.2
2013-11-16,22.049999999999997
2013-11-17,21.0
2013-11-18,24.849999999999998
2013-11-19,23.45
2013-11-20,26.25
2013-11-21,27.299999999999997
2013-11-22,35.0
2013-11-23,20.65
2013-11-24,25.549999999999997
2013-11-25,28.0
2013-11-26,28.7
2013-11-27,26.95
2013-11-28,23.099999999999998
2013-11-29,18.9
2013-11-30,18.549999999999997
2013-12-01,28.799999999999997
2013-12-02,33.12
2013-12-03,36.0
2013-12-04,34.92
2013-12-05,29.88
2013-12-06,29.52
2013-12-07,24.84
2013-12-08,14.04
2013-12-09,27.0
2013-12-10,33.48
2013-12-11,29.52
2013-12-12,32.04
2013-12-13,29.88
2013-12-14,21.599999999999998
2013-12-15,22.68
2013-12-16,25.919999999999998
2013-12-17,33.839999999999996
2013-12-18,33.839999999999996
2013-12-19,31.32
2013-12-20,32.76
2013-12-21,26.279999999999998
2013-12-22,30.959999999999997
2013-12-23,32.04
2013-12-24,27.72
2013-12-25,26.279999999999998
2013-12-26,28.08
2013-12-27,33.48
2013-12-28,24.119999999999997
2013-12-29,26.279999999999998
2013-12-30,27.36
2013-12-31,29.52
2014-01-01,18.13
2014-01-02,14.7
2014-01-03,16.169999999999998
2014-01-04,12.74
2014-01-05,11.27
2014-01-06,13.23
2014-01-07,11.27
2014-01-08,19.11
2014-01-09,14.7
2014-01-10,16.169999999999998
2014-01-11,16.169999999999998
2014-01-12,14.209999999999999
2014-01-13,10.78
2014-01-14,16.66
2014-01-15,12.74
2014-01-16,15.68
2014-01-17,21.56
2014-01-18,16.66
2014-01-19,16.169999999999998
2014-01-20,18.13
2014-01-21,15.19
2014-01-22,22.54
2014-01-23,22.05
2014-01-24,28.419999999999998
2014-01-25,31.849999999999998
2014-01-26,49.0
2014-01-27,30.87
2014-01-28,23.03
2014-01-29,27.93
2014-01-30,25.48
2014-01-31,27.93
2014-02-01,55.00000000000001
2014-02-02,39.050000000000004
2014-02-03,30.800000000000004
2014-02-04,34.650000000000006
2014-02-05,36.300000000000004
2014-02-06,31.35
2014-02-07,34.1
2014-02-08,30.800000000000004
2014-02-09,30.800000000000004
2014-02-10,27.500000000000004
2014-02-11,28.05
2014-02-12,29.150000000000002
2014-02-13,33.550000000000004
2014-02-14,35.75
2014-02-15,29.150000000000002
2014-02-16,31.35
2014-02-17,34.650000000000006
2014-02-18,37.95
2014-02-19,35.2
2014-02-20,26.950000000000003
2014-02-21,32.45
2014-02-22,37.95
2014-02-23,37.95
2014-02-24,32.45
2014-02-25,24.750000000000004
2014-02-26,30.800000000000004
2014-02-27,29.150000000000002
2014-02-28,34.650000000000006
2014-03-01,34.96
2014-03-02,34.2
2014-03-03,40.28
2014-03-04,27.36
2014-03-05,36.480000000000004
2014-03-06,32.68
2014-03-07,36.480000000000004
2014-03-08,41.04
2014-03-09,45.6
2014-03-10,36.480000000000004
2014-03-11,45.6
2014-03-12,35.72
2014-03-13,49.4
2014-03-14,49.4
2014-03-15,60.04
2014-03-16,57.76
2014-03-17,47.12
2014-03-18,47.12
2014-03-19,48.64
2014-03-20,42.56
2014-03-21,47.88
2014-03-22,54.72
2014-03-23,48.64
2014-03-24,50.160000000000004
2014-03-25,41.04
2014-03-26,55.480000000000004
2014-03-27,46.36
2014-03-28,56.24
2014-03-29,65.36
2014-03-30,76.0
2014-03-31,48.64
2014-04-01,54.28
2014-04-02,59.800000000000004
2014-04-03,55.2
2014-04-04,71.76
2014-04-05,88.32000000000001
2014-04-06,66.24000000000001
2014-04-07,58.88
2014-04-08,69.92
2014-04-09,61.64
2014-04-10,57.96
2014-04-11,69.92
2014-04-12,92.0
2014-04-13,76.36
2014-04-14,71.76
2014-04-15,76.36
2014-04-16,59.800000000000004
2014-04-17,65.32000000000001
2014-04-18,76.36
2014-04-19,87.4
2014-04-20,75.44
2014-04-21,61.64
2014-04-22,65.32000000000001
2014-04-23,57.96
2014-04-24,63.480000000000004
2014-04-25,76.36
2014-04-26,64.4
2014-04-27,73.60000000000001
2014-04-28,72.68
2014-04-29,75.44
2014-04-30,69.0
2014-05-01,66.0
2014-05-02,58.0
2014-05-03,100.0
2014-05-04,98.0
2014-05-05,64.0
2014-05-06,68.0
2014-05-07,63.0
2014-05-08,66.0
2014-05-09,74.0
2014-05-10,85.0
2014-05-11,71.0
2014-05-12,65.0
2014-05-13,65.0
2014-05-14,63.0
2014-05-15,51.0
2014-05-16,60.0
2014-05-17,69.0
2014-05-18,75.0
2014-05-19,57.0
2014-05-20,57.0
2014-05-21,49.0
2014-05-22,55.0
2014-05-23,66.0
2014-05-24,63.0
2014-05-25,78.0
2014-05-26,63.0
2014-05-27,53.0
2014-05-28,50.0
2014-05-29,60.0
2014-05-30,70.0
2014-05-31,70.0
2014-06-01,73.87
2014-06-02,76.54
2014-06-03,73.87
2014-06-04,73.87
2014-06-05,74.76
2014-06-06,75.65
2014-06-07,73.87
2014-06-08,89.0
2014-06-09,61.410000000000004
2014-06-10,72.09
2014-06-11,55.18
2014-06-12,60.52
2014-06-13,59.63
2014-06-14,69.42
2014-06-15,83.66
2014-06-16,59.63
2014-06-17,64.08
2014-06-18,72.09
2014-06-19,68.53
2014-06-20,67.64
2014-06-21,67.64
2014-06-22,65.86
2014-06-23,59.63
2014-06-24,64.08
2014-06-25,50.730000000000004
2014-06-26,57.85
2014-06-27,70.31
2014-06-28,47.17
2014-06-29,64.97
2014-06-30,59.63
2014-07-01,46.72
2014-07-02,46.72
2014-07-03,41.6
2014-07-04,57.6
2014-07-05,64.0
2014-07-06,55.68
2014-07-07,48.0
2014-07-08,32.0
2014-07-09,40.32
2014-07-10,35.84
2014-07-11,48.64
2014-07-12,47.36
2014-07-13,37.12
2014-07-14,45.44
2014-07-15,40.96
2014-07-16,56.96
2014-07-17,46.72
2014-07-18,52.480000000000004
2014-07-19,39.68
2014-07-20,42.24
2014-07-21,39.68
2014-07-22,43.52
2014-07-23,46.72
2014-07-24,51.2
2014-07-25,49.92
2014-07-26,47.36
2014-07-27,44.800000000000004
2014-07-28,46.08
2014-07-29,44.800000000000004
2014-07-30,44.800000000000004
2014-07-31,44.160000000000004
2014-08-01,51.6
2014-08-02,48.6
2014-08-03,49.8
2014-08-04,54.6
2014-08-05,47.4
2014-08-06,44.4
2014-08-07,54.6
2014-08-08,47.4
2014-08-09,60.0
2014-08-10,48.0
2014-08-11,43.8
2014-08-12,45.0
2014-08-13,44.4
2014-08-14,42.0
2014-08-15,48.0
2014-08-16,45.0
2014-08-17,47.4
2014-08-18,52.8
2014-08-19,41.4
2014-08-20,44.4
2014-08-21,40.8
2014-08-22,47.4
2014-08-23,46.8
2014-08-24,39.0
2014-08-25,33.0
2014-08-26,43.199999999999996
2014-08-27,43.8
2014-08-28,39.6
2014-08-29,33.0
2014-08-30,42.6
2014-08-31,43.8
2014-09-01,36.5
2014-09-02,42.5
2014-09-03,45.0
2014-09-04,38.5
2014-09-05,49.0
2014-09-06,47.5
2014-09-07,43.5
2014-09-08,43.0
2014-09-09,27.0
2014-09-10,39.0
2014-09-11,39.0
2014-09-12,43.5
2014-09-13,41.5
2014-09-14,41.0
2014-09-15,28.0
2014-09-16,40.0
2014-09-17,43.0
2014-09-18,35.5
2014-09-19,45.0
2014-09-20,36.5
2014-09-21,30.5
2014-09-22,45.5
2014-09-23,39.0
2014-09-24,37.5
2014-09-25,50.0
2014-09-26,33.5
2014-09-27,46.0
2014-09-28,34.5
2014-09-29,37.0
2014-09-30,38.5
2014-10-01,39.5
2014-10-02,44.0
2014-10-03,45.5
2014-10-04,47.0
2014-10-05,46.5
2014-10-06,40.0
2014-10-07,41.0
2014-10-08,34.0
2014-10-09,39.5
2014-10-10,37.0
2014-10-11,35.0
2014-10-12,43.5
2014-10-13,34.0
2014-10-14,42.5
2014-10-15,40.0
2014-10-16,42.0
2014-10-17,43.5
2014-10-18,45.0
2014-10-19,37.5
2014-10-20,39.5
2014-10-21,42.0
2014-10-22,39.5
2014-10-23,43.5
2014-10-24,50.0
2014-10-25,41.5
2014-10-26,43.0
2014-10-27,38.5
2014-10-28,43.5
2014-10-29,36.0
2014-10-30,40.5
2014-10-31,50.0
2014-11-01,48.0
2014-11-02,40.32
2014-11-03,40.8
2014-11-04,41.76
2014-11-05,31.68
2014-11-06,44.16
2014-11-07,41.28
2014-11-08,36.48
2014-11-09,39.36
2014-11-10,34.56
2014-11-11,47.519999999999996
2014-11-12,46.559999999999995
2014-11-13,47.519999999999996
2014-11-14,37.92
2014-11-15,45.6
2014-11-16,36.48
2014-11-17,38.879999999999995
2014-11-18,43.68
2014-11-19,42.239999999999995
2014-11-20,38.4
2014-11-21,44.64
2014-11-22,36.48
2014-11-23,39.36
2014-11-24,32.16
2014-11-25,40.32
2014-11-26,33.12
2014-11-27,41.28
2014-11-28,33.6
2014-11-29,32.16
2014-11-30,37.44
2014-12-01,29.7
2014-12-02,32.4
2014-12-03,29.7
2014-12-04,31.05
2014-12-05,29.7
2014-12-06,34.2
2014-12-07,24.75
2014-12-08,29.25
2014-12-09,35.550000000000004
2014-12-10,35.1
2014-12-11,29.25
2014-12-12,27.45
2014-12-13,32.85
2014-12-14,27.900000000000002
2014-12-15,31.05
2014-12-16,39.15
2014-12-17,30.150000000000002
2014-12-18,39.15
2014-12-19,34.65
2014-12-20,32.4
2014-12-21,22.05
2014-12-22,32.4
2014-12-23,36.0
2014-12-24,36.45
2014-12-25,30.150000000000002
2014-12-26,34.65
2014-12-27,27.0
2014-12-28,30.150000000000002
2014-12-29,45.0
2014-12-30,35.550000000000004
2014-12-31,40.95
2015-01-01,42.769999999999996
2015-01-02,31.959999999999997
2015-01-03,35.25
2015-01-04,29.139999999999997
2015-01-05,36.19
2015-01-06,30.549999999999997
2015-01-07,33.839999999999996
2015-01-08,42.3
2015-01-09,35.72
2015-01-10,28.2
2015-01-11,23.5
2015-01-12,23.97
2015-01-13,36.19
2015-01-14,29.139999999999997
2015-01-15,26.79
2015-01-16,27.259999999999998
2015-01-17,31.49
2015-01-18,36.19
2015-01-19,31.959999999999997
2015-01-20,28.2
2015-01-21,31.49
2015-01-22,33.839999999999996
2015-01-23,36.19
2015-01-24,23.029999999999998
2015-01-25,33.839999999999996
2015-01-26,37.129999999999995
2015-01-27,39.01
2015-01-28,33.37
2015-01-29,37.129999999999995
2015-01-30,38.07
2015-01-31,47.0
2015-02-01,51.8
2015-02-02,55.5
2015-02-03,72.52
2015-02-04,67.34
2015-02-05,56.24
2015-02-06,64.38
2015-02-07,63.64
2015-02-08,74.0
2015-02-09,53.28
2015-02-10,49.58
2015-02-11,51.06
2015-02-12,49.58
2015-02-13,56.98
2015-02-14,68.08
2015-02-15,61.42
2015-02-16,64.38
2015-02-17,71.78
2015-02-18,54.76
2015-02-19,55.5
