date,UnitedHealth Group Stock Price_unscaled,UnitedHealth Group Stock Price_monthly,isPartial,scale,UnitedHealth Group Stock Price
2004-01-01,0,0.0,False,0.0,0.0
2004-01-02,22,0.0,,0.0,0.0
2004-01-03,0,0.0,,0.0,0.0
2004-01-04,0,0.0,,0.0,0.0
2004-01-05,0,0.0,,0.0,0.0
2004-01-06,0,0.0,,0.0,0.0
2004-01-07,0,0.0,,0.0,0.0
2004-01-08,15,0.0,,0.0,0.0
2004-01-09,0,0.0,,0.0,0.0
2004-01-10,100,0.0,,0.0,0.0
2004-01-11,27,0.0,,0.0,0.0
2004-01-12,0,0.0,,0.0,0.0
2004-01-13,14,0.0,,0.0,0.0
2004-01-14,0,0.0,,0.0,0.0
2004-01-15,0,0.0,,0.0,0.0
2004-01-16,0,0.0,,0.0,0.0
2004-01-17,0,0.0,,0.0,0.0
2004-01-18,0,0.0,,0.0,0.0
2004-01-19,0,0.0,,0.0,0.0
2004-01-20,0,0.0,,0.0,0.0
2004-01-21,0,0.0,,0.0,0.0
2004-01-22,0,0.0,,0.0,0.0
2004-01-23,0,0.0,,0.0,0.0
2004-01-24,0,0.0,,0.0,0.0
2004-01-25,0,0.0,,0.0,0.0
2004-01-26,18,0.0,,0.0,0.0
2004-01-27,0,0.0,,0.0,0.0
2004-01-28,0,0.0,,0.0,0.0
2004-01-29,18,0.0,,0.0,0.0
2004-01-30,0,0.0,,0.0,0.0
2004-01-31,0,0.0,,0.0,0.0
2004-02-01,0,0.0,False,0.0,0.0
2004-02-02,0,0.0,,0.0,0.0
2004-02-03,0,0.0,,0.0,0.0
2004-02-04,0,0.0,,0.0,0.0
2004-02-05,26,0.0,,0.0,0.0
2004-02-06,0,0.0,,0.0,0.0
2004-02-07,0,0.0,,0.0,0.0
2004-02-08,0,0.0,,0.0,0.0
2004-02-09,0,0.0,,0.0,0.0
2004-02-10,0,0.0,,0.0,0.0
2004-02-11,0,0.0,,0.0,0.0
2004-02-12,0,0.0,,0.0,0.0
2004-02-13,0,0.0,,0.0,0.0
2004-02-14,0,0.0,,0.0,0.0
2004-02-15,0,0.0,,0.0,0.0
2004-02-16,0,0.0,,0.0,0.0
2004-02-17,0,0.0,,0.0,0.0
2004-02-18,58,0.0,,0.0,0.0
2004-02-19,0,0.0,,0.0,0.0
2004-02-20,0,0.0,,0.0,0.0
2004-02-21,0,0.0,,0.0,0.0
2004-02-22,52,0.0,,0.0,0.0
2004-02-23,0,0.0,,0.0,0.0
2004-02-24,0,0.0,,0.0,0.0
2004-02-25,0,0.0,,0.0,0.0
2004-02-26,0,0.0,,0.0,0.0
2004-02-27,0,0.0,,0.0,0.0
2004-02-28,100,0.0,,0.0,0.0
2004-02-29,0,0.0,,0.0,0.0
2004-03-01,100,100.0,False,1.0,100.0
2004-03-02,0,100.0,,1.0,0.0
2004-03-03,97,100.0,,1.0,97.0
2004-03-04,0,100.0,,1.0,0.0
2004-03-05,0,100.0,,1.0,0.0
2004-03-06,0,100.0,,1.0,0.0
2004-03-07,0,100.0,,1.0,0.0
2004-03-08,0,100.0,,1.0,0.0
2004-03-09,0,100.0,,1.0,0.0
2004-03-10,59,100.0,,1.0,59.0
2004-03-11,0,100.0,,1.0,0.0
2004-03-12,0,100.0,,1.0,0.0
2004-03-13,0,100.0,,1.0,0.0
2004-03-14,33,100.0,,1.0,33.0
2004-03-15,0,100.0,,1.0,0.0
2004-03-16,0,100.0,,1.0,0.0
2004-03-17,0,100.0,,1.0,0.0
2004-03-18,0,100.0,,1.0,0.0
2004-03-19,94,100.0,,1.0,94.0
2004-03-20,46,100.0,,1.0,46.0
2004-03-21,31,100.0,,1.0,31.0
2004-03-22,0,100.0,,1.0,0.0
2004-03-23,0,100.0,,1.0,0.0
2004-03-24,0,100.0,,1.0,0.0
2004-03-25,0,100.0,,1.0,0.0
2004-03-26,0,100.0,,1.0,0.0
2004-03-27,0,100.0,,1.0,0.0
2004-03-28,0,100.0,,1.0,0.0
2004-03-29,0,100.0,,1.0,0.0
2004-03-30,0,100.0,,1.0,0.0
2004-03-31,0,100.0,,1.0,0.0
2004-04-01,2,74.0,False,0.74,1.48
2004-04-02,0,74.0,,0.74,0.0
2004-04-03,0,74.0,,0.74,0.0
2004-04-04,0,74.0,,0.74,0.0
2004-04-05,0,74.0,,0.74,0.0
2004-04-06,0,74.0,,0.74,0.0
2004-04-07,2,74.0,,0.74,1.48
2004-04-08,7,74.0,,0.74,5.18
2004-04-09,0,74.0,,0.74,0.0
2004-04-10,0,74.0,,0.74,0.0
2004-04-11,100,74.0,,0.74,74.0
2004-04-12,0,74.0,,0.74,0.0
2004-04-13,0,74.0,,0.74,0.0
2004-04-14,0,74.0,,0.74,0.0
2004-04-15,0,74.0,,0.74,0.0
2004-04-16,0,74.0,,0.74,0.0
2004-04-17,0,74.0,,0.74,0.0
2004-04-18,4,74.0,,0.74,2.96
2004-04-19,3,74.0,,0.74,2.2199999999999998
2004-04-20,0,74.0,,0.74,0.0
2004-04-21,0,74.0,,0.74,0.0
2004-04-22,0,74.0,,0.74,0.0
2004-04-23,0,74.0,,0.74,0.0
2004-04-24,0,74.0,,0.74,0.0
2004-04-25,0,74.0,,0.74,0.0
2004-04-26,0,74.0,,0.74,0.0
2004-04-27,0,74.0,,0.74,0.0
2004-04-28,0,74.0,,0.74,0.0
2004-04-29,3,74.0,,0.74,2.2199999999999998
2004-04-30,0,74.0,,0.74,0.0
2004-05-01,0,0.0,False,0.0,0.0
2004-05-02,100,0.0,,0.0,0.0
2004-05-03,0,0.0,,0.0,0.0
2004-05-04,0,0.0,,0.0,0.0
2004-05-05,53,0.0,,0.0,0.0
2004-05-06,0,0.0,,0.0,0.0
2004-05-07,60,0.0,,0.0,0.0
2004-05-08,87,0.0,,0.0,0.0
2004-05-09,0,0.0,,0.0,0.0
2004-05-10,0,0.0,,0.0,0.0
2004-05-11,0,0.0,,0.0,0.0
2004-05-12,0,0.0,,0.0,0.0
2004-05-13,0,0.0,,0.0,0.0
2004-05-14,0,0.0,,0.0,0.0
2004-05-15,0,0.0,,0.0,0.0
2004-05-16,0,0.0,,0.0,0.0
2004-05-17,0,0.0,,0.0,0.0
2004-05-18,0,0.0,,0.0,0.0
2004-05-19,66,0.0,,0.0,0.0
2004-05-20,69,0.0,,0.0,0.0
2004-05-21,0,0.0,,0.0,0.0
2004-05-22,0,0.0,,0.0,0.0
2004-05-23,0,0.0,,0.0,0.0
2004-05-24,0,0.0,,0.0,0.0
2004-05-25,93,0.0,,0.0,0.0
2004-05-26,0,0.0,,0.0,0.0
2004-05-27,0,0.0,,0.0,0.0
2004-05-28,0,0.0,,0.0,0.0
2004-05-29,0,0.0,,0.0,0.0
2004-05-30,0,0.0,,0.0,0.0
2004-05-31,0,0.0,,0.0,0.0
2004-06-01,0,0.0,False,0.0,0.0
2004-06-02,0,0.0,,0.0,0.0
2004-06-03,23,0.0,,0.0,0.0
2004-06-04,0,0.0,,0.0,0.0
2004-06-05,0,0.0,,0.0,0.0
2004-06-06,0,0.0,,0.0,0.0
2004-06-07,0,0.0,,0.0,0.0
2004-06-08,0,0.0,,0.0,0.0
2004-06-09,0,0.0,,0.0,0.0
2004-06-10,0,0.0,,0.0,0.0
2004-06-11,0,0.0,,0.0,0.0
2004-06-12,100,0.0,,0.0,0.0
2004-06-13,56,0.0,,0.0,0.0
2004-06-14,0,0.0,,0.0,0.0
2004-06-15,0,0.0,,0.0,0.0
2004-06-16,0,0.0,,0.0,0.0
2004-06-17,0,0.0,,0.0,0.0
2004-06-18,0,0.0,,0.0,0.0
2004-06-19,35,0.0,,0.0,0.0
2004-06-20,0,0.0,,0.0,0.0
2004-06-21,0,0.0,,0.0,0.0
2004-06-22,0,0.0,,0.0,0.0
2004-06-23,0,0.0,,0.0,0.0
2004-06-24,0,0.0,,0.0,0.0
2004-06-25,0,0.0,,0.0,0.0
2004-06-26,0,0.0,,0.0,0.0
2004-06-27,53,0.0,,0.0,0.0
2004-06-28,0,0.0,,0.0,0.0
2004-06-29,0,0.0,,0.0,0.0
2004-06-30,0,0.0,,0.0,0.0
2004-07-01,0,54.0,False,0.54,0.0
2004-07-02,0,54.0,,0.54,0.0
2004-07-03,0,54.0,,0.54,0.0
2004-07-04,0,54.0,,0.54,0.0
2004-07-05,0,54.0,,0.54,0.0
2004-07-06,0,54.0,,0.54,0.0
2004-07-07,0,54.0,,0.54,0.0
2004-07-08,0,54.0,,0.54,0.0
2004-07-09,19,54.0,,0.54,10.260000000000002
2004-07-10,0,54.0,,0.54,0.0
2004-07-11,0,54.0,,0.54,0.0
