date,Verizon Stock Price
2013-10-04,14.49
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,10.29
2013-10-09,12.39
2013-10-10,0.0
2013-10-11,12.81
2013-10-12,15.75
2013-10-13,15.96
2013-10-14,5.25
2013-10-15,0.0
2013-10-16,17.22
2013-10-17,13.02
2013-10-18,15.96
2013-10-19,8.4
2013-10-20,0.0
2013-10-21,14.7
2013-10-22,21.0
2013-10-23,0.0
2013-10-24,10.92
2013-10-25,6.72
2013-10-26,0.0
2013-10-27,8.19
2013-10-28,10.29
2013-10-29,6.51
2013-10-30,7.35
2013-10-31,11.13
2013-11-01,0.0
2013-11-02,8.33
2013-11-03,0.0
2013-11-04,7.31
2013-11-05,3.4000000000000004
2013-11-06,5.1000000000000005
2013-11-07,10.54
2013-11-08,0.0
2013-11-09,7.65
2013-11-10,0.0
2013-11-11,5.1000000000000005
2013-11-12,15.98
2013-11-13,10.2
2013-11-14,17.0
2013-11-15,7.65
2013-11-16,7.65
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,7.31
2013-11-20,12.24
2013-11-21,15.13
2013-11-22,12.07
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,8.84
2013-11-26,5.44
2013-11-27,7.140000000000001
2013-11-28,0.0
2013-11-29,3.5700000000000003
2013-11-30,6.630000000000001
2013-12-01,0.0
2013-12-02,8.48
2013-12-03,6.72
2013-12-04,4.8
2013-12-05,0.0
2013-12-06,10.56
2013-12-07,13.76
2013-12-08,0.0
2013-12-09,8.48
2013-12-10,0.0
2013-12-11,10.72
2013-12-12,0.0
2013-12-13,6.08
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,16.0
2013-12-17,6.88
2013-12-18,6.72
2013-12-19,13.76
2013-12-20,11.36
2013-12-21,7.52
2013-12-22,0.0
2013-12-23,0.0
2013-12-24,0.0
2013-12-25,13.12
2013-12-26,5.44
2013-12-27,13.28
2013-12-28,0.0
2013-12-29,7.04
2013-12-30,0.0
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,3.23
2014-01-03,6.08
2014-01-04,0.0
2014-01-05,3.8
2014-01-06,19.0
2014-01-07,7.6
2014-01-08,0.0
2014-01-09,4.37
2014-01-10,6.65
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,9.12
2014-01-14,6.2700000000000005
2014-01-15,0.0
2014-01-16,4.18
2014-01-17,6.2700000000000005
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,5.13
2014-01-22,3.61
2014-01-23,2.85
2014-01-24,0.0
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,6.65
2014-01-28,2.28
2014-01-29,4.37
2014-01-30,6.65
2014-01-31,6.46
2014-02-01,3.4000000000000004
2014-02-02,3.4000000000000004
2014-02-03,6.0
2014-02-04,0.0
2014-02-05,0.0
2014-02-06,20.0
2014-02-07,11.6
2014-02-08,7.0
2014-02-09,0.0
2014-02-10,8.200000000000001
2014-02-11,2.4000000000000004
2014-02-12,3.2
2014-02-13,8.6
2014-02-14,0.0
2014-02-15,3.8
2014-02-16,0.0
2014-02-17,4.0
2014-02-18,11.2
2014-02-19,3.2
2014-02-20,4.800000000000001
2014-02-21,7.6
2014-02-22,3.6
2014-02-23,0.0
2014-02-24,8.4
2014-02-25,8.4
2014-02-26,6.2
2014-02-27,7.4
2014-02-28,13.0
2014-03-01,0.0
2014-03-02,4.18
2014-03-03,10.26
2014-03-04,0.0
2014-03-05,8.74
2014-03-06,9.31
2014-03-07,9.88
2014-03-08,0.0
2014-03-09,5.13
2014-03-10,0.0
2014-03-11,12.92
2014-03-12,6.2700000000000005
2014-03-13,2.66
2014-03-14,5.32
2014-03-15,0.0
2014-03-16,4.94
2014-03-17,3.8
2014-03-18,15.39
2014-03-19,4.37
2014-03-20,5.7
2014-03-21,8.55
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,5.7
2014-03-25,7.22
2014-03-26,4.94
2014-03-27,19.0
2014-03-28,4.75
2014-03-29,3.61
2014-03-30,0.0
2014-03-31,9.5
2014-04-01,0.0
2014-04-02,5.22
2014-04-03,3.6
2014-04-04,4.14
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,3.96
2014-04-08,12.78
2014-04-09,6.12
2014-04-10,0.0
2014-04-11,9.54
2014-04-12,11.7
2014-04-13,0.0
2014-04-14,7.02
2014-04-15,11.52
2014-04-16,3.06
2014-04-17,4.68
2014-04-18,10.08
2014-04-19,9.9
2014-04-20,3.78
2014-04-21,7.92
2014-04-22,12.24
2014-04-23,6.3
2014-04-24,9.18
2014-04-25,18.0
2014-04-26,11.7
