date,McDonald's Stock Price_unscaled,McDonald's Stock Price_monthly,scale,McDonald's Stock Price
2004-04-20,0,0.0,0.0,0.0
2004-04-21,95,0.0,0.0,0.0
2004-04-22,0,0.0,0.0,0.0
2004-04-23,57,0.0,0.0,0.0
2004-04-24,0,0.0,0.0,0.0
2004-04-25,0,0.0,0.0,0.0
2004-04-26,0,0.0,0.0,0.0
2004-04-27,85,0.0,0.0,0.0
2004-04-28,0,0.0,0.0,0.0
2004-04-29,0,0.0,0.0,0.0
2004-04-30,0,0.0,0.0,0.0
2004-05-01,77,0.0,0.0,0.0
2004-05-02,0,0.0,0.0,0.0
2004-05-03,66,0.0,0.0,0.0
2004-05-04,0,0.0,0.0,0.0
2004-05-05,0,0.0,0.0,0.0
2004-05-06,0,0.0,0.0,0.0
2004-05-07,0,0.0,0.0,0.0
2004-05-08,100,0.0,0.0,0.0
2004-05-09,0,0.0,0.0,0.0
2004-05-10,0,0.0,0.0,0.0
2004-05-11,0,0.0,0.0,0.0
2004-05-12,0,0.0,0.0,0.0
2004-05-13,85,0.0,0.0,0.0
2004-05-14,0,0.0,0.0,0.0
2004-05-15,0,0.0,0.0,0.0
2004-05-16,0,0.0,0.0,0.0
2004-05-17,0,0.0,0.0,0.0
2004-05-18,23,0.0,0.0,0.0
2004-05-19,0,0.0,0.0,0.0
2004-05-20,0,0.0,0.0,0.0
2004-05-21,89,0.0,0.0,0.0
2004-05-22,0,0.0,0.0,0.0
2004-05-23,0,0.0,0.0,0.0
2004-05-24,0,0.0,0.0,0.0
2004-05-25,0,0.0,0.0,0.0
2004-05-26,0,0.0,0.0,0.0
2004-05-27,0,0.0,0.0,0.0
2004-05-28,0,0.0,0.0,0.0
2004-05-29,0,0.0,0.0,0.0
2004-05-30,49,0.0,0.0,0.0
2004-05-31,0,0.0,0.0,0.0
2004-06-01,0,0.0,0.0,0.0
2004-06-02,0,0.0,0.0,0.0
2004-06-03,0,0.0,0.0,0.0
2004-06-04,74,0.0,0.0,0.0
2004-06-05,100,0.0,0.0,0.0
2004-06-06,0,0.0,0.0,0.0
2004-06-07,0,0.0,0.0,0.0
2004-06-08,0,0.0,0.0,0.0
2004-06-09,0,0.0,0.0,0.0
2004-06-10,0,0.0,0.0,0.0
2004-06-11,0,0.0,0.0,0.0
2004-06-12,0,0.0,0.0,0.0
2004-06-13,0,0.0,0.0,0.0
2004-06-14,0,0.0,0.0,0.0
2004-06-15,0,0.0,0.0,0.0
2004-06-16,0,0.0,0.0,0.0
2004-06-17,0,0.0,0.0,0.0
2004-06-18,50,0.0,0.0,0.0
2004-06-19,0,0.0,0.0,0.0
2004-06-20,0,0.0,0.0,0.0
2004-06-21,0,0.0,0.0,0.0
2004-06-22,0,0.0,0.0,0.0
2004-06-23,0,0.0,0.0,0.0
2004-06-24,0,0.0,0.0,0.0
2004-06-25,0,0.0,0.0,0.0
2004-06-26,90,0.0,0.0,0.0
2004-06-27,77,0.0,0.0,0.0
2004-06-28,0,0.0,0.0,0.0
2004-06-29,0,0.0,0.0,0.0
2004-06-30,0,0.0,0.0,0.0
2004-07-01,0,0.0,0.0,0.0
2004-07-02,0,0.0,0.0,0.0
2004-07-03,0,0.0,0.0,0.0
2004-07-04,0,0.0,0.0,0.0
2004-07-05,0,0.0,0.0,0.0
2004-07-06,0,0.0,0.0,0.0
2004-07-07,0,0.0,0.0,0.0
2004-07-08,53,0.0,0.0,0.0
2004-07-09,0,0.0,0.0,0.0
2004-07-10,0,0.0,0.0,0.0
2004-07-11,0,0.0,0.0,0.0
2004-07-12,0,0.0,0.0,0.0
2004-07-13,0,0.0,0.0,0.0
2004-07-14,0,0.0,0.0,0.0
2004-07-15,0,0.0,0.0,0.0
2004-07-16,0,0.0,0.0,0.0
2004-07-17,0,0.0,0.0,0.0
2004-07-18,46,0.0,0.0,0.0
2004-07-19,0,0.0,0.0,0.0
2004-07-20,0,0.0,0.0,0.0
2004-07-21,0,0.0,0.0,0.0
2004-07-22,0,0.0,0.0,0.0
2004-07-23,0,0.0,0.0,0.0
2004-07-24,0,0.0,0.0,0.0
2004-07-25,57,0.0,0.0,0.0
2004-07-26,100,0.0,0.0,0.0
2004-07-27,36,0.0,0.0,0.0
2004-07-28,0,0.0,0.0,0.0
2004-07-29,23,0.0,0.0,0.0
2004-07-30,0,0.0,0.0,0.0
2004-07-31,0,0.0,0.0,0.0
2004-08-01,0,0.0,0.0,0.0
2004-08-02,0,0.0,0.0,0.0
2004-08-03,33,0.0,0.0,0.0
2004-08-04,85,0.0,0.0,0.0
2004-08-05,0,0.0,0.0,0.0
2004-08-06,55,0.0,0.0,0.0
2004-08-07,0,0.0,0.0,0.0
2004-08-08,92,0.0,0.0,0.0
2004-08-09,0,0.0,0.0,0.0
2004-08-10,0,0.0,0.0,0.0
2004-08-11,0,0.0,0.0,0.0
2004-08-12,0,0.0,0.0,0.0
2004-08-13,33,0.0,0.0,0.0
2004-08-14,55,0.0,0.0,0.0
2004-08-15,0,0.0,0.0,0.0
2004-08-16,0,0.0,0.0,0.0
2004-08-17,0,0.0,0.0,0.0
2004-08-18,0,0.0,0.0,0.0
2004-08-19,0,0.0,0.0,0.0
2004-08-20,0,0.0,0.0,0.0
2004-08-21,0,0.0,0.0,0.0
2004-08-22,100,0.0,0.0,0.0
2004-08-23,0,0.0,0.0,0.0
2004-08-24,48,0.0,0.0,0.0
2004-08-25,0,0.0,0.0,0.0
2004-08-26,0,0.0,0.0,0.0
2004-08-27,50,0.0,0.0,0.0
2004-08-28,0,0.0,0.0,0.0
2004-08-29,0,0.0,0.0,0.0
2004-08-30,0,0.0,0.0,0.0
2004-08-31,0,0.0,0.0,0.0
2004-09-01,0,68.0,0.68,0.0
2004-09-02,0,68.0,0.68,0.0
2004-09-03,0,68.0,0.68,0.0
2004-09-04,0,68.0,0.68,0.0
2004-09-05,0,68.0,0.68,0.0
2004-09-06,0,68.0,0.68,0.0
2004-09-07,31,68.0,0.68,21.080000000000002
2004-09-08,89,68.0,0.68,60.52
2004-09-09,0,68.0,0.68,0.0
2004-09-10,0,68.0,0.68,0.0
2004-09-11,0,68.0,0.68,0.0
2004-09-12,0,68.0,0.68,0.0
2004-09-13,0,68.0,0.68,0.0
2004-09-14,0,68.0,0.68,0.0
2004-09-15,0,68.0,0.68,0.0
2004-09-16,0,68.0,0.68,0.0
2004-09-17,0,68.0,0.68,0.0
2004-09-18,0,68.0,0.68,0.0
2004-09-19,0,68.0,0.68,0.0
2004-09-20,0,68.0,0.68,0.0
2004-09-21,0,68.0,0.68,0.0
2004-09-22,46,68.0,0.68,31.28
2004-09-23,100,68.0,0.68,68.0
2004-09-24,0,68.0,0.68,0.0
2004-09-25,0,68.0,0.68,0.0
2004-09-26,0,68.0,0.68,0.0
2004-09-27,63,68.0,0.68,42.84
2004-09-28,0,68.0,0.68,0.0
2004-09-29,0,68.0,0.68,0.0
2004-09-30,0,68.0,0.68,0.0
2004-10-01,0,0.0,0.0,0.0
2004-10-02,0,0.0,0.0,0.0
2004-10-03,0,0.0,0.0,0.0
2004-10-04,0,0.0,0.0,0.0
2004-10-05,0,0.0,0.0,0.0
2004-10-06,0,0.0,0.0,0.0
2004-10-07,44,0.0,0.0,0.0
2004-10-08,0,0.0,0.0,0.0
2004-10-09,100,0.0,0.0,0.0
2004-10-10,0,0.0,0.0,0.0
2004-10-11,0,0.0,0.0,0.0
2004-10-12,0,0.0,0.0,0.0
2004-10-13,0,0.0,0.0,0.0
2004-10-14,0,0.0,0.0,0.0
2004-10-15,0,0.0,0.0,0.0
2004-10-16,0,0.0,0.0,0.0
2004-10-17,80,0.0,0.0,0.0
2004-10-18,0,0.0,0.0,0.0
2004-10-19,0,0.0,0.0,0.0
2004-10-20,0,0.0,0.0,0.0
2004-10-21,38,0.0,0.0,0.0
2004-10-22,72,0.0,0.0,0.0
2004-10-23,90,0.0,0.0,0.0
2004-10-24,81,0.0,0.0,0.0
2004-10-25,0,0.0,0.0,0.0
2004-10-26,0,0.0,0.0,0.0
2004-10-27,0,0.0,0.0,0.0
2004-10-28,0,0.0,0.0,0.0
2004-10-29,0,0.0,0.0,0.0
2004-10-30,0,0.0,0.0,0.0
2004-10-31,0,0.0,0.0,0.0
2004-11-01,0,0.0,0.0,0.0
2004-11-02,0,0.0,0.0,0.0
2004-11-03,20,0.0,0.0,0.0
2004-11-04,0,0.0,0.0,0.0
2004-11-05,0,0.0,0.0,0.0
2004-11-06,0,0.0,0.0,0.0
2004-11-07,0,0.0,0.0,0.0
2004-11-08,0,0.0,0.0,0.0
2004-11-09,0,0.0,0.0,0.0
2004-11-10,0,0.0,0.0,0.0
2004-11-11,14,0.0,0.0,0.0
2004-11-12,0,0.0,0.0,0.0
2004-11-13,100,0.0,0.0,0.0
2004-11-14,30,0.0,0.0,0.0
2004-11-15,0,0.0,0.0,0.0
2004-11-16,0,0.0,0.0,0.0
2004-11-17,0,0.0,0.0,0.0
2004-11-18,0,0.0,0.0,0.0
2004-11-19,0,0.0,0.0,0.0
2004-11-20,0,0.0,0.0,0.0
2004-11-21,34,0.0,0.0,0.0
2004-11-22,0,0.0,0.0,0.0
2004-11-23,12,0.0,0.0,0.0
2004-11-24,0,0.0,0.0,0.0
2004-11-25,49,0.0,0.0,0.0
2004-11-26,0,0.0,0.0,0.0
2004-11-27,0,0.0,0.0,0.0
2004-11-28,0,0.0,0.0,0.0
2004-11-29,0,0.0,0.0,0.0
2004-11-30,0,0.0,0.0,0.0
2004-12-01,0,0.0,0.0,0.0
2004-12-02,0,0.0,0.0,0.0
2004-12-03,0,0.0,0.0,0.0
2004-12-04,0,0.0,0.0,0.0
2004-12-05,0,0.0,0.0,0.0
2004-12-06,0,0.0,0.0,0.0
2004-12-07,0,0.0,0.0,0.0
2004-12-08,0,0.0,0.0,0.0
2004-12-09,0,0.0,0.0,0.0
2004-12-10,0,0.0,0.0,0.0
2004-12-11,0,0.0,0.0,0.0
2004-12-12,0,0.0,0.0,0.0
2004-12-13,0,0.0,0.0,0.0
2004-12-14,0,0.0,0.0,0.0
2004-12-15,73,0.0,0.0,0.0
2004-12-16,0,0.0,0.0,0.0
2004-12-17,100,0.0,0.0,0.0
2004-12-18,0,0.0,0.0,0.0
2004-12-19,0,0.0,0.0,0.0
2004-12-20,0,0.0,0.0,0.0
2004-12-21,0,0.0,0.0,0.0
2004-12-22,0,0.0,0.0,0.0
2004-12-23,37,0.0,0.0,0.0
2004-12-24,0,0.0,0.0,0.0
2004-12-25,0,0.0,0.0,0.0
2004-12-26,0,0.0,0.0,0.0
2004-12-27,0,0.0,0.0,0.0
2004-12-28,0,0.0,0.0,0.0
2004-12-29,0,0.0,0.0,0.0
2004-12-30,0,0.0,0.0,0.0
2004-12-31,0,0.0,0.0,0.0
2005-01-01,0,8.0,0.08,0.0
2005-01-02,0,8.0,0.08,0.0
2005-01-03,18,8.0,0.08,1.44
2005-01-04,45,8.0,0.08,3.6
2005-01-05,0,8.0,0.08,0.0
2005-01-06,0,8.0,0.08,0.0
2005-01-07,0,8.0,0.08,0.0
2005-01-08,0,8.0,0.08,0.0
2005-01-09,0,8.0,0.08,0.0
2005-01-10,0,8.0,0.08,0.0
2005-01-11,0,8.0,0.08,0.0
2005-01-12,0,8.0,0.08,0.0
2005-01-13,0,8.0,0.08,0.0
2005-01-14,0,8.0,0.08,0.0
2005-01-15,0,8.0,0.08,0.0
2005-01-16,26,8.0,0.08,2.08
2005-01-17,0,8.0,0.08,0.0
2005-01-18,0,8.0,0.08,0.0
2005-01-19,0,8.0,0.08,0.0
2005-01-20,0,8.0,0.08,0.0
2005-01-21,0,8.0,0.08,0.0
2005-01-22,0,8.0,0.08,0.0
2005-01-23,0,8.0,0.08,0.0
2005-01-24,21,8.0,0.08,1.68
2005-01-25,0,8.0,0.08,0.0
2005-01-26,0,8.0,0.08,0.0
2005-01-27,0,8.0,0.08,0.0
2005-01-28,0,8.0,0.08,0.0
2005-01-29,100,8.0,0.08,8.0
2005-01-30,0,8.0,0.08,0.0
2005-01-31,0,8.0,0.08,0.0
2005-02-01,25,0.0,0.0,0.0
2005-02-02,44,0.0,0.0,0.0
2005-02-03,39,0.0,0.0,0.0
2005-02-04,26,0.0,0.0,0.0
2005-02-05,0,0.0,0.0,0.0
2005-02-06,0,0.0,0.0,0.0
2005-02-07,0,0.0,0.0,0.0
2005-02-08,33,0.0,0.0,0.0
2005-02-09,0,0.0,0.0,0.0
2005-02-10,0,0.0,0.0,0.0
2005-02-11,0,0.0,0.0,0.0
2005-02-12,0,0.0,0.0,0.0
2005-02-13,0,0.0,0.0,0.0
2005-02-14,0,0.0,0.0,0.0
2005-02-15,0,0.0,0.0,0.0
2005-02-16,0,0.0,0.0,0.0
2005-02-17,0,0.0,0.0,0.0
2005-02-18,43,0.0,0.0,0.0
2005-02-19,0,0.0,0.0,0.0
2005-02-20,0,0.0,0.0,0.0
2005-02-21,0,0.0,0.0,0.0
2005-02-22,0,0.0,0.0,0.0
2005-02-23,0,0.0,0.0,0.0
2005-02-24,0,0.0,0.0,0.0
2005-02-25,0,0.0,0.0,0.0
2005-02-26,100,0.0,0.0,0.0
2005-02-27,0,0.0,0.0,0.0
2005-02-28,0,0.0,0.0,0.0
2005-03-01,0,33.0,0.33,0.0
2005-03-02,0,33.0,0.33,0.0
2005-03-03,0,33.0,0.33,0.0
2005-03-04,0,33.0,0.33,0.0
2005-03-05,0,33.0,0.33,0.0
2005-03-06,0,33.0,0.33,0.0
2005-03-07,0,33.0,0.33,0.0
2005-03-08,0,33.0,0.33,0.0
2005-03-09,0,33.0,0.33,0.0
2005-03-10,0,33.0,0.33,0.0
2005-03-11,0,33.0,0.33,0.0
2005-03-12,0,33.0,0.33,0.0
2005-03-13,36,33.0,0.33,11.88
2005-03-14,0,33.0,0.33,0.0
2005-03-15,0,33.0,0.33,0.0
2005-03-16,0,33.0,0.33,0.0
2005-03-17,0,33.0,0.33,0.0
2005-03-18,34,33.0,0.33,11.22
2005-03-19,0,33.0,0.33,0.0
2005-03-20,100,33.0,0.33,33.0
2005-03-21,0,33.0,0.33,0.0
2005-03-22,16,33.0,0.33,5.28
2005-03-23,0,33.0,0.33,0.0
2005-03-24,0,33.0,0.33,0.0
2005-03-25,0,33.0,0.33,0.0
2005-03-26,0,33.0,0.33,0.0
2005-03-27,0,33.0,0.33,0.0
2005-03-28,0,33.0,0.33,0.0
2005-03-29,13,33.0,0.33,4.29
2005-03-30,0,33.0,0.33,0.0
2005-03-31,0,33.0,0.33,0.0
2005-04-01,14,17.0,0.17,2.3800000000000003
2005-04-02,0,17.0,0.17,0.0
2005-04-03,0,17.0,0.17,0.0
2005-04-04,0,17.0,0.17,0.0
2005-04-05,0,17.0,0.17,0.0
2005-04-06,0,17.0,0.17,0.0
2005-04-07,0,17.0,0.17,0.0
2005-04-08,0,17.0,0.17,0.0
2005-04-09,73,17.0,0.17,12.41
2005-04-10,0,17.0,0.17,0.0
2005-04-11,0,17.0,0.17,0.0
2005-04-12,0,17.0,0.17,0.0
2005-04-13,16,17.0,0.17,2.72
2005-04-14,0,17.0,0.17,0.0
2005-04-15,0,17.0,0.17,0.0
2005-04-16,0,17.0,0.17,0.0
2005-04-17,0,17.0,0.17,0.0
2005-04-18,0,17.0,0.17,0.0
2005-04-19,0,17.0,0.17,0.0
2005-04-20,0,17.0,0.17,0.0
2005-04-21,0,17.0,0.17,0.0
2005-04-22,32,17.0,0.17,5.44
2005-04-23,0,17.0,0.17,0.0
2005-04-24,0,17.0,0.17,0.0
2005-04-25,0,17.0,0.17,0.0
2005-04-26,0,17.0,0.17,0.0
2005-04-27,0,17.0,0.17,0.0
2005-04-28,0,17.0,0.17,0.0
2005-04-29,0,17.0,0.17,0.0
2005-04-30,100,17.0,0.17,17.0
2005-05-01,0,0.0,0.0,0.0
2005-05-02,38,0.0,0.0,0.0
2005-05-03,0,0.0,0.0,0.0
2005-05-04,0,0.0,0.0,0.0
2005-05-05,41,0.0,0.0,0.0
2005-05-06,0,0.0,0.0,0.0
2005-05-07,80,0.0,0.0,0.0
2005-05-08,0,0.0,0.0,0.0
2005-05-09,0,0.0,0.0,0.0
2005-05-10,0,0.0,0.0,0.0
2005-05-11,0,0.0,0.0,0.0
2005-05-12,34,0.0,0.0,0.0
2005-05-13,0,0.0,0.0,0.0
2005-05-14,0,0.0,0.0,0.0
2005-05-15,0,0.0,0.0,0.0
2005-05-16,0,0.0,0.0,0.0
2005-05-17,0,0.0,0.0,0.0
2005-05-18,0,0.0,0.0,0.0
2005-05-19,0,0.0,0.0,0.0
2005-05-20,0,0.0,0.0,0.0
2005-05-21,0,0.0,0.0,0.0
2005-05-22,78,0.0,0.0,0.0
2005-05-23,0,0.0,0.0,0.0
2005-05-24,98,0.0,0.0,0.0
2005-05-25,0,0.0,0.0,0.0
2005-05-26,0,0.0,0.0,0.0
2005-05-27,0,0.0,0.0,0.0
2005-05-28,100,0.0,0.0,0.0
2005-05-29,0,0.0,0.0,0.0
2005-05-30,0,0.0,0.0,0.0
2005-05-31,0,0.0,0.0,0.0
2005-06-01,0,0.0,0.0,0.0
2005-06-02,0,0.0,0.0,0.0
2005-06-03,0,0.0,0.0,0.0
2005-06-04,0,0.0,0.0,0.0
2005-06-05,0,0.0,0.0,0.0
2005-06-06,47,0.0,0.0,0.0
2005-06-07,27,0.0,0.0,0.0
2005-06-08,0,0.0,0.0,0.0
2005-06-09,0,0.0,0.0,0.0
2005-06-10,91,0.0,0.0,0.0
2005-06-11,0,0.0,0.0,0.0
2005-06-12,0,0.0,0.0,0.0
2005-06-13,0,0.0,0.0,0.0
2005-06-14,0,0.0,0.0,0.0
2005-06-15,59,0.0,0.0,0.0
2005-06-16,0,0.0,0.0,0.0
2005-06-17,100,0.0,0.0,0.0
2005-06-18,55,0.0,0.0,0.0
2005-06-19,76,0.0,0.0,0.0
2005-06-20,0,0.0,0.0,0.0
2005-06-21,0,0.0,0.0,0.0
2005-06-22,72,0.0,0.0,0.0
2005-06-23,0,0.0,0.0,0.0
2005-06-24,0,0.0,0.0,0.0
2005-06-25,73,0.0,0.0,0.0
2005-06-26,0,0.0,0.0,0.0
2005-06-27,0,0.0,0.0,0.0
2005-06-28,0,0.0,0.0,0.0
2005-06-29,0,0.0,0.0,0.0
2005-06-30,52,0.0,0.0,0.0
2005-07-01,54,0.0,0.0,0.0
2005-07-02,85,0.0,0.0,0.0
2005-07-03,0,0.0,0.0,0.0
2005-07-04,0,0.0,0.0,0.0
2005-07-05,47,0.0,0.0,0.0
2005-07-06,69,0.0,0.0,0.0
2005-07-07,34,0.0,0.0,0.0
2005-07-08,0,0.0,0.0,0.0
2005-07-09,0,0.0,0.0,0.0
2005-07-10,0,0.0,0.0,0.0
2005-07-11,0,0.0,0.0,0.0
2005-07-12,25,0.0,0.0,0.0
2005-07-13,0,0.0,0.0,0.0
2005-07-14,0,0.0,0.0,0.0
2005-07-15,0,0.0,0.0,0.0
2005-07-16,0,0.0,0.0,0.0
2005-07-17,0,0.0,0.0,0.0
2005-07-18,0,0.0,0.0,0.0
2005-07-19,0,0.0,0.0,0.0
2005-07-20,25,0.0,0.0,0.0
2005-07-21,0,0.0,0.0,0.0
2005-07-22,0,0.0,0.0,0.0
2005-07-23,0,0.0,0.0,0.0
2005-07-24,0,0.0,0.0,0.0
2005-07-25,0,0.0,0.0,0.0
2005-07-26,79,0.0,0.0,0.0
2005-07-27,31,0.0,0.0,0.0
2005-07-28,0,0.0,0.0,0.0
2005-07-29,0,0.0,0.0,0.0
2005-07-30,0,0.0,0.0,0.0
2005-07-31,100,0.0,0.0,0.0
2005-08-01,0,0.0,0.0,0.0
2005-08-02,0,0.0,0.0,0.0
2005-08-03,0,0.0,0.0,0.0
2005-08-04,0,0.0,0.0,0.0
2005-08-05,0,0.0,0.0,0.0
2005-08-06,0,0.0,0.0,0.0
2005-08-07,0,0.0,0.0,0.0
2005-08-08,0,0.0,0.0,0.0
2005-08-09,0,0.0,0.0,0.0
2005-08-10,0,0.0,0.0,0.0
2005-08-11,0,0.0,0.0,0.0
2005-08-12,0,0.0,0.0,0.0
2005-08-13,68,0.0,0.0,0.0
2005-08-14,0,0.0,0.0,0.0
2005-08-15,0,0.0,0.0,0.0
2005-08-16,0,0.0,0.0,0.0
2005-08-17,62,0.0,0.0,0.0
2005-08-18,100,0.0,0.0,0.0
2005-08-19,0,0.0,0.0,0.0
2005-08-20,0,0.0,0.0,0.0
2005-08-21,0,0.0,0.0,0.0
2005-08-22,0,0.0,0.0,0.0
2005-08-23,0,0.0,0.0,0.0
2005-08-24,0,0.0,0.0,0.0
2005-08-25,0,0.0,0.0,0.0
2005-08-26,0,0.0,0.0,0.0
2005-08-27,0,0.0,0.0,0.0
2005-08-28,0,0.0,0.0,0.0
2005-08-29,65,0.0,0.0,0.0
2005-08-30,0,0.0,0.0,0.0
2005-08-31,0,0.0,0.0,0.0
2005-09-01,0,68.0,0.68,0.0
2005-09-02,18,68.0,0.68,12.24
2005-09-03,0,68.0,0.68,0.0
2005-09-04,100,68.0,0.68,68.0
2005-09-05,89,68.0,0.68,60.52
2005-09-06,27,68.0,0.68,18.360000000000003
2005-09-07,27,68.0,0.68,18.360000000000003
2005-09-08,0,68.0,0.68,0.0
2005-09-09,17,68.0,0.68,11.56
2005-09-10,19,68.0,0.68,12.920000000000002
2005-09-11,0,68.0,0.68,0.0
2005-09-12,0,68.0,0.68,0.0
2005-09-13,0,68.0,0.68,0.0
2005-09-14,14,68.0,0.68,9.520000000000001
2005-09-15,0,68.0,0.68,0.0
2005-09-16,0,68.0,0.68,0.0
2005-09-17,0,68.0,0.68,0.0
2005-09-18,0,68.0,0.68,0.0
2005-09-19,17,68.0,0.68,11.56
2005-09-20,0,68.0,0.68,0.0
2005-09-21,0,68.0,0.68,0.0
2005-09-22,0,68.0,0.68,0.0
2005-09-23,0,68.0,0.68,0.0
2005-09-24,0,68.0,0.68,0.0
2005-09-25,0,68.0,0.68,0.0
2005-09-26,0,68.0,0.68,0.0
2005-09-27,0,68.0,0.68,0.0
2005-09-28,0,68.0,0.68,0.0
2005-09-29,0,68.0,0.68,0.0
2005-09-30,0,68.0,0.68,0.0
2005-10-01,0,0.0,0.0,0.0
2005-10-02,0,0.0,0.0,0.0
2005-10-03,0,0.0,0.0,0.0
2005-10-04,20,0.0,0.0,0.0
2005-10-05,0,0.0,0.0,0.0
2005-10-06,0,0.0,0.0,0.0
2005-10-07,0,0.0,0.0,0.0
2005-10-08,0,0.0,0.0,0.0
2005-10-09,0,0.0,0.0,0.0
2005-10-10,0,0.0,0.0,0.0
2005-10-11,0,0.0,0.0,0.0
2005-10-12,0,0.0,0.0,0.0
2005-10-13,0,0.0,0.0,0.0
2005-10-14,0,0.0,0.0,0.0
2005-10-15,0,0.0,0.0,0.0
2005-10-16,0,0.0,0.0,0.0
2005-10-17,0,0.0,0.0,0.0
2005-10-18,0,0.0,0.0,0.0
2005-10-19,0,0.0,0.0,0.0
2005-10-20,0,0.0,0.0,0.0
2005-10-21,36,0.0,0.0,0.0
