Date,PX_LAST,Change,% Change,PX_OPEN,Change.1,% Change.1,PX_HIGH,Change.2,% Change.2,PX_LOW,Change.3,% Change.3
2023-12-29,0.0904,-0.0010000000000000009,-1.0940919037199135,0.0914,0.0,0.0,0.0931,0.001700000000000007,1.859956236323859,0.09,-0.0013999999999999985,-1.5317286652078759
2023-12-28,0.0914,-0.0021000000000000046,-2.245989304812839,0.0935,0.0,0.0,0.095,0.0015000000000000013,1.6042780748663117,0.0911,-0.0023999999999999994,-2.5668449197860954
2023-12-27,0.0935,0.0025000000000000022,2.74725274725275,0.091,0.0,0.0,0.0939,0.0029,3.1868131868131866,0.0896,-0.0013999999999999985,-1.5384615384615368
2023-12-26,0.091,-0.0032000000000000084,-3.3970276008492655,0.0942,0.0,0.0,0.095,0.0007999999999999952,0.849256900212309,0.0871,-0.007100000000000009,-7.537154989384297
2023-12-25,0.0942,-0.00019999999999999185,-0.21186440677965238,0.0936,-0.0007999999999999952,-0.8474576271186389,0.0954,0.0010000000000000009,1.059322033898306,0.0907,-0.003699999999999995,-3.9194915254237235
2023-12-22,0.0944,-0.0022000000000000075,-2.2774327122153286,0.0966,0.0,0.0,0.0977,0.0010999999999999899,1.1387163561076499,0.092,-0.004600000000000007,-4.761904761904769
2023-12-21,0.0966,0.005600000000000008,6.153846153846162,0.091,0.0,0.0,0.0979,0.006900000000000003,7.582417582417587,0.0906,-0.0003999999999999976,-0.4395604395604369
2023-12-20,0.091,-0.00020000000000000573,-0.21929824561404135,0.0912,0.0,0.0,0.0934,0.0021999999999999936,2.412280701754379,0.0894,-0.00180000000000001,-1.9736842105263266
2023-12-19,0.0912,-0.0007999999999999952,-0.8695652173912991,0.092,0.0,0.0,0.0935,0.0015000000000000013,1.6304347826086971,0.0893,-0.002699999999999994,-2.9347826086956457
2023-12-18,0.092,-0.0023999999999999994,-2.5423728813559316,0.0952,0.000800000000000009,0.8474576271186537,0.0958,0.0013999999999999985,1.4830508474576256,0.0864,-0.007999999999999993,-8.474576271186434
2023-12-15,0.0944,-0.0032999999999999974,-3.377686796315248,0.0977,0.0,0.0,0.0988,0.0011000000000000038,1.125895598771754,0.0932,-0.00449999999999999,-4.6059365404298775
2023-12-14,0.0977,0.0012999999999999956,1.348547717842319,0.0964,0.0,0.0,0.0988,0.0023999999999999994,2.4896265560165967,0.0937,-0.002699999999999994,-2.8008298755186662
2023-12-13,0.0964,0.004500000000000004,4.896626768226337,0.0919,0.0,0.0,0.0965,0.004600000000000007,5.005440696409148,0.0898,-0.0020999999999999908,-2.2850924918389453
2023-12-12,0.0919,-0.0023999999999999994,-2.5450689289501587,0.0943,0.0,0.0,0.0982,0.0039000000000000007,4.13573700954401,0.0912,-0.0030999999999999917,-3.287380699893947
2023-12-11,0.0943,-0.007800000000000001,-7.63956904995103,0.1004,-0.0016999999999999932,-1.6650342801175253,0.1072,0.005100000000000007,4.995102840352602,0.0911,-0.010999999999999996,-10.773751224289908
