gvkey,datadate,fqtr,tic,conm,net_income,revenue,total_assets,shareholders_equity,total_liabilities,total_debt,sales,operating_activities_cf,capital_expenditures,interest_expense,common_shares_outstanding,earnings_per_share,dividends_per_share
001690,2016-03-31,2,AAPL,APPLE INC,10516.0,50557.0,305277.0,130457.0,174820.0,69374.0,50557.0,39064.0,5948.0,321.0,5478.446,1.91,0.52
001690,2016-06-30,3,AAPL,APPLE INC,7796.0,42358.0,305602.0,126541.0,179061.0,68939.0,42358.0,49698.0,8757.0,409.0,5393.165,1.43,0.57
001690,2016-09-30,4,AAPL,APPLE INC,9014.0,46852.0,321686.0,128249.0,193437.0,75427.0,46852.0,65824.0,12734.0,450.0,5336.166,1.68,0.57
001690,2016-12-31,1,AAPL,APPLE INC,17891.0,78351.0,331141.0,132390.0,198751.0,73557.0,78351.0,27056.0,3334.0,525.0,5255.423,3.38,0.57
001690,2017-03-31,2,AAPL,APPLE INC,11029.0,52896.0,334532.0,134082.0,200450.0,84531.0,52896.0,39579.0,6309.0,530.0,5205.815,2.11,0.57
001690,2017-06-30,3,AAPL,APPLE INC,8717.0,45408.0,345173.0,132425.0,212748.0,89864.0,45408.0,47942.0,8586.0,602.0,5169.782,1.68,0.63
001690,2017-09-30,4,AAPL,APPLE INC,10714.0,52579.0,375319.0,134047.0,241272.0,97207.0,52579.0,63598.0,12451.0,666.0,5126.201,2.08,0.63
001690,2017-12-31,1,AAPL,APPLE INC,20065.0,88293.0,406794.0,140199.0,266595.0,103922.0,88293.0,28293.0,2810.0,734.0,5081.651,3.92,0.63
001690,2018-03-31,2,AAPL,APPLE INC,13822.0,61137.0,367502.0,126878.0,240624.0,101362.0,61137.0,43423.0,7005.0,792.0,4943.282,2.75,0.63
001690,2018-06-30,3,AAPL,APPLE INC,11519.0,53029.0,349197.0,114949.0,234248.0,97128.0,53029.0,57911.0,10272.0,846.0,4842.917,2.36,0.73
001690,2018-09-30,4,AAPL,APPLE INC,14125.0,62900.0,365725.0,107147.0,258578.0,93735.0,62900.0,77434.0,13313.0,868.0,4754.986,2.94,0.73
001690,2018-12-31,1,AAPL,APPLE INC,19965.0,84310.0,373719.0,117892.0,255827.0,92989.0,84310.0,26690.0,3355.0,890.0,4729.803,4.22,0.73
001690,2019-03-31,2,AAPL,APPLE INC,11561.0,58015.0,341998.0,105860.0,236138.0,90201.0,58015.0,37845.0,5718.0,1010.0,4607.284,2.47,0.73
