date,AAPL
2013-08-28,28.91
2013-08-29,25.96
2013-08-30,24.19
2013-08-31,7.08
2013-09-01,4.48
2013-09-02,6.4
2013-09-03,26.88
2013-09-04,27.52
2013-09-05,26.88
2013-09-06,26.24
2013-09-07,8.32
2013-09-08,7.04
2013-09-09,33.28
2013-09-10,64.0
2013-09-11,64.0
2013-09-12,46.72
2013-09-13,35.2
2013-09-14,10.24
2013-09-15,6.4
2013-09-16,33.92
2013-09-17,33.92
2013-09-18,35.2
2013-09-19,37.12
2013-09-20,40.32
2013-09-21,12.16
2013-09-22,8.32
2013-09-23,51.2
2013-09-24,42.24
2013-09-25,32.0
2013-09-26,29.44
2013-09-27,26.88
2013-09-28,7.68
2013-09-29,5.76
2013-09-30,27.52
2013-10-01,30.87
2013-10-02,28.98
2013-10-03,25.83
2013-10-04,23.31
2013-10-05,7.56
2013-10-06,5.67
2013-10-07,27.09
2013-10-08,26.46
2013-10-09,27.72
2013-10-10,27.72
2013-10-11,23.31
2013-10-12,6.93
2013-10-13,5.04
2013-10-14,22.68
2013-10-15,29.61
2013-10-16,28.35
2013-10-17,28.98
2013-10-18,33.39
2013-10-19,10.08
2013-10-20,6.93
2013-10-21,35.28
2013-10-22,52.92
2013-10-23,41.58
2013-10-24,38.43
2013-10-25,33.39
2013-10-26,11.34
2013-10-27,8.19
2013-10-28,63.0
2013-10-29,53.55
2013-10-30,38.43
2013-10-31,27.09
2013-11-01,37.24
2013-11-02,12.92
2013-11-03,8.74
2013-11-04,37.62
2013-11-05,38.0
2013-11-06,35.34
2013-11-07,36.86
2013-11-08,34.2
2013-11-09,11.78
2013-11-10,7.98
2013-11-11,31.92
2013-11-12,34.96
2013-11-13,32.3
2013-11-14,33.44
2013-11-15,34.58
2013-11-16,10.26
2013-11-17,7.22
2013-11-18,31.54
2013-11-19,31.16
2013-11-20,28.5
2013-11-21,30.78
2013-11-22,29.64
2013-11-23,8.36
2013-11-24,6.46
2013-11-25,24.32
2013-11-26,30.4
2013-11-27,37.62
2013-11-28,16.34
2013-11-29,33.82
2013-11-30,15.58
2013-12-01,8.16
2013-12-02,27.84
2013-12-03,30.24
2013-12-04,32.64
2013-12-05,41.28
2013-12-06,32.16
2013-12-07,9.6
2013-12-08,6.72
2013-12-09,27.84
2013-12-10,26.88
2013-12-11,25.92
2013-12-12,24.0
2013-12-13,24.0
2013-12-14,8.16
2013-12-15,6.24
2013-12-16,24.48
2013-12-17,23.04
2013-12-18,27.84
2013-12-19,26.4
2013-12-20,27.36
2013-12-21,8.64
2013-12-22,9.6
2013-12-23,48.0
2013-12-24,32.16
2013-12-25,11.04
2013-12-26,25.92
2013-12-27,26.4
2013-12-28,9.6
2013-12-29,6.24
2013-12-30,22.08
2013-12-31,24.0
2014-01-01,6.0
2014-01-02,15.5
2014-01-03,17.0
2014-01-04,6.0
2014-01-05,3.0
2014-01-06,16.5
2014-01-07,15.5
2014-01-08,14.0
2014-01-09,16.0
2014-01-10,14.0
2014-01-11,5.0
2014-01-12,3.0
2014-01-13,14.0
2014-01-14,16.0
2014-01-15,20.0
2014-01-16,18.0
2014-01-17,19.0
2014-01-18,6.0
2014-01-19,3.5
2014-01-20,9.5
2014-01-21,18.0
2014-01-22,17.5
2014-01-23,17.0
2014-01-24,19.0
2014-01-25,6.5
2014-01-26,4.5
2014-01-27,34.5
2014-01-28,50.0
2014-01-29,32.0
2014-01-30,23.0
2014-01-31,20.5
2014-02-01,11.07
2014-02-02,8.61
2014-02-03,34.03
2014-02-04,35.669999999999995
2014-02-05,29.52
2014-02-06,31.16
2014-02-07,41.0
2014-02-08,12.71
2014-02-09,8.2
2014-02-10,33.62
2014-02-11,32.8
2014-02-12,31.57
2014-02-13,32.8
2014-02-14,31.16
2014-02-15,11.07
2014-02-16,6.97
2014-02-17,15.17
2014-02-18,29.52
2014-02-19,29.11
2014-02-20,29.52
2014-02-21,27.06
2014-02-22,9.02
2014-02-23,6.15
2014-02-24,28.7
2014-02-25,25.42
2014-02-26,26.65
2014-02-27,29.11
2014-02-28,30.75
2014-03-01,10.73
2014-03-02,5.8
2014-03-03,29.0
2014-03-04,27.84
2014-03-05,26.1
2014-03-06,24.07
2014-03-07,23.78
2014-03-08,6.38
2014-03-09,5.8
2014-03-10,23.49
2014-03-11,24.07
2014-03-12,22.04
2014-03-13,20.88
2014-03-14,22.62
2014-03-15,7.539999999999999
2014-03-16,4.93
2014-03-17,23.2
2014-03-18,24.65
2014-03-19,21.75
2014-03-20,22.62
2014-03-21,20.01
2014-03-22,5.8
2014-03-23,4.64
2014-03-24,23.49
2014-03-25,25.52
2014-03-26,26.1
2014-03-27,22.33
2014-03-28,22.04
2014-03-29,5.51
2014-03-30,4.64
2014-03-31,21.17
2014-04-01,10.66
2014-04-02,9.43
2014-04-03,9.43
2014-04-04,8.61
2014-04-05,3.28
2014-04-06,2.05
2014-04-07,9.43
2014-04-08,9.43
2014-04-09,8.61
2014-04-10,11.07
2014-04-11,9.02
2014-04-12,2.87
2014-04-13,2.46
2014-04-14,9.43
2014-04-15,8.61
2014-04-16,9.43
2014-04-17,9.43
2014-04-18,6.15
2014-04-19,2.05
2014-04-20,1.64
2014-04-21,10.25
2014-04-22,11.07
2014-04-23,28.29
2014-04-24,41.0
2014-04-25,23.78
2014-04-26,6.56
2014-04-27,4.1
2014-04-28,18.86
2014-04-29,19.68
2014-04-30,18.04
2014-05-01,34.32
2014-05-02,29.04
2014-05-03,12.32
2014-05-04,6.16
2014-05-05,31.24
2014-05-06,34.32
2014-05-07,29.48
2014-05-08,29.04
2014-05-09,39.16
2014-05-10,9.68
2014-05-11,7.04
2014-05-12,29.04
2014-05-13,29.92
2014-05-14,26.84
2014-05-15,27.72
2014-05-16,23.76
2014-05-17,10.12
2014-05-18,5.72
2014-05-19,26.4
2014-05-20,29.04
2014-05-21,29.48
2014-05-22,26.84
2014-05-23,29.92
2014-05-24,9.68
2014-05-25,7.92
2014-05-26,7.48
2014-05-27,34.32
2014-05-28,40.04
2014-05-29,41.8
2014-05-30,44.0
2014-05-31,13.64
2014-06-01,6.0
2014-06-02,41.4
2014-06-03,30.6
2014-06-04,28.8
2014-06-05,27.0
2014-06-06,29.4
2014-06-07,14.4
2014-06-08,10.8
2014-06-09,60.0
2014-06-10,42.6
2014-06-11,38.4
2014-06-12,30.0
2014-06-13,31.2
2014-06-14,9.6
2014-06-15,6.6
2014-06-16,27.6
2014-06-17,25.2
2014-06-18,25.2
2014-06-19,23.4
2014-06-20,23.4
2014-06-21,9.0
2014-06-22,4.8
2014-06-23,21.0
2014-06-24,21.0
2014-06-25,21.6
2014-06-26,21.0
2014-06-27,21.6
2014-06-28,6.6
2014-06-29,6.0
2014-06-30,22.2
2014-07-01,23.92
2014-07-02,22.36
2014-07-03,23.4
2014-07-04,6.76
2014-07-05,4.68
2014-07-06,4.16
2014-07-07,24.44
2014-07-08,24.96
2014-07-09,22.36
