date,HON
2013-10-14,31.95
2013-10-15,35.1
2013-10-16,34.65
2013-10-17,39.6
2013-10-18,36.9
2013-10-19,36.9
2013-10-20,32.85
2013-10-21,34.65
2013-10-22,33.75
2013-10-23,38.7
2013-10-24,34.65
2013-10-25,36.45
2013-10-26,35.1
2013-10-27,31.5
2013-10-28,38.25
2013-10-29,27.45
2013-10-30,37.35
2013-10-31,38.7
2013-11-01,37.2
2013-11-02,31.6
2013-11-03,29.200000000000003
2013-11-04,33.6
2013-11-05,32.4
2013-11-06,34.800000000000004
2013-11-07,34.4
2013-11-08,35.2
2013-11-09,31.6
2013-11-10,36.0
2013-11-11,35.2
2013-11-12,38.400000000000006
2013-11-13,34.0
2013-11-14,30.4
2013-11-15,40.0
2013-11-16,28.4
2013-11-17,30.0
2013-11-18,35.2
2013-11-19,32.4
2013-11-20,35.2
2013-11-21,32.4
2013-11-22,28.8
2013-11-23,28.0
2013-11-24,34.0
2013-11-25,30.0
2013-11-26,25.200000000000003
2013-11-27,31.200000000000003
2013-11-28,28.0
2013-11-29,30.4
2013-11-30,24.8
2013-12-01,25.76
2013-12-02,27.14
2013-12-03,29.9
2013-12-04,35.42
2013-12-05,32.660000000000004
2013-12-06,37.72
2013-12-07,36.8
2013-12-08,31.74
2013-12-09,35.42
2013-12-10,35.88
2013-12-11,34.04
2013-12-12,36.8
2013-12-13,35.88
2013-12-14,34.5
2013-12-15,46.0
2013-12-16,40.940000000000005
2013-12-17,32.660000000000004
2013-12-18,41.86
2013-12-19,37.72
2013-12-20,40.48
2013-12-21,34.5
2013-12-22,36.8
2013-12-23,41.4
2013-12-24,36.34
2013-12-25,41.86
2013-12-26,41.86
2013-12-27,37.260000000000005
2013-12-28,35.88
2013-12-29,31.28
2013-12-30,40.940000000000005
2013-12-31,39.1
2014-01-01,36.26
2014-01-02,39.2
2014-01-03,45.57
2014-01-04,37.24
2014-01-05,31.36
2014-01-06,40.67
2014-01-07,49.0
2014-01-08,44.59
2014-01-09,44.59
2014-01-10,41.65
2014-01-11,30.87
2014-01-12,41.16
2014-01-13,46.55
2014-01-14,39.2
2014-01-15,40.67
2014-01-16,41.16
2014-01-17,38.22
2014-01-18,33.81
2014-01-19,32.34
2014-01-20,36.26
2014-01-21,34.3
2014-01-22,39.69
2014-01-23,37.73
2014-01-24,37.24
2014-01-25,33.32
2014-01-26,42.63
2014-01-27,37.73
2014-01-28,42.63
2014-01-29,44.59
2014-01-30,37.24
2014-01-31,42.63
2014-02-01,28.6
2014-02-02,31.24
2014-02-03,30.36
2014-02-04,30.36
2014-02-05,29.92
2014-02-06,24.64
2014-02-07,35.2
2014-02-08,32.12
2014-02-09,28.16
2014-02-10,27.28
2014-02-11,37.84
2014-02-12,33.88
2014-02-13,38.72
2014-02-14,35.2
2014-02-15,29.48
2014-02-16,38.72
2014-02-17,37.84
2014-02-18,37.4
2014-02-19,36.96
2014-02-20,31.68
2014-02-21,37.4
2014-02-22,37.4
2014-02-23,27.72
2014-02-24,42.68
2014-02-25,30.36
2014-02-26,30.8
2014-02-27,32.56
2014-02-28,44.0
2014-03-01,36.66
2014-03-02,33.37
2014-03-03,34.78
2014-03-04,41.83
2014-03-05,40.42
2014-03-06,47.0
2014-03-07,38.54
2014-03-08,39.48
2014-03-09,38.07
2014-03-10,39.01
2014-03-11,37.13
2014-03-12,44.65
2014-03-13,31.96
2014-03-14,42.3
2014-03-15,39.48
2014-03-16,38.07
2014-03-17,33.84
2014-03-18,39.48
2014-03-19,42.77
2014-03-20,39.01
2014-03-21,43.24
2014-03-22,34.309999999999995
2014-03-23,35.72
2014-03-24,35.25
2014-03-25,35.25
2014-03-26,43.71
2014-03-27,42.3
2014-03-28,42.77
2014-03-29,36.66
2014-03-30,33.37
2014-03-31,38.54
2014-04-01,43.68
2014-04-02,43.68
2014-04-03,39.36
2014-04-04,36.48
2014-04-05,36.96
2014-04-06,34.56
2014-04-07,38.88
2014-04-08,43.2
2014-04-09,42.72
2014-04-10,48.0
2014-04-11,42.24
2014-04-12,40.8
2014-04-13,27.84
2014-04-14,36.0
2014-04-15,34.56
2014-04-16,43.68
2014-04-17,36.96
2014-04-18,36.96
2014-04-19,32.64
2014-04-20,40.8
2014-04-21,39.36
2014-04-22,39.36
2014-04-23,43.68
2014-04-24,37.44
2014-04-25,46.08
2014-04-26,41.76
2014-04-27,35.52
2014-04-28,36.48
2014-04-29,46.56
2014-04-30,45.12
2014-05-01,37.73
2014-05-02,34.79
2014-05-03,37.73
2014-05-04,33.81
2014-05-05,36.26
2014-05-06,33.32
2014-05-07,26.95
2014-05-08,33.32
2014-05-09,34.3
2014-05-10,49.0
2014-05-11,35.77
2014-05-12,36.26
2014-05-13,40.67
2014-05-14,40.18
2014-05-15,35.28
2014-05-16,32.83
2014-05-17,38.71
2014-05-18,37.24
2014-05-19,37.24
2014-05-20,37.73
2014-05-21,36.26
2014-05-22,37.24
2014-05-23,38.71
2014-05-24,40.18
2014-05-25,37.73
2014-05-26,40.18
2014-05-27,45.08
2014-05-28,42.63
2014-05-29,40.67
2014-05-30,38.22
2014-05-31,44.1
2014-06-01,33.480000000000004
2014-06-02,38.34
2014-06-03,35.64
2014-06-04,33.480000000000004
2014-06-05,34.56
2014-06-06,38.88
2014-06-07,35.64
2014-06-08,39.42
2014-06-09,37.260000000000005
2014-06-10,39.96
2014-06-11,38.88
2014-06-12,44.28
2014-06-13,36.72
2014-06-14,46.440000000000005
2014-06-15,54.0
2014-06-16,42.120000000000005
2014-06-17,37.260000000000005
2014-06-18,38.34
2014-06-19,38.34
2014-06-20,43.2
2014-06-21,48.6
2014-06-22,43.74
2014-06-23,40.5
2014-06-24,39.96
2014-06-25,31.32
2014-06-26,35.64
2014-06-27,35.1
2014-06-28,33.480000000000004
2014-06-29,29.160000000000004
2014-06-30,36.18
2014-07-01,31.860000000000003
2014-07-02,32.940000000000005
2014-07-03,36.18
2014-07-04,34.02
2014-07-05,30.24
2014-07-06,36.18
2014-07-07,36.18
2014-07-08,35.1
2014-07-09,32.940000000000005
2014-07-10,37.260000000000005
2014-07-11,41.040000000000006
2014-07-12,34.56
2014-07-13,41.580000000000005
2014-07-14,35.64
2014-07-15,35.1
2014-07-16,42.120000000000005
2014-07-17,42.120000000000005
2014-07-18,54.0
2014-07-19,40.5
2014-07-20,35.1
2014-07-21,44.28
2014-07-22,38.88
2014-07-23,38.34
2014-07-24,42.120000000000005
2014-07-25,43.2
2014-07-26,40.5
2014-07-27,37.8
2014-07-28,37.8
2014-07-29,42.66
2014-07-30,38.88
2014-07-31,42.120000000000005
2014-08-01,49.92
2014-08-02,41.6
2014-08-03,48.36
2014-08-04,45.760000000000005
2014-08-05,43.68
2014-08-06,44.2
2014-08-07,37.96
2014-08-08,52.0
2014-08-09,46.28
2014-08-10,44.2
2014-08-11,43.68
2014-08-12,45.24
2014-08-13,48.36
2014-08-14,45.24
2014-08-15,38.48
2014-08-16,40.56
2014-08-17,40.56
2014-08-18,41.08
2014-08-19,43.68
2014-08-20,40.04
2014-08-21,36.92
2014-08-22,46.28
2014-08-23,47.84
2014-08-24,43.16
2014-08-25,39.0
2014-08-26,39.0
2014-08-27,41.6
2014-08-28,43.16
2014-08-29,41.08
2014-08-30,31.200000000000003
2014-08-31,38.48
2014-09-01,39.2
2014-09-02,37.24
2014-09-03,36.75
2014-09-04,49.0
2014-09-05,40.18
2014-09-06,37.73
2014-09-07,38.22
2014-09-08,39.69
2014-09-09,43.12
2014-09-10,46.55
2014-09-11,43.12
2014-09-12,44.1
2014-09-13,45.08
2014-09-14,34.3
2014-09-15,39.2
2014-09-16,46.06
2014-09-17,43.12
2014-09-18,42.63
2014-09-19,47.04
2014-09-20,37.24
2014-09-21,41.65
2014-09-22,38.22
2014-09-23,42.63
2014-09-24,44.1
2014-09-25,43.12
2014-09-26,40.18
2014-09-27,25.97
2014-09-28,33.81
2014-09-29,44.1
2014-09-30,39.2
2014-10-01,37.8
2014-10-02,37.35
2014-10-03,32.85
2014-10-04,31.5
2014-10-05,35.1
2014-10-06,31.5
2014-10-07,32.85
2014-10-08,33.75
2014-10-09,41.4
2014-10-10,38.7
2014-10-11,29.25
2014-10-12,34.2
2014-10-13,33.75
2014-10-14,42.3
2014-10-15,32.85
2014-10-16,35.1
2014-10-17,36.0
2014-10-18,33.300000000000004
2014-10-19,27.0
2014-10-20,36.9
2014-10-21,36.45
2014-10-22,40.05
2014-10-23,38.25
2014-10-24,36.9
2014-10-25,33.300000000000004
2014-10-26,35.550000000000004
2014-10-27,45.0
2014-10-28,36.0
2014-10-29,38.7
2014-10-30,35.1
2014-10-31,33.75
2014-11-01,44.65
2014-11-02,38.54
2014-11-03,43.71
2014-11-04,36.66
2014-11-05,44.18
2014-11-06,36.66
2014-11-07,44.18
2014-11-08,37.6
2014-11-09,47.0
2014-11-10,36.66
2014-11-11,38.54
2014-11-12,43.24
2014-11-13,38.07
2014-11-14,37.6
2014-11-15,43.24
2014-11-16,34.78
2014-11-17,31.49
2014-11-18,45.59
2014-11-19,38.54
2014-11-20,41.36
2014-11-21,37.13
2014-11-22,40.42
2014-11-23,37.6
2014-11-24,38.54
2014-11-25,39.95
2014-11-26,36.66
2014-11-27,34.78
2014-11-28,43.24
2014-11-29,37.13
2014-11-30,32.9
2014-12-01,34.5
2014-12-02,34.04
2014-12-03,37.260000000000005
2014-12-04,39.1
2014-12-05,40.48
2014-12-06,30.82
2014-12-07,32.660000000000004
2014-12-08,31.74
2014-12-09,34.5
2014-12-10,46.0
2014-12-11,38.18
2014-12-12,32.660000000000004
2014-12-13,41.86
2014-12-14,34.04
2014-12-15,34.5
2014-12-16,38.64
2014-12-17,36.8
2014-12-18,41.86
2014-12-19,31.74
2014-12-20,39.56
2014-12-21,33.58
2014-12-22,32.2
2014-12-23,36.8
2014-12-24,28.06
2014-12-25,37.260000000000005
2014-12-26,40.02
2014-12-27,34.04
2014-12-28,27.14
2014-12-29,37.72
2014-12-30,34.96
2014-12-31,35.88
2015-01-01,29.48
2015-01-02,29.92
2015-01-03,30.36
2015-01-04,30.8
2015-01-05,32.56
2015-01-06,32.56
2015-01-07,33.44
2015-01-08,37.4
2015-01-09,33.88
2015-01-10,29.04
2015-01-11,37.84
