date,stock_name,name_price_attention
2014-07-05,MSFT,3.850000000000001
2014-07-06,MSFT,1.1900000000000002
2014-07-07,MSFT,0.0
2014-07-08,MSFT,3.78
2014-07-09,MSFT,2.03
2014-07-10,MSFT,0.0
2014-07-11,MSFT,1.61
2014-07-12,MSFT,0.0
2014-07-13,MSFT,7.000000000000001
2014-07-14,MSFT,2.1700000000000004
2014-07-15,MSFT,3.850000000000001
2014-07-16,MSFT,0.0
2014-07-17,MSFT,6.44
2014-07-18,MSFT,6.720000000000001
2014-07-19,MSFT,1.1900000000000002
2014-07-20,MSFT,3.5000000000000004
2014-07-21,MSFT,3.22
2014-07-22,MSFT,4.69
2014-07-23,MSFT,6.16
2014-07-24,MSFT,5.180000000000001
2014-07-25,MSFT,4.48
2014-07-26,MSFT,4.62
2014-07-27,MSFT,1.61
2014-07-28,MSFT,2.31
2014-07-29,MSFT,3.43
2014-07-30,MSFT,2.31
2014-07-31,MSFT,3.3600000000000003
2014-08-01,MSFT,3.66
2014-08-02,MSFT,0.0
2014-08-03,MSFT,1.3199999999999998
2014-08-04,MSFT,1.44
2014-08-05,MSFT,1.7999999999999998
2014-08-06,MSFT,1.5
2014-08-07,MSFT,6.0
2014-08-08,MSFT,0.72
2014-08-09,MSFT,0.96
2014-08-10,MSFT,1.08
2014-08-11,MSFT,0.0
2014-08-12,MSFT,1.26
2014-08-13,MSFT,0.84
2014-08-14,MSFT,1.2
2014-08-15,MSFT,0.96
2014-08-16,MSFT,1.5
2014-08-17,MSFT,0.0
2014-08-18,MSFT,3.24
2014-08-19,MSFT,3.96
2014-08-20,MSFT,3.48
2014-08-21,MSFT,1.92
2014-08-22,MSFT,2.94
2014-08-23,MSFT,0.0
2014-08-24,MSFT,1.26
2014-08-25,MSFT,1.98
2014-08-26,MSFT,1.02
2014-08-27,MSFT,2.4
2014-08-28,MSFT,0.84
2014-08-29,MSFT,1.14
2014-08-30,MSFT,0.0
2014-08-31,MSFT,0.0
2014-09-01,MSFT,1.2
2014-09-02,MSFT,3.04
2014-09-03,MSFT,0.0
2014-09-04,MSFT,1.84
2014-09-05,MSFT,3.6
2014-09-06,MSFT,1.2
2014-09-07,MSFT,4.4
2014-09-08,MSFT,0.0
2014-09-09,MSFT,1.04
2014-09-10,MSFT,2.4
2014-09-11,MSFT,4.72
2014-09-12,MSFT,1.68
2014-09-13,MSFT,0.0
2014-09-14,MSFT,0.0
2014-09-15,MSFT,3.12
2014-09-16,MSFT,5.36
2014-09-17,MSFT,3.44
2014-09-18,MSFT,4.4
2014-09-19,MSFT,8.0
2014-09-20,MSFT,1.6
2014-09-21,MSFT,2.72
2014-09-22,MSFT,4.64
2014-09-23,MSFT,3.04
2014-09-24,MSFT,2.96
2014-09-25,MSFT,3.2
2014-09-26,MSFT,3.76
2014-09-27,MSFT,2.32
2014-09-28,MSFT,0.0
2014-09-29,MSFT,1.92
2014-09-30,MSFT,4.32
2014-10-01,MSFT,3.6
2014-10-02,MSFT,2.88
2014-10-03,MSFT,7.76
2014-10-04,MSFT,0.0
2014-10-05,MSFT,0.0
2014-10-06,MSFT,4.72
2014-10-07,MSFT,1.76
2014-10-08,MSFT,6.0
2014-10-09,MSFT,5.5200000000000005
2014-10-10,MSFT,0.0
2014-10-11,MSFT,4.8
2014-10-12,MSFT,2.16
2014-10-13,MSFT,6.48
2014-10-14,MSFT,7.76
2014-10-15,MSFT,6.16
2014-10-16,MSFT,5.44
2014-10-17,MSFT,6.32
2014-10-18,MSFT,0.0
2014-10-19,MSFT,0.0
2014-10-20,MSFT,3.76
2014-10-21,MSFT,2.4
2014-10-22,MSFT,2.48
2014-10-23,MSFT,7.68
2014-10-24,MSFT,6.8
2014-10-25,MSFT,0.0
2014-10-26,MSFT,2.56
2014-10-27,MSFT,3.04
2014-10-28,MSFT,8.0
2014-10-29,MSFT,3.44
2014-10-30,MSFT,4.16
2014-10-31,MSFT,5.44
2014-11-01,MSFT,1.4700000000000002
2014-11-02,MSFT,0.0
2014-11-03,MSFT,3.71
2014-11-04,MSFT,6.930000000000001
2014-11-05,MSFT,7.000000000000001
2014-11-06,MSFT,6.510000000000001
2014-11-07,MSFT,4.9
2014-11-08,MSFT,1.7500000000000002
2014-11-09,MSFT,2.9400000000000004
2014-11-10,MSFT,4.2700000000000005
2014-11-11,MSFT,3.3600000000000003
2014-11-12,MSFT,3.640000000000001
2014-11-13,MSFT,4.48
2014-11-14,MSFT,2.66
2014-11-15,MSFT,0.0
2014-11-16,MSFT,3.01
2014-11-17,MSFT,5.6000000000000005
2014-11-18,MSFT,4.9
2014-11-19,MSFT,3.22
2014-11-20,MSFT,2.5900000000000003
2014-11-21,MSFT,2.7300000000000004
2014-11-22,MSFT,0.0
2014-11-23,MSFT,0.0
2014-11-24,MSFT,2.1700000000000004
2014-11-25,MSFT,0.0
2014-11-26,MSFT,2.3800000000000003
2014-11-27,MSFT,0.0
2014-11-28,MSFT,4.760000000000001
2014-11-29,MSFT,1.4
2014-11-30,MSFT,0.0
2014-12-01,MSFT,2.1700000000000004
2014-12-02,MSFT,5.95
2014-12-03,MSFT,3.22
2014-12-04,MSFT,2.5900000000000003
2014-12-05,MSFT,4.2700000000000005
2014-12-06,MSFT,2.5900000000000003
2014-12-07,MSFT,1.33
2014-12-08,MSFT,6.930000000000001
2014-12-09,MSFT,6.65
2014-12-10,MSFT,2.5200000000000005
2014-12-11,MSFT,2.1
2014-12-12,MSFT,1.2600000000000002
2014-12-13,MSFT,2.31
2014-12-14,MSFT,2.66
2014-12-15,MSFT,1.4700000000000002
2014-12-16,MSFT,7.000000000000001
2014-12-17,MSFT,4.69
2014-12-18,MSFT,4.69
2014-12-19,MSFT,3.2900000000000005
2014-12-20,MSFT,2.9400000000000004
2014-12-21,MSFT,3.22
2014-12-22,MSFT,4.69
2014-12-23,MSFT,1.6800000000000002
2014-12-24,MSFT,3.78
2014-12-25,MSFT,0.0
2014-12-26,MSFT,2.1
2014-12-27,MSFT,1.8200000000000005
2014-12-28,MSFT,0.0
2014-12-29,MSFT,0.0
2014-12-30,MSFT,1.05
2014-12-31,MSFT,0.0
2015-01-01,MSFT,0.0
2015-01-02,MSFT,3.2
2015-01-03,MSFT,2.8000000000000003
2015-01-04,MSFT,2.56
2015-01-05,MSFT,2.72
2015-01-06,MSFT,1.68
2015-01-07,MSFT,1.52
2015-01-08,MSFT,8.0
2015-01-09,MSFT,0.0
2015-01-10,MSFT,0.0
2015-01-11,MSFT,2.08
2015-01-12,MSFT,2.48
2015-01-13,MSFT,3.12
2015-01-14,MSFT,0.0
2015-01-15,MSFT,2.0
2015-01-16,MSFT,2.72
2015-01-17,MSFT,1.2
2015-01-18,MSFT,1.36
2015-01-19,MSFT,2.0
2015-01-20,MSFT,3.04
2015-01-21,MSFT,3.12
2015-01-22,MSFT,1.2
2015-01-23,MSFT,4.24
2015-01-24,MSFT,1.92
2015-01-25,MSFT,1.52
2015-01-26,MSFT,2.64
2015-01-27,MSFT,4.64
2015-01-28,MSFT,3.04
2015-01-29,MSFT,2.8000000000000003
2015-01-30,MSFT,4.96
2015-01-31,MSFT,2.56
2015-02-01,MSFT,1.1900000000000002
2015-02-02,MSFT,3.5700000000000003
2015-02-03,MSFT,3.71
2015-02-04,MSFT,3.08
2015-02-05,MSFT,2.87
2015-02-06,MSFT,1.4700000000000002
2015-02-07,MSFT,0.0
2015-02-08,MSFT,1.61
2015-02-09,MSFT,1.7500000000000002
2015-02-10,MSFT,2.31
2015-02-11,MSFT,7.000000000000001
2015-02-12,MSFT,1.6800000000000002
2015-02-13,MSFT,3.78
2015-02-14,MSFT,0.0
2015-02-15,MSFT,0.0
2015-02-16,MSFT,0.0
2015-02-17,MSFT,2.5900000000000003
2015-02-18,MSFT,1.8200000000000005
2015-02-19,MSFT,2.1
2015-02-20,MSFT,4.69
2015-02-21,MSFT,1.61
2015-02-22,MSFT,0.0
2015-02-23,MSFT,3.22
2015-02-24,MSFT,1.61
2015-02-25,MSFT,2.1700000000000004
2015-02-26,MSFT,2.45
2015-02-27,MSFT,2.66
2015-02-28,MSFT,0.0
2015-03-01,MSFT,0.0
2015-03-02,MSFT,1.92
2015-03-03,MSFT,3.3
2015-03-04,MSFT,3.9
2015-03-05,MSFT,0.0
2015-03-06,MSFT,2.16
2015-03-07,MSFT,1.14
2015-03-08,MSFT,0.0
2015-03-09,MSFT,4.02
2015-03-10,MSFT,3.18
2015-03-11,MSFT,1.26
2015-03-12,MSFT,3.24
2015-03-13,MSFT,4.2
2015-03-14,MSFT,2.1
2015-03-15,MSFT,0.0
2015-03-16,MSFT,4.62
2015-03-17,MSFT,3.36
2015-03-18,MSFT,3.9
2015-03-19,MSFT,6.0
2015-03-20,MSFT,2.88
2015-03-21,MSFT,0.0
2015-03-22,MSFT,0.0
2015-03-23,MSFT,2.76
2015-03-24,MSFT,2.88
2015-03-25,MSFT,5.4
2015-03-26,MSFT,1.68
2015-03-27,MSFT,2.46
2015-03-28,MSFT,1.44
2015-03-29,MSFT,0.0
2015-03-30,MSFT,1.62
2015-03-31,MSFT,1.62
2015-04-01,MSFT,2.64
2015-04-02,MSFT,6.5600000000000005
2015-04-03,MSFT,4.88
