date,INTC
2013-09-06,15.36
2013-09-07,2.16
2013-09-08,4.8
2013-09-09,16.56
2013-09-10,14.88
2013-09-11,13.92
2013-09-12,12.48
2013-09-13,24.0
2013-09-14,7.199999999999999
2013-09-15,2.88
2013-09-16,16.32
2013-09-17,18.96
2013-09-18,20.16
2013-09-19,17.04
2013-09-20,17.52
2013-09-21,5.04
2013-09-22,2.4
2013-09-23,8.879999999999999
2013-09-24,12.72
2013-09-25,16.8
2013-09-26,12.72
2013-09-27,16.32
2013-09-28,5.52
2013-09-29,1.92
2013-09-30,10.56
2013-10-01,10.14
2013-10-02,10.14
2013-10-03,7.28
2013-10-04,6.76
2013-10-05,8.58
2013-10-06,0.0
2013-10-07,10.4
2013-10-08,7.800000000000001
2013-10-09,10.92
2013-10-10,12.48
2013-10-11,13.26
2013-10-12,2.6
2013-10-13,0.0
2013-10-14,10.4
2013-10-15,26.0
2013-10-16,23.92
2013-10-17,13.0
2013-10-18,17.16
2013-10-19,7.0200000000000005
2013-10-20,4.68
2013-10-21,12.22
2013-10-22,14.56
2013-10-23,5.720000000000001
2013-10-24,9.88
2013-10-25,15.08
2013-10-26,7.0200000000000005
2013-10-27,1.56
2013-10-28,12.74
2013-10-29,9.1
2013-10-30,11.44
2013-10-31,11.96
2013-11-01,7.04
2013-11-02,2.64
2013-11-03,1.98
2013-11-04,9.9
2013-11-05,9.68
2013-11-06,8.36
2013-11-07,11.0
2013-11-08,9.46
2013-11-09,1.76
2013-11-10,2.2
2013-11-11,5.94
2013-11-12,11.22
2013-11-13,8.36
2013-11-14,8.58
2013-11-15,7.48
2013-11-16,2.42
2013-11-17,2.64
2013-11-18,12.54
2013-11-19,9.24
2013-11-20,9.24
2013-11-21,12.76
2013-11-22,22.0
2013-11-23,5.5
2013-11-24,3.74
2013-11-25,5.06
2013-11-26,8.58
2013-11-27,10.56
2013-11-28,2.86
2013-11-29,4.84
2013-11-30,0.0
2013-12-01,1.05
2013-12-02,12.39
2013-12-03,11.34
2013-12-04,12.18
2013-12-05,13.23
2013-12-06,21.0
2013-12-07,2.31
2013-12-08,3.36
2013-12-09,13.02
2013-12-10,13.86
2013-12-11,12.39
2013-12-12,11.55
2013-12-13,10.5
2013-12-14,5.88
2013-12-15,1.68
2013-12-16,6.51
2013-12-17,11.55
2013-12-18,14.07
2013-12-19,17.64
2013-12-20,13.65
2013-12-21,2.52
2013-12-22,2.94
2013-12-23,11.55
2013-12-24,14.91
2013-12-25,4.62
2013-12-26,13.86
2013-12-27,20.79
2013-12-28,2.73
2013-12-29,3.99
2013-12-30,12.81
2013-12-31,11.97
2014-01-01,8.37
2014-01-02,9.3
2014-01-03,8.37
2014-01-04,3.41
2014-01-05,1.86
2014-01-06,8.99
2014-01-07,14.57
2014-01-08,10.23
2014-01-09,7.439999999999999
2014-01-10,13.33
2014-01-11,8.06
2014-01-12,2.79
2014-01-13,11.16
2014-01-14,14.88
2014-01-15,17.98
2014-01-16,31.0
2014-01-17,29.14
2014-01-18,7.439999999999999
2014-01-19,3.1
2014-01-20,7.75
2014-01-21,15.5
2014-01-22,11.47
2014-01-23,9.3
2014-01-24,9.61
2014-01-25,4.34
2014-01-26,3.1
2014-01-27,10.54
2014-01-28,10.23
2014-01-29,8.37
2014-01-30,8.99
2014-01-31,9.3
2014-02-01,8.58
2014-02-02,4.84
2014-02-03,15.62
2014-02-04,18.48
2014-02-05,16.06
2014-02-06,11.22
2014-02-07,19.14
2014-02-08,9.68
2014-02-09,6.16
2014-02-10,12.1
2014-02-11,22.0
2014-02-12,20.02
2014-02-13,17.6
2014-02-14,12.32
2014-02-15,5.72
2014-02-16,0.0
2014-02-17,7.26
2014-02-18,14.3
2014-02-19,17.16
2014-02-20,15.84
2014-02-21,10.34
2014-02-22,0.0
2014-02-23,6.38
2014-02-24,14.52
2014-02-25,16.28
2014-02-26,15.62
2014-02-27,17.82
2014-02-28,12.54
2014-03-01,4.5600000000000005
2014-03-02,2.09
2014-03-03,9.88
2014-03-04,14.82
2014-03-05,13.49
2014-03-06,11.4
2014-03-07,9.12
