date,CAT
2013-10-15,40.71
2013-10-16,44.16
2013-10-17,42.78
2013-10-18,46.92
2013-10-19,52.44
2013-10-20,50.37
2013-10-21,43.47
2013-10-22,43.47
2013-10-23,46.92
2013-10-24,48.99
2013-10-25,51.06
2013-10-26,57.27
2013-10-27,55.2
2013-10-28,46.92
2013-10-29,60.03
2013-10-30,57.27
2013-10-31,69.0
2013-11-01,53.36
2013-11-02,55.67999999999999
2013-11-03,52.78
2013-11-04,45.24
2013-11-05,48.72
2013-11-06,48.72
2013-11-07,48.13999999999999
2013-11-08,51.04
2013-11-09,49.88
2013-11-10,56.84
2013-11-11,50.46
2013-11-12,46.98
2013-11-13,47.56
2013-11-14,44.08
2013-11-15,51.04
2013-11-16,52.78
2013-11-17,56.26
2013-11-18,46.98
2013-11-19,47.56
2013-11-20,48.72
2013-11-21,51.04
2013-11-22,45.82
2013-11-23,54.52
2013-11-24,57.99999999999999
2013-11-25,50.46
2013-11-26,45.82
2013-11-27,48.13999999999999
2013-11-28,56.26
2013-11-29,49.3
2013-11-30,50.46
2013-12-01,61.06
2013-12-02,51.83
2013-12-03,53.25
2013-12-04,58.93
2013-12-05,56.09
2013-12-06,55.38
2013-12-07,62.48
2013-12-08,61.77
2013-12-09,57.51
2013-12-10,61.77
2013-12-11,58.22
2013-12-12,58.93
2013-12-13,57.51
2013-12-14,69.58
2013-12-15,65.32
2013-12-16,60.35
2013-12-17,56.8
2013-12-18,64.61
2013-12-19,59.64
2013-12-20,61.06
2013-12-21,66.74
2013-12-22,71.0
2013-12-23,63.9
2013-12-24,68.16
2013-12-25,71.0
2013-12-26,63.9
2013-12-27,62.48
2013-12-28,70.28999999999999
2013-12-29,68.86999999999999
2013-12-30,58.93
2013-12-31,60.35
2014-01-01,60.48
2014-01-02,51.03
2014-01-03,55.44
2014-01-04,56.7
2014-01-05,62.37
2014-01-06,51.03
2014-01-07,48.51
2014-01-08,54.18
2014-01-09,53.55
2014-01-10,53.55
2014-01-11,63.0
2014-01-12,61.74
2014-01-13,45.99
2014-01-14,51.03
2014-01-15,51.66
2014-01-16,45.99
2014-01-17,56.07
2014-01-18,61.74
2014-01-19,62.37
2014-01-20,54.18
2014-01-21,53.55
2014-01-22,48.51
2014-01-23,51.03
2014-01-24,53.55
2014-01-25,59.85
2014-01-26,61.74
2014-01-27,47.88
2014-01-28,48.51
2014-01-29,51.03
2014-01-30,50.4
2014-01-31,54.81
2014-02-01,56.73
2014-02-02,61.0
2014-02-03,50.02
2014-02-04,51.24
2014-02-05,48.8
2014-02-06,50.02
2014-02-07,51.85
2014-02-08,56.73
2014-02-09,60.39
2014-02-10,55.51
2014-02-11,50.63
2014-02-12,53.68
2014-02-13,48.8
2014-02-14,57.95
2014-02-15,60.39
2014-02-16,56.73
2014-02-17,50.63
2014-02-18,52.46
2014-02-19,53.68
2014-02-20,54.29
2014-02-21,54.29
2014-02-22,60.39
2014-02-23,61.0
2014-02-24,53.68
2014-02-25,49.41
2014-02-26,51.24
2014-02-27,54.9
2014-02-28,56.73
2014-03-01,51.85
2014-03-02,48.8
2014-03-03,48.19
2014-03-04,48.8
2014-03-05,48.8
2014-03-06,47.58
2014-03-07,49.41
2014-03-08,52.46
2014-03-09,56.12
2014-03-10,42.09
2014-03-11,56.73
2014-03-12,51.24
2014-03-13,51.24
2014-03-14,48.8
2014-03-15,54.9
2014-03-16,50.63
2014-03-17,45.14
2014-03-18,46.97
2014-03-19,46.97
2014-03-20,45.75
2014-03-21,47.58
2014-03-22,50.02
2014-03-23,61.0
2014-03-24,45.75
2014-03-25,44.53
2014-03-26,45.75
2014-03-27,46.97
2014-03-28,48.19
2014-03-29,56.73
2014-03-30,54.29
2014-03-31,48.19
2014-04-01,50.4
2014-04-02,46.62
2014-04-03,50.4
2014-04-04,50.4
2014-04-05,49.77
2014-04-06,56.7
2014-04-07,48.51
2014-04-08,46.62
2014-04-09,49.77
2014-04-10,51.66
2014-04-11,49.14
2014-04-12,51.03
2014-04-13,53.55
2014-04-14,51.03
2014-04-15,48.51
2014-04-16,49.14
2014-04-17,47.25
2014-04-18,45.99
2014-04-19,54.81
2014-04-20,56.07
2014-04-21,45.99
2014-04-22,45.99
2014-04-23,49.77
2014-04-24,57.96
2014-04-25,61.11
2014-04-26,63.0
2014-04-27,63.0
2014-04-28,48.51
2014-04-29,51.03
2014-04-30,49.14
2014-05-01,24.96
2014-05-02,25.74
2014-05-03,31.98
2014-05-04,28.08
2014-05-05,24.18
2014-05-06,24.96
2014-05-07,24.96
2014-05-08,25.74
2014-05-09,24.18
2014-05-10,27.3
2014-05-11,30.42
2014-05-12,24.96
2014-05-13,24.96
2014-05-14,33.54
2014-05-15,78.0
2014-05-16,59.28
2014-05-17,51.48
2014-05-18,41.34
2014-05-19,32.76
2014-05-20,29.64
2014-05-21,31.98
2014-05-22,27.3
2014-05-23,28.86
2014-05-24,31.98
2014-05-25,28.86
2014-05-26,31.200000000000003
2014-05-27,25.74
2014-05-28,28.08
2014-05-29,28.86
2014-05-30,28.08
2014-05-31,28.08
2014-06-01,60.0
2014-06-02,49.2
2014-06-03,46.2
2014-06-04,46.2
2014-06-05,46.8
2014-06-06,46.2
2014-06-07,48.6
2014-06-08,55.2
2014-06-09,47.4
2014-06-10,45.0
2014-06-11,42.6
2014-06-12,49.2
2014-06-13,45.6
2014-06-14,48.6
2014-06-15,57.6
2014-06-16,43.2
2014-06-17,44.4
2014-06-18,43.2
2014-06-19,46.8
2014-06-20,48.6
2014-06-21,55.2
2014-06-22,53.4
2014-06-23,46.2
2014-06-24,46.8
2014-06-25,43.8
2014-06-26,45.6
2014-06-27,49.2
2014-06-28,52.2
2014-06-29,55.8
2014-06-30,42.0
2014-07-01,51.06
2014-07-02,55.88999999999999
2014-07-03,56.58
2014-07-04,60.03
2014-07-05,55.2
2014-07-06,54.51
2014-07-07,55.2
2014-07-08,53.81999999999999
2014-07-09,55.2
2014-07-10,53.81999999999999
2014-07-11,56.58
2014-07-12,64.86
2014-07-13,62.1
2014-07-14,57.96
2014-07-15,55.88999999999999
2014-07-16,54.51
2014-07-17,57.96
2014-07-18,56.58
2014-07-19,69.0
2014-07-20,66.92999999999999
2014-07-21,57.96
2014-07-22,58.65
