date,MSFT,AAPL,Visa,JPM,UNH,WMT,JNJ,PG,INTC,DIS,VZ,AMGN,IBM,CAT,NKE,AXP,HON,BA,GS,MMM,TRV,DOW
2004-01-31,4.9,1.98,49.14,0.0,15.36,0.0,5.2,41.0,8.14,9.0,0.0,0.0,60.720000000000006,36.0,0.0,0.0,6.72,5.51,46.61,7.68,18.86,1.92
2004-02-01,0.0,1.02,42.34,0.0,53.0,0.0,0.0,20.35,9.45,8.4,0.0,7.800000000000001,68.0,43.65,0.0,22.94,36.0,4.050000000000001,39.27,8.260000000000002,36.86,1.47
2004-02-02,5.460000000000001,0.0,71.53999999999999,0.0,40.81,0.0,2.24,13.69,0.0,10.32,0.0,0.0,85.0,33.75,0.0,12.21,7.92,9.72,40.8,3.92,18.43,2.1
2004-02-03,0.0,0.0,56.94,0.0,41.34,7.92,1.76,28.86,0.0,9.12,0.0,0.0,85.0,36.45,0.0,0.0,14.4,12.69,25.5,1.6800000000000002,0.0,2.58
2004-02-04,3.2900000000000005,0.8200000000000001,59.86,0.0,22.790000000000003,0.0,0.0,27.75,0.0,15.84,0.0,0.0,83.0,33.75,0.0,0.0,8.64,14.31,25.5,3.3600000000000003,14.55,2.61
2004-02-05,5.32,0.0,64.24,0.0,22.26,0.0,0.0,28.86,5.25,15.12,0.0,0.0,84.0,35.550000000000004,2.6,0.0,26.64,11.34,36.21,0.0,13.58,2.46
2004-02-06,7.000000000000001,0.8200000000000001,61.32,0.0,33.92,0.0,0.0,20.72,0.0,6.48,0.0,0.0,86.0,31.95,0.0,0.0,25.56,14.85,29.58,2.24,12.61,2.1
2004-02-07,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,35.1,0.0,0.0,32.4,21.06,51.0,14.000000000000002,41.71,2.19
2004-02-08,0.0,1.72,56.94,6.0,0.0,0.0,0.0,10.36,0.0,24.0,0.0,0.0,62.0,40.5,0.0,0.0,24.12,27.0,26.52,0.0,0.0,1.41
2004-02-09,4.9,0.0,59.86,0.0,32.86,0.0,0.0,18.13,0.0,8.879999999999999,0.0,0.0,81.0,37.8,4.0,7.77,21.96,10.8,24.99,2.5200000000000005,0.0,1.83
2004-02-10,1.7500000000000002,1.18,59.86,1.98,27.03,0.0,0.0,17.02,15.0,9.12,6.45,0.0,85.0,36.9,0.0,5.92,17.64,15.66,17.34,1.2600000000000002,0.0,1.62
2004-02-11,0.0,0.0,64.24,0.0,27.03,4.51,1.6,26.27,0.0,7.92,0.0,0.0,100.0,36.9,0.0,0.0,7.92,5.4,21.42,1.54,12.61,3.0
2004-02-12,0.0,0.66,55.48,0.0,13.78,0.0,0.0,12.58,11.25,7.199999999999999,0.0,0.0,90.0,38.7,0.0,11.47,15.48,18.630000000000003,26.01,0.0,0.0,2.64
2004-02-13,0.0,1.22,51.83,0.0,16.43,0.0,0.0,25.9,0.0,9.36,5.55,13.0,81.0,36.9,0.0,12.58,17.64,9.72,29.07,1.54,10.67,1.62
2004-02-14,0.0,2.0,56.94,0.0,39.22,0.0,0.0,16.65,0.0,0.0,0.0,0.0,62.0,39.6,0.0,0.0,16.919999999999998,8.91,14.79,0.0,26.19,1.23
2004-02-15,0.0,0.0,71.53999999999999,0.0,29.15,0.0,0.0,12.95,0.0,0.0,6.0,0.0,64.0,40.95,0.0,21.09,20.16,9.72,42.84,2.24,26.19,1.35
2004-02-16,0.0,0.0,67.89,0.0,20.14,0.0,2.32,18.13,0.0,10.8,0.0,0.0,71.0,37.35,0.0,8.879999999999999,20.16,7.290000000000001,20.91,1.4,0.0,2.16
2004-02-17,2.9400000000000004,0.0,73.0,0.0,9.01,6.6,0.0,33.3,0.0,13.2,6.0,10.92,86.0,34.65,0.0,0.0,21.96,15.66,22.44,1.8200000000000005,10.67,2.76
2004-02-18,0.0,0.0,67.89,2.76,29.68,0.0,0.0,34.04,6.75,13.68,3.15,3.64,87.0,38.7,0.0,0.0,9.36,8.370000000000001,28.56,2.1,15.52,2.76
2004-02-19,0.0,0.56,70.81,4.859999999999999,30.21,0.0,0.0,27.75,5.25,0.0,0.0,0.0,95.0,36.0,2.96,0.0,21.6,9.99,16.32,0.0,0.0,2.79
2004-02-20,2.66,0.0,64.24,0.0,18.02,0.0,1.84,5.18,0.0,6.24,0.0,0.0,92.0,40.95,0.0,13.69,11.88,13.77,32.64,2.24,0.0,2.55
2004-02-21,0.0,0.0,63.51,0.0,14.84,11.0,0.0,26.64,0.0,10.08,0.0,4.94,64.0,45.0,0.0,37.0,0.0,8.64,19.38,0.0,0.0,0.8099999999999999
2004-02-22,0.0,0.0,49.64,0.0,0.0,0.0,0.0,13.69,0.0,7.199999999999999,15.0,6.76,61.0,40.95,3.2,0.0,0.0,9.45,31.11,4.760000000000001,0.0,2.01
2004-02-23,0.0,1.3,64.24,0.0,25.44,0.0,2.8000000000000003,21.46,0.0,14.4,0.0,4.55,79.0,35.550000000000004,0.0,0.0,19.8,8.100000000000001,17.85,0.0,7.76,2.88
2004-02-24,2.3800000000000003,0.0,60.59,0.0,10.07,0.0,0.0,24.42,0.0,3.6,0.0,3.25,81.0,37.8,0.0,6.66,0.0,7.83,28.05,3.92,0.0,2.82
2004-02-25,0.0,0.0,70.08,0.0,31.8,0.0,1.92,13.69,4.5,18.48,3.45,5.07,85.0,36.9,0.0,0.0,24.12,9.18,43.86,2.8000000000000003,18.43,2.46
2004-02-26,6.090000000000001,0.72,60.59,0.0,47.17,0.0,0.0,18.5,0.0,6.48,0.0,0.0,84.0,34.2,2.16,0.0,13.68,8.370000000000001,33.660000000000004,2.3800000000000003,0.0,2.28
2004-02-27,0.0,1.04,64.97,1.62,18.55,0.0,0.0,27.75,0.0,10.56,0.0,0.0,83.0,36.0,0.0,0.0,7.56,8.91,46.92,0.0,20.37,2.16
2004-02-28,0.0,0.0,56.94,0.0,20.14,0.0,0.0,15.54,0.0,8.64,0.0,0.0,60.0,39.6,0.0,0.0,23.76,6.210000000000001,19.38,0.0,0.0,1.38
2004-02-29,0.0,0.0,45.99,0.0,0.0,0.0,8.0,37.0,0.0,0.0,0.0,0.0,80.0,39.6,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0
2004-03-01,2.88,3.0,70.0,2.73,8.100000000000001,0.0,0.0,9.8,0.0,5.4,8.97,0.0,0.0,25.2,0.0,0.0,16.32,15.6,52.64000000000001,0.0,0.0,1.92
2004-03-02,0.0,0.84,70.0,0.0,4.86,0.0,1.35,17.849999999999998,0.0,5.6000000000000005,0.0,0.0,0.0,27.0,0.0,0.0,0.0,12.6,24.08,2.4,0.0,2.07
2004-03-03,0.0,0.0,57.4,0.0,30.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,0.0,0.0,20.8,7.8,26.320000000000004,0.0,0.0,1.11
2004-03-04,5.76,1.23,60.2,0.0,7.0200000000000005,0.0,1.62,11.9,0.0,8.200000000000001,0.0,0.0,0.0,22.5,0.0,0.0,19.84,12.3,21.28,0.0,19.0,2.61
2004-03-05,11.16,0.0,43.4,0.0,54.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,24.3,0.0,0.0,0.0,7.199999999999999,54.88,0.0,0.0,1.89
2004-03-06,8.76,0.0,46.2,0.0,11.88,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,22.5,0.0,0.0,16.32,12.6,50.400000000000006,0.0,0.0,1.47
2004-03-07,0.0,0.0,49.7,0.0,29.160000000000004,0.0,0.0,0.0,16.0,13.6,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,52.080000000000005,12.0,0.0,2.31
2004-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004-03-10,3.12,0.0,61.6,0.0,0.0,0.0,0.0,19.25,0.0,6.0,0.0,0.0,0.0,45.0,0.0,0.0,18.88,6.9,47.040000000000006,4.32,36.0,2.31
