date,permno,ticker,price,volume,return,high,low,open,avg_price,mkt_cap,pct_return,ticker_attention,name_price_attention,returns,volatility,High_Volatility
2020-03-10,14541,CVX,84.98,22592128.0,0.053428,86.3,81.04,86.24,83.67,159705038.5,5.3428,61.06,61.38,5.3428,5.121053350739622,True
2020-03-10,18542,CAT,106.49,8293227.0,0.023254,109.06,99.11,108.64,104.085,58578338.67,2.3254,46.86,70.55,2.3254,4.778657259492728,True
2020-03-10,86868,GS,184.35001,6803867.0,0.066779,185.395,173.285,181.62,179.34,63724821.00673,6.6779,60.52,77.0,6.6779,4.050774393055787,True
2020-01-14,93436,TSLA,537.91998,28955735.0,0.024883,547.40997,524.90002,544.255,536.154995,97396867.41876,2.4883,18.48,17.28,2.4882999999999997,3.793798066995232,True
2020-03-03,14593,AAPL,289.32001,79720151.0,-0.031759,304.0,285.79999,303.67001,294.899995,1265913917.3548,-3.1759,59.16,43.24,-3.1759000000000004,3.784334775982694,True
