date,GS
2013-10-11,49.8
2013-10-12,46.2
2013-10-13,52.8
2013-10-14,46.2
2013-10-15,51.0
2013-10-16,48.0
2013-10-17,60.0
2013-10-18,55.2
2013-10-19,52.8
2013-10-20,52.8
2013-10-21,55.8
2013-10-22,55.8
2013-10-23,57.0
2013-10-24,54.0
2013-10-25,56.4
2013-10-26,51.6
2013-10-27,46.8
2013-10-28,52.2
2013-10-29,51.6
2013-10-30,54.0
2013-10-31,51.0
2013-11-01,51.0
2013-11-02,49.8
2013-11-03,42.6
2013-11-04,48.6
2013-11-05,57.0
2013-11-06,53.4
2013-11-07,53.4
2013-11-08,51.6
2013-11-09,46.2
2013-11-10,47.4
2013-11-11,47.4
2013-11-12,51.0
2013-11-13,55.2
2013-11-14,55.2
2013-11-15,60.0
2013-11-16,53.4
2013-11-17,48.6
2013-11-18,56.4
2013-11-19,51.0
2013-11-20,52.2
2013-11-21,52.8
2013-11-22,51.0
2013-11-23,57.0
2013-11-24,48.6
2013-11-25,51.0
2013-11-26,52.8
2013-11-27,51.0
2013-11-28,45.6
2013-11-29,55.2
2013-11-30,49.8
2013-12-01,46.23
2013-12-02,53.13
2013-12-03,57.96
2013-12-04,60.72
2013-12-05,53.81999999999999
2013-12-06,60.03
2013-12-07,53.13
2013-12-08,53.81999999999999
2013-12-09,51.06
2013-12-10,57.27
2013-12-11,60.72
2013-12-12,53.81999999999999
2013-12-13,54.51
2013-12-14,57.96
2013-12-15,53.13
2013-12-16,69.0
2013-12-17,56.58
2013-12-18,66.92999999999999
2013-12-19,60.72
2013-12-20,61.41
2013-12-21,58.65
2013-12-22,61.41
2013-12-23,64.86
2013-12-24,66.92999999999999
2013-12-25,54.51
2013-12-26,69.0
2013-12-27,60.72
2013-12-28,59.34
2013-12-29,58.65
2013-12-30,62.78999999999999
2013-12-31,67.61999999999999
2014-01-01,44.8
2014-01-02,70.0
2014-01-03,63.7
2014-01-04,57.4
2014-01-05,42.7
2014-01-06,56.0
2014-01-07,53.2
2014-01-08,57.4
2014-01-09,57.4
2014-01-10,53.2
2014-01-11,48.3
2014-01-12,47.6
