date,Chevron Stock Price
2013-10-08,2.16
2013-10-09,4.14
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,3.69
2013-10-14,4.77
2013-10-15,3.69
2013-10-16,0.0
2013-10-17,0.0
2013-10-18,7.739999999999999
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,5.31
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,0.0
2013-10-25,2.25
2013-10-26,4.859999999999999
2013-10-27,3.33
2013-10-28,2.34
2013-10-29,4.41
2013-10-30,0.0
2013-10-31,0.0
2013-11-01,1.71
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,6.21
2013-11-05,0.0
2013-11-06,5.94
2013-11-07,0.0
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,0.0
2013-11-11,3.15
2013-11-12,3.96
2013-11-13,1.7999999999999998
2013-11-14,2.52
2013-11-15,1.71
2013-11-16,0.0
2013-11-17,2.16
2013-11-18,1.44
2013-11-19,0.0
2013-11-20,1.71
2013-11-21,0.0
2013-11-22,3.87
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,3.15
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,9.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,0.0
2013-12-03,0.0
2013-12-04,3.92
2013-12-05,0.0
2013-12-06,2.0
2013-12-07,3.44
2013-12-08,0.0
2013-12-09,1.68
2013-12-10,3.44
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,2.8000000000000003
2013-12-17,2.4
2013-12-18,0.0
2013-12-19,4.64
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,3.12
2013-12-24,5.92
2013-12-25,8.0
2013-12-26,5.6000000000000005
2013-12-27,2.24
2013-12-28,2.64
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,2.64
2014-01-01,0.0
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,0.0
2014-01-05,1.92
2014-01-06,0.0
2014-01-07,0.0
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,2.52
2014-01-11,0.0
2014-01-12,4.44
2014-01-13,2.1
2014-01-14,1.26
2014-01-15,0.0
2014-01-16,2.22
2014-01-17,0.0
2014-01-18,0.0
2014-01-19,2.16
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,3.42
2014-01-23,3.24
2014-01-24,0.0
2014-01-25,3.12
2014-01-26,1.3199999999999998
2014-01-27,6.0
2014-01-28,1.68
2014-01-29,0.0
2014-01-30,1.26
2014-01-31,2.16
2014-02-01,7.28
2014-02-02,12.09
2014-02-03,8.71
2014-02-04,4.42
2014-02-05,10.92
2014-02-06,7.0200000000000005
2014-02-07,7.800000000000001
2014-02-08,9.1
2014-02-09,0.0
2014-02-10,7.41
2014-02-11,9.62
2014-02-12,7.54
2014-02-13,8.19
2014-02-14,6.5
2014-02-15,0.0
2014-02-16,9.23
2014-02-17,7.930000000000001
2014-02-18,0.0
2014-02-19,5.8500000000000005
2014-02-20,3.51
2014-02-21,4.68
2014-02-22,0.0
2014-02-23,7.0200000000000005
2014-02-24,0.0
2014-02-25,7.930000000000001
2014-02-26,3.51
2014-02-27,13.0
2014-02-28,7.28
2014-03-01,0.0
2014-03-02,5.04
2014-03-03,2.16
2014-03-04,3.33
2014-03-05,0.0
2014-03-06,5.04
2014-03-07,2.34
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,3.15
2014-03-11,5.22
2014-03-12,7.109999999999999
2014-03-13,0.0
2014-03-14,0.0
2014-03-15,0.0
2014-03-16,4.95
2014-03-17,2.34
2014-03-18,2.34
2014-03-19,0.0
2014-03-20,4.32
2014-03-21,0.0
2014-03-22,9.0
2014-03-23,0.0
2014-03-24,8.459999999999999
2014-03-25,2.7
