date,PG
2013-10-14,50.82
2013-10-15,56.1
2013-10-16,52.8
2013-10-17,48.18
2013-10-18,58.74
2013-10-19,46.86
2013-10-20,44.88
2013-10-21,51.48
2013-10-22,57.42
2013-10-23,58.080000000000005
2013-10-24,58.080000000000005
2013-10-25,60.06
2013-10-26,55.440000000000005
2013-10-27,45.54
2013-10-28,60.06
2013-10-29,57.42
2013-10-30,66.0
2013-10-31,54.78
2013-11-01,52.29
2013-11-02,57.96
2013-11-03,39.06
2013-11-04,50.4
2013-11-05,54.18
2013-11-06,55.44
2013-11-07,57.33
2013-11-08,59.85
2013-11-09,47.25
2013-11-10,40.95
2013-11-11,52.29
2013-11-12,55.44
2013-11-13,58.59
2013-11-14,57.33
2013-11-15,61.11
2013-11-16,52.29
2013-11-17,43.47
2013-11-18,51.03
2013-11-19,54.81
2013-11-20,52.92
2013-11-21,52.29
2013-11-22,63.0
2013-11-23,49.14
2013-11-24,43.47
2013-11-25,49.77
2013-11-26,54.81
2013-11-27,48.51
2013-11-28,40.95
2013-11-29,46.62
2013-11-30,47.25
2013-12-01,30.74
2013-12-02,37.12
2013-12-03,38.28
2013-12-04,38.86
2013-12-05,37.12
2013-12-06,39.44
2013-12-07,35.379999999999995
2013-12-08,35.96
2013-12-09,57.99999999999999
2013-12-10,46.98
2013-12-11,44.08
2013-12-12,40.6
2013-12-13,37.12
2013-12-14,34.22
2013-12-15,31.32
2013-12-16,39.44
2013-12-17,37.12
2013-12-18,36.54
2013-12-19,41.18
2013-12-20,39.44
2013-12-21,36.54
2013-12-22,31.32
2013-12-23,38.86
2013-12-24,33.059999999999995
2013-12-25,30.16
2013-12-26,35.96
2013-12-27,33.059999999999995
2013-12-28,38.28
2013-12-29,30.74
2013-12-30,34.22
2013-12-31,38.86
2014-01-01,51.06
2014-01-02,59.94
2014-01-03,68.82
2014-01-04,45.88
2014-01-05,44.4
2014-01-06,62.9
2014-01-07,66.6
2014-01-08,54.76
2014-01-09,60.68
2014-01-10,57.72
2014-01-11,59.94
2014-01-12,54.02
2014-01-13,62.9
2014-01-14,61.42
2014-01-15,63.64
2014-01-16,57.72
2014-01-17,63.64
2014-01-18,59.2
2014-01-19,48.84
2014-01-20,54.76
2014-01-21,67.34
2014-01-22,74.0
2014-01-23,61.42
2014-01-24,70.3
2014-01-25,51.06
2014-01-26,51.8
2014-01-27,54.76
2014-01-28,63.64
2014-01-29,73.26
2014-01-30,61.42
2014-01-31,57.72
2014-02-01,52.44
2014-02-02,46.92
2014-02-03,61.41
2014-02-04,58.65
2014-02-05,69.0
2014-02-06,53.13
2014-02-07,53.81999999999999
2014-02-08,49.67999999999999
2014-02-09,49.67999999999999
2014-02-10,64.17
2014-02-11,52.44
2014-02-12,57.27
2014-02-13,55.88999999999999
2014-02-14,62.1
2014-02-15,58.65
2014-02-16,51.06
2014-02-17,55.2
2014-02-18,66.24
2014-02-19,55.88999999999999
2014-02-20,56.58
2014-02-21,55.88999999999999
2014-02-22,52.44
2014-02-23,47.61
2014-02-24,54.51
2014-02-25,56.58
2014-02-26,60.72
2014-02-27,59.34
2014-02-28,60.03
2014-03-01,55.61000000000001
2014-03-02,47.57
2014-03-03,54.940000000000005
2014-03-04,60.970000000000006
2014-03-05,60.3
2014-03-06,49.580000000000005
2014-03-07,51.59
2014-03-08,48.24
2014-03-09,44.220000000000006
2014-03-10,51.59
2014-03-11,56.28
2014-03-12,54.27
2014-03-13,49.580000000000005
2014-03-14,52.260000000000005
2014-03-15,44.89
2014-03-16,44.220000000000006
2014-03-17,67.0
2014-03-18,63.650000000000006
2014-03-19,52.260000000000005
2014-03-20,51.59
2014-03-21,52.93
2014-03-22,40.870000000000005
2014-03-23,44.220000000000006
2014-03-24,51.59
2014-03-25,54.27
2014-03-26,52.260000000000005
2014-03-27,54.27
2014-03-28,54.940000000000005
2014-03-29,43.55
2014-03-30,42.21
2014-03-31,53.6
2014-04-01,52.29
2014-04-02,56.7
2014-04-03,56.7
2014-04-04,57.33
2014-04-05,43.47
2014-04-06,45.99
2014-04-07,55.44
2014-04-08,59.22
2014-04-09,57.96
2014-04-10,63.0
2014-04-11,52.29
2014-04-12,43.47
2014-04-13,37.17
2014-04-14,55.44
2014-04-15,52.29
2014-04-16,51.66
2014-04-17,52.29
2014-04-18,49.14
2014-04-19,51.03
2014-04-20,44.1
2014-04-21,49.77
2014-04-22,51.03
2014-04-23,56.07
2014-04-24,51.03
2014-04-25,56.7
2014-04-26,47.88
2014-04-27,47.25
2014-04-28,56.07
2014-04-29,53.55
2014-04-30,52.29
2014-05-01,58.65
2014-05-02,53.81999999999999
2014-05-03,48.99
2014-05-04,48.3
2014-05-05,56.58
2014-05-06,62.78999999999999
2014-05-07,56.58
2014-05-08,59.34
2014-05-09,60.03
2014-05-10,49.67999999999999
2014-05-11,50.37
2014-05-12,69.0
2014-05-13,53.81999999999999
2014-05-14,56.58
2014-05-15,58.65
2014-05-16,62.1
2014-05-17,55.2
2014-05-18,48.3
2014-05-19,62.78999999999999
2014-05-20,57.96
2014-05-21,56.58
2014-05-22,60.72
2014-05-23,55.2
2014-05-24,53.81999999999999
2014-05-25,57.27
2014-05-26,56.58
2014-05-27,60.72
2014-05-28,54.51
2014-05-29,60.03
2014-05-30,57.27
2014-05-31,45.54
2014-06-01,53.55
2014-06-02,57.33
2014-06-03,59.22
2014-06-04,48.51
2014-06-05,59.85
2014-06-06,55.44
2014-06-07,51.03
2014-06-08,49.77
2014-06-09,63.0
2014-06-10,56.07
2014-06-11,62.37
2014-06-12,53.55
2014-06-13,61.11
2014-06-14,51.66
2014-06-15,39.69
