,Date,Price,Volume,Market_cap,crypto_name,crypto_price
5732,2022-05-20,7.22640876,434521942.219204,3367401697.062067,Chainlink,10.08
5733,2022-05-19,6.81206111,404356867.42329,3192174241.3624325,Chainlink,8.16
5734,2022-05-18,7.74412793,431758271.903737,3615840292.1939206,Chainlink,7.68
5735,2022-05-17,7.41951924,529591893.384067,3464986337.7763667,Chainlink,4.96
5736,2022-05-16,7.90054085,424805864.440008,3685727157.588176,Chainlink,7.52
5737,2022-05-15,7.29692424,460050609.558041,3407068030.072276,Chainlink,10.88
5738,2022-05-14,7.13268116,638311274.61617,3311941478.1600084,Chainlink,12.0
5739,2022-05-13,6.57555382,1111262740.562786,3082093342.3197966,Chainlink,16.0
5740,2022-05-12,6.91154117,1362638726.362313,3287964617.648902,Chainlink,14.24
5741,2022-05-11,8.58438968,1066660057.332038,4008991958.2203593,Chainlink,12.32
5742,2022-05-10,8.25915484,874341627.691107,3915298069.869124,Chainlink,9.76
5743,2022-05-09,9.98537217,434372988.281922,4666476185.432539,Chainlink,11.68
5744,2022-05-08,10.2626549,325509554.064709,4797491445.105665,Chainlink,8.64
5745,2022-05-07,10.83600782,530593580.824189,5057013845.910275,Chainlink,4.96
5746,2022-05-06,10.93847496,538073912.619605,5100034086.230136,Chainlink,7.68
5747,2022-05-05,12.15562149,500982225.969364,5669844855.117556,Chainlink,10.24
5748,2022-05-04,11.12307597,393320417.015122,5194582699.98265,Chainlink,8.32
5749,2022-05-03,11.17905934,430764167.100194,5221031070.66634,Chainlink,3.84
5750,2022-05-02,11.32657465,450232355.629391,5289618526.667551,Chainlink,6.08
5751,2022-05-01,11.0392833,461856478.847486,5122068661.808956,Chainlink,7.2
5752,2022-04-30,11.97954968,386743902.389067,5599233840.268341,Chainlink,0.0
5753,2022-04-29,12.65316385,433729564.519571,5902571066.226755,Chainlink,4.8
5754,2022-04-28,12.72628849,383357539.691078,5937847304.752004,Chainlink,7.56
5755,2022-04-27,12.34992494,440273838.475605,5761162385.74028,Chainlink,0.0
5756,2022-04-26,13.45560908,498468769.283547,6283897933.194498,Chainlink,6.12
5757,2022-04-25,13.26964067,301646644.547337,6212136327.333948,Chainlink,2.16
5758,2022-04-24,13.35654276,319666262.324128,6237633016.401942,Chainlink,0.0
5759,2022-04-23,13.60846444,478808503.937426,6364648727.304668,Chainlink,6.6
5760,2022-04-22,13.59271943,542382251.798863,6349982620.343876,Chainlink,10.32
5761,2022-04-21,14.03685862,515471827.512281,6550179529.562711,Chainlink,2.76
5762,2022-04-20,14.26800979,426183508.211535,6647972996.826643,Chainlink,6.4799999999999995
5763,2022-04-19,14.04280983,660866031.214359,6558126292.920787,Chainlink,3.96
5764,2022-04-18,13.76106429,415466587.837245,6426548432.729659,Chainlink,12.0
5765,2022-04-17,14.17614941,314741148.559353,6632635135.1854725,Chainlink,6.96
5766,2022-04-16,14.14433598,353020143.05592,6605539975.060772,Chainlink,10.08
5767,2022-04-15,13.66813783,536442020.197797,6382452065.712901,Chainlink,5.3999999999999995
5768,2022-04-14,14.19887777,473768154.409358,6633286768.032764,Chainlink,4.8
5769,2022-04-13,14.00677396,486871262.750013,6541297197.360967,Chainlink,7.8
5770,2022-04-12,13.77327966,605096881.802289,6442432131.3679,Chainlink,2.52
5771,2022-04-11,15.36357624,364997454.128789,7198878308.402579,Chainlink,5.64
5772,2022-04-10,15.44953462,346263366.533939,7207320247.127293,Chainlink,8.16
5773,2022-04-09,15.14447,423813292.452463,7050426203.0011835,Chainlink,0.0
5774,2022-04-08,15.83020963,501067389.546721,7390023293.708371,Chainlink,9.0
5775,2022-04-07,15.4197848,762826627.807696,7191942270.645442,Chainlink,5.76
5776,2022-04-06,16.78725858,474894593.564871,7861304836.722739,Chainlink,7.92
5777,2022-04-05,17.47545932,684094665.060205,8155307945.939597,Chainlink,7.199999999999999
5778,2022-04-04,18.07979143,649250927.150295,8444873181.220225,Chainlink,5.52
5779,2022-04-03,17.41753568,629183370.584346,8158435817.229,Chainlink,9.48
5780,2022-04-02,17.30921452,703768525.285089,8053615639.549505,Chainlink,6.72
5781,2022-04-01,16.91930973,827597548.831389,7901479215.263763,Chainlink,9.72
5782,2022-03-31,17.2352547,701992378.309202,8051177290.635012,Chainlink,7.280000000000001
5783,2022-03-30,16.95740753,708410120.871268,7901683383.727758,Chainlink,13.3
5784,2022-03-29,16.4959972,768961305.531201,7751103960.755593,Chainlink,11.9
5785,2022-03-28,16.81509147,587520389.841248,7852935026.02799,Chainlink,8.120000000000001
5786,2022-03-27,15.80223143,396000349.216447,7399555561.141049,Chainlink,7.280000000000001
5787,2022-03-26,15.57203853,614703483.478245,7261777638.4277725,Chainlink,5.040000000000001
5788,2022-03-25,16.14821066,670030621.380933,7555425615.046046,Chainlink,8.120000000000001
5789,2022-03-24,15.76695153,538436812.360943,7347196858.029737,Chainlink,7.700000000000001
5790,2022-03-23,15.48007637,622586977.556762,7213846823.401752,Chainlink,0.0
5791,2022-03-22,15.00469041,518378016.068275,6996902664.130813,Chainlink,6.86
5792,2022-03-21,14.55253332,416423957.031415,6797920032.196884,Chainlink,7.700000000000001
5793,2022-03-20,14.94547363,494202507.24645,6976606712.164603,Chainlink,14.000000000000002
5794,2022-03-19,15.03324777,532464597.936398,7025222822.574401,Chainlink,9.66
5795,2022-03-18,14.42860642,534275554.0841,6738296982.5851,Chainlink,5.180000000000001
5796,2022-03-17,14.67753304,763184115.589459,6832488300.2947,Chainlink,8.120000000000001
5797,2022-03-16,13.7195745,462822980.523256,6423547530.096891,Chainlink,7.700000000000001
5798,2022-03-15,13.39918438,535685959.408592,6239781465.388755,Chainlink,4.2
5799,2022-03-14,12.71666562,333266572.717897,5936958388.826189,Chainlink,6.0200000000000005
5800,2022-03-13,13.17266444,368368529.684912,6162855082.109891,Chainlink,8.260000000000002
5801,2022-03-12,13.07486796,520353689.153822,6123621286.356032,Chainlink,6.16
5802,2022-03-11,13.18832278,533330985.025683,6169503457.780243,Chainlink,10.500000000000002
