,date,VISA
3288,2013-01-01,0.0
3289,2013-01-02,2.35
3290,2013-01-03,0.0
3291,2013-01-04,1.75
3292,2013-01-05,0.0
3293,2013-01-06,0.0
3294,2013-01-07,0.0
3295,2013-01-08,2.5500000000000003
3296,2013-01-09,0.0
3297,2013-01-10,0.0
3298,2013-01-11,0.0
3299,2013-01-12,0.0
3300,2013-01-13,5.0
3301,2013-01-14,1.65
3302,2013-01-15,0.0
3303,2013-01-16,3.25
3304,2013-01-17,0.0
3305,2013-01-18,0.0
3306,2013-01-19,0.0
3307,2013-01-20,1.95
3308,2013-01-21,0.0
3309,2013-01-22,3.9
3310,2013-01-23,0.0
3311,2013-01-24,0.0
3312,2013-01-25,0.0
3313,2013-01-26,0.0
3314,2013-01-27,0.0
3315,2013-01-28,0.0
3316,2013-01-29,0.0
3317,2013-01-30,0.0
3318,2013-01-31,0.0
3319,2013-02-01,2.72
3320,2013-02-02,0.0
3321,2013-02-03,0.0
3322,2013-02-04,0.0
3323,2013-02-05,0.0
3324,2013-02-06,3.84
3325,2013-02-07,0.0
3326,2013-02-08,0.0
3327,2013-02-09,0.0
3328,2013-02-10,1.96
3329,2013-02-11,0.0
3330,2013-02-12,0.0
3331,2013-02-13,4.0
3332,2013-02-14,0.0
3333,2013-02-15,0.0
3334,2013-02-16,0.0
3335,2013-02-17,0.0
3336,2013-02-18,0.0
3337,2013-02-19,0.0
3338,2013-02-20,0.0
3339,2013-02-21,0.0
3340,2013-02-22,2.32
3341,2013-02-23,0.0
3342,2013-02-24,0.0
3343,2013-02-25,0.0
3344,2013-02-26,0.0
3345,2013-02-27,0.0
3346,2013-02-28,0.0
3347,2013-03-01,5.0
3348,2013-03-02,2.75
3349,2013-03-03,0.0
3350,2013-03-04,4.4
3351,2013-03-05,4.5
3352,2013-03-06,0.0
3353,2013-03-07,2.2
3354,2013-03-08,0.0
3355,2013-03-09,0.0
3356,2013-03-10,0.0
3357,2013-03-11,0.0
3358,2013-03-12,0.0
3359,2013-03-13,0.0
3360,2013-03-14,0.0
3361,2013-03-15,1.65
3362,2013-03-16,0.0
3363,2013-03-17,0.0
3364,2013-03-18,1.6
3365,2013-03-19,0.0
3366,2013-03-20,1.7000000000000002
3367,2013-03-21,2.5500000000000003
3368,2013-03-22,0.0
3369,2013-03-23,0.0
3370,2013-03-24,0.0
3371,2013-03-25,0.0
3372,2013-03-26,0.0
3373,2013-03-27,0.0
3374,2013-03-28,0.0
3375,2013-03-29,0.0
3376,2013-03-30,0.0
3377,2013-03-31,0.0
3378,2013-04-01,3.85
3379,2013-04-02,0.0
3380,2013-04-03,1.3
3381,2013-04-04,0.0
3382,2013-04-05,0.0
3383,2013-04-06,0.0
3384,2013-04-07,0.0
3385,2013-04-08,1.15
3386,2013-04-09,0.0
3387,2013-04-10,0.0
3388,2013-04-11,0.0
3389,2013-04-12,0.0
3390,2013-04-13,0.0
3391,2013-04-14,0.0
3392,2013-04-15,0.0
3393,2013-04-16,2.0
3394,2013-04-17,0.0
3395,2013-04-18,0.0
3396,2013-04-19,3.3000000000000003
3397,2013-04-20,0.0
3398,2013-04-21,0.0
3399,2013-04-22,0.0
3400,2013-04-23,0.0
3401,2013-04-24,5.0
3402,2013-04-25,2.75
3403,2013-04-26,0.0
3404,2013-04-27,0.0
3405,2013-04-28,2.1
3406,2013-04-29,0.0
3407,2013-04-30,2.7
3408,2013-05-01,2.82
3409,2013-05-02,0.0
3410,2013-05-03,0.0
3411,2013-05-04,0.0
3412,2013-05-05,0.0
3413,2013-05-06,0.0
3414,2013-05-07,0.0
3415,2013-05-08,0.0
3416,2013-05-09,6.0
3417,2013-05-10,0.0
3418,2013-05-11,4.98
3419,2013-05-12,0.0
3420,2013-05-13,0.0
3421,2013-05-14,0.0
3422,2013-05-15,3.78
3423,2013-05-16,0.0
3424,2013-05-17,2.34
3425,2013-05-18,4.38
3426,2013-05-19,3.18
3427,2013-05-20,0.0
3428,2013-05-21,0.0
3429,2013-05-22,0.0
3430,2013-05-23,2.16
3431,2013-05-24,2.76
3432,2013-05-25,0.0
3433,2013-05-26,2.22
3434,2013-05-27,3.42
3435,2013-05-28,2.52
3436,2013-05-29,0.0
3437,2013-05-30,0.0
3438,2013-05-31,0.0
3439,2013-06-01,0.0
3440,2013-06-02,0.0
3441,2013-06-03,0.0
3442,2013-06-04,6.0
3443,2013-06-05,0.0
3444,2013-06-06,3.72
3445,2013-06-07,0.0
3446,2013-06-08,0.0
3447,2013-06-09,1.5
3448,2013-06-10,1.3199999999999998
3449,2013-06-11,0.0
3450,2013-06-12,0.0
3451,2013-06-13,0.0
3452,2013-06-14,0.0
3453,2013-06-15,0.0
3454,2013-06-16,0.0
3455,2013-06-17,1.7999999999999998
3456,2013-06-18,1.56
3457,2013-06-19,1.74
3458,2013-06-20,2.46
3459,2013-06-21,1.86
3460,2013-06-22,0.0
3461,2013-06-23,3.42
3462,2013-06-24,3.0
3463,2013-06-25,0.0
3464,2013-06-26,1.14
3465,2013-06-27,0.0
3466,2013-06-28,0.0
3467,2013-06-29,0.0
3468,2013-06-30,0.0
3469,2013-07-01,0.0
3470,2013-07-02,0.0
3471,2013-07-03,0.0
3472,2013-07-04,7.649999999999999
3473,2013-07-05,8.19
3474,2013-07-06,0.0
3475,2013-07-07,0.0
3476,2013-07-08,6.569999999999999
3477,2013-07-09,0.0
3478,2013-07-10,0.0
3479,2013-07-11,2.97
3480,2013-07-12,2.97
3481,2013-07-13,0.0
3482,2013-07-14,0.0
3483,2013-07-15,4.14
3484,2013-07-16,3.42
3485,2013-07-17,0.0
3486,2013-07-18,4.14
3487,2013-07-19,0.0
3488,2013-07-20,0.0
3489,2013-07-21,0.0
3490,2013-07-22,0.0
3491,2013-07-23,0.0
3492,2013-07-24,0.0
3493,2013-07-25,0.0
3494,2013-07-26,0.0
3495,2013-07-27,8.01
3496,2013-07-28,0.0
3497,2013-07-29,9.0
3498,2013-07-30,0.0
3499,2013-07-31,0.0
3500,2013-08-01,5.06
3501,2013-08-02,2.64
3502,2013-08-03,0.0
3503,2013-08-04,0.0
3504,2013-08-05,7.81
3505,2013-08-06,4.51
3506,2013-08-07,3.85
3507,2013-08-08,4.29
3508,2013-08-09,0.0
3509,2013-08-10,0.0
3510,2013-08-11,0.0
3511,2013-08-12,10.23
3512,2013-08-13,0.0
3513,2013-08-14,0.0
3514,2013-08-15,4.73
3515,2013-08-16,10.89
3516,2013-08-17,0.0
3517,2013-08-18,0.0
3518,2013-08-19,0.0
3519,2013-08-20,3.96
3520,2013-08-21,6.71
3521,2013-08-22,5.5
3522,2013-08-23,11.0
3523,2013-08-24,0.0
3524,2013-08-25,0.0
3525,2013-08-26,0.0
3526,2013-08-27,0.0
3527,2013-08-28,0.0
3528,2013-08-29,0.0
3529,2013-08-30,6.16
3530,2013-08-31,0.0
3531,2013-09-01,11.64
3532,2013-09-02,0.0
3533,2013-09-03,4.32
3534,2013-09-04,2.28
3535,2013-09-05,3.6
3536,2013-09-06,1.92
3537,2013-09-07,0.0
3538,2013-09-08,0.0
3539,2013-09-09,4.32
3540,2013-09-10,0.0
3541,2013-09-11,12.0
3542,2013-09-12,0.0
3543,2013-09-13,2.88
3544,2013-09-14,0.0
3545,2013-09-15,2.28
3546,2013-09-16,8.04
3547,2013-09-17,0.0
3548,2013-09-18,0.0
3549,2013-09-19,2.52
3550,2013-09-20,6.12
3551,2013-09-21,0.0
3552,2013-09-22,0.0
3553,2013-09-23,0.0
3554,2013-09-24,0.0
3555,2013-09-25,2.64
3556,2013-09-26,3.48
3557,2013-09-27,2.4
3558,2013-09-28,0.0
3559,2013-09-29,0.0
3560,2013-09-30,0.0
3561,2013-10-01,1.4
3562,2013-10-02,0.0
3563,2013-10-03,3.8
3564,2013-10-04,0.0
3565,2013-10-05,0.0
3566,2013-10-06,0.0
3567,2013-10-07,3.0
3568,2013-10-08,0.0
3569,2013-10-09,0.0
3570,2013-10-10,2.3000000000000003
3571,2013-10-11,1.3
3572,2013-10-12,0.0
3573,2013-10-13,0.0
3574,2013-10-14,0.0
3575,2013-10-15,0.0
3576,2013-10-16,0.0
3577,2013-10-17,0.0
3578,2013-10-18,3.0
3579,2013-10-19,1.5
3580,2013-10-20,5.800000000000001
3581,2013-10-21,1.3
3582,2013-10-22,0.0
3583,2013-10-23,10.0
3584,2013-10-24,0.0
3585,2013-10-25,0.0
3586,2013-10-26,3.3000000000000003
3587,2013-10-27,3.3000000000000003
3588,2013-10-28,5.4
3589,2013-10-29,2.1
3590,2013-10-30,0.0
3591,2013-10-31,1.2000000000000002
3592,2013-11-01,10.0
3593,2013-11-02,7.9
3594,2013-11-03,0.0
3595,2013-11-04,0.0
3596,2013-11-05,7.9
3597,2013-11-06,0.0
3598,2013-11-07,6.300000000000001
3599,2013-11-08,4.3
3600,2013-11-09,0.0
3601,2013-11-10,0.0
3602,2013-11-11,0.0
3603,2013-11-12,4.5
3604,2013-11-13,0.0
3605,2013-11-14,7.4
3606,2013-11-15,3.6
3607,2013-11-16,0.0
3608,2013-11-17,0.0
3609,2013-11-18,5.300000000000001
3610,2013-11-19,4.2
3611,2013-11-20,0.0
3612,2013-11-21,6.5
3613,2013-11-22,6.300000000000001
3614,2013-11-23,0.0
3615,2013-11-24,0.0
3616,2013-11-25,4.1000000000000005
3617,2013-11-26,6.4
3618,2013-11-27,0.0
3619,2013-11-28,0.0
3620,2013-11-29,0.0
3621,2013-11-30,0.0
3622,2013-12-01,4.68
3623,2013-12-02,2.07
3624,2013-12-03,2.61
3625,2013-12-04,4.32
3626,2013-12-05,0.0
3627,2013-12-06,0.0
3628,2013-12-07,0.0
3629,2013-12-08,0.0
3630,2013-12-09,0.0
3631,2013-12-10,9.0
3632,2013-12-11,6.84
3633,2013-12-12,2.61
3634,2013-12-13,0.0
3635,2013-12-14,0.0
3636,2013-12-15,0.0
3637,2013-12-16,0.0
3638,2013-12-17,2.7
3639,2013-12-18,4.41
3640,2013-12-19,0.0
3641,2013-12-20,4.859999999999999
3642,2013-12-21,0.0
3643,2013-12-22,0.0
3644,2013-12-23,2.34
3645,2013-12-24,2.79
3646,2013-12-25,3.6
3647,2013-12-26,5.67
3648,2013-12-27,5.58
3649,2013-12-28,4.14
3650,2013-12-29,3.51
3651,2013-12-30,0.0
3652,2013-12-31,0.0
3653,2014-01-01,4.07
3654,2014-01-02,4.95
3655,2014-01-03,5.39
3656,2014-01-04,3.3
3657,2014-01-05,4.73
3658,2014-01-06,5.83
3659,2014-01-07,4.18
3660,2014-01-08,0.0
3661,2014-01-09,2.75
3662,2014-01-10,2.64
3663,2014-01-11,0.0
3664,2014-01-12,0.0
3665,2014-01-13,0.0
3666,2014-01-14,11.0
3667,2014-01-15,0.0
3668,2014-01-16,0.0
3669,2014-01-17,0.0
3670,2014-01-18,0.0
3671,2014-01-19,0.0
3672,2014-01-20,0.0
3673,2014-01-21,0.0
3674,2014-01-22,3.19
3675,2014-01-23,0.0
3676,2014-01-24,0.0
3677,2014-01-25,0.0
3678,2014-01-26,0.0
3679,2014-01-27,0.0
3680,2014-01-28,9.79
3681,2014-01-29,9.57
3682,2014-01-30,10.01
3683,2014-01-31,7.7
3684,2014-02-01,9.1
3685,2014-02-02,7.2
3686,2014-02-03,5.9
3687,2014-02-04,0.0
3688,2014-02-05,0.0
3689,2014-02-06,0.0
3690,2014-02-07,0.0
3691,2014-02-08,0.0
