date,Microsoft Stock Price
2013-08-21,1.85
2013-08-22,0.0
2013-08-23,5.0
2013-08-24,1.6
2013-08-25,0.8500000000000001
2013-08-26,1.6500000000000001
2013-08-27,1.05
2013-08-28,1.55
2013-08-29,0.6000000000000001
2013-08-30,1.05
2013-08-31,1.6
2013-09-01,0.0
2013-09-02,4.62
2013-09-03,7.000000000000001
2013-09-04,5.180000000000001
2013-09-05,6.090000000000001
2013-09-06,5.180000000000001
2013-09-07,0.0
2013-09-08,2.87
2013-09-09,2.5900000000000003
2013-09-10,5.74
2013-09-11,2.1
2013-09-12,4.83
2013-09-13,4.760000000000001
2013-09-14,2.31
2013-09-15,4.41
2013-09-16,4.130000000000001
2013-09-17,0.0
2013-09-18,3.7800000000000002
2013-09-19,3.99
2013-09-20,2.45
2013-09-21,0.0
2013-09-22,2.1
2013-09-23,4.83
2013-09-24,4.760000000000001
2013-09-25,1.8900000000000001
2013-09-26,3.7800000000000002
2013-09-27,4.130000000000001
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,3.6400000000000006
2013-10-01,5.6000000000000005
2013-10-02,3.92
2013-10-03,6.4
2013-10-04,4.8
2013-10-05,1.44
2013-10-06,3.04
2013-10-07,3.7600000000000002
2013-10-08,3.2800000000000002
2013-10-09,2.8000000000000003
2013-10-10,6.96
2013-10-11,2.56
2013-10-12,3.2800000000000002
2013-10-13,1.68
2013-10-14,2.88
2013-10-15,1.92
2013-10-16,3.84
2013-10-17,3.12
2013-10-18,5.2
2013-10-19,5.36
2013-10-20,0.0
2013-10-21,1.84
2013-10-22,3.2
2013-10-23,3.12
2013-10-24,3.68
2013-10-25,4.4
2013-10-26,2.08
2013-10-27,1.52
2013-10-28,5.2
2013-10-29,8.0
2013-10-30,2.96
2013-10-31,3.7600000000000002
2013-11-01,4.16
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,6.0
2013-11-05,5.36
2013-11-06,3.52
2013-11-07,5.6000000000000005
2013-11-08,4.96
2013-11-09,1.84
2013-11-10,1.2
2013-11-11,3.04
2013-11-12,5.44
2013-11-13,8.0
2013-11-14,4.96
2013-11-15,1.52
2013-11-16,4.4
2013-11-17,2.8000000000000003
2013-11-18,3.7600000000000002
2013-11-19,3.68
2013-11-20,3.2
2013-11-21,5.36
2013-11-22,7.84
2013-11-23,2.72
2013-11-24,2.0
2013-11-25,4.5600000000000005
2013-11-26,2.4
2013-11-27,4.16
2013-11-28,0.0
2013-11-29,3.04
2013-11-30,2.4
2013-12-01,0.8999999999999999
2013-12-02,1.92
2013-12-03,1.38
2013-12-04,2.88
2013-12-05,2.04
2013-12-06,4.08
2013-12-07,0.0
2013-12-08,1.02
2013-12-09,1.98
2013-12-10,2.82
2013-12-11,4.38
2013-12-12,0.0
2013-12-13,5.279999999999999
2013-12-14,0.0
2013-12-15,1.8599999999999999
2013-12-16,4.02
2013-12-17,3.5999999999999996
2013-12-18,2.94
2013-12-19,6.0
2013-12-20,1.8599999999999999
2013-12-21,1.5
2013-12-22,0.0
2013-12-23,3.06
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,1.3199999999999998
2013-12-27,3.84
2013-12-28,2.04
2013-12-29,0.0
2013-12-30,1.74
2013-12-31,2.28
2014-01-01,1.54
2014-01-02,3.1500000000000004
2014-01-03,1.54
2014-01-04,1.4000000000000001
2014-01-05,2.1
2014-01-06,2.24
2014-01-07,1.1900000000000002
2014-01-08,1.6800000000000002
2014-01-09,3.5000000000000004
2014-01-10,2.8000000000000003
2014-01-11,3.0100000000000002
2014-01-12,3.0100000000000002
2014-01-13,3.1500000000000004
2014-01-14,4.62
2014-01-15,5.6000000000000005
2014-01-16,6.300000000000001
2014-01-17,2.5200000000000005
2014-01-18,1.8200000000000003
2014-01-19,2.8000000000000003
2014-01-20,0.0
2014-01-21,4.2
2014-01-22,4.9
2014-01-23,5.53
2014-01-24,7.000000000000001
2014-01-25,5.6000000000000005
2014-01-26,2.31
2014-01-27,0.0
2014-01-28,2.87
2014-01-29,5.6000000000000005
2014-01-30,1.6800000000000002
2014-01-31,5.390000000000001
2014-02-01,4.62
2014-02-02,0.0
2014-02-03,3.43
2014-02-04,7.000000000000001
2014-02-05,3.5000000000000004
2014-02-06,3.5000000000000004
2014-02-07,6.0200000000000005
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,2.5900000000000003
2014-02-11,5.460000000000001
2014-02-12,3.7800000000000002
2014-02-13,6.16
2014-02-14,2.66
2014-02-15,1.2600000000000002
2014-02-16,1.6800000000000002
2014-02-17,1.6800000000000002
2014-02-18,5.670000000000001
2014-02-19,2.5900000000000003
2014-02-20,2.31
2014-02-21,5.040000000000001
2014-02-22,1.54
2014-02-23,2.31
2014-02-24,1.8900000000000001
2014-02-25,3.5000000000000004
2014-02-26,4.760000000000001
2014-02-27,4.41
2014-02-28,3.7100000000000004
2014-03-01,1.4000000000000001
2014-03-02,0.0
2014-03-03,5.670000000000001
2014-03-04,0.9100000000000001
2014-03-05,4.69
2014-03-06,1.8900000000000001
2014-03-07,3.0100000000000002
2014-03-08,1.4000000000000001
2014-03-09,0.0
2014-03-10,3.43
2014-03-11,2.66
2014-03-12,1.54
2014-03-13,5.040000000000001
2014-03-14,5.040000000000001
2014-03-15,0.0
2014-03-16,2.9400000000000004
2014-03-17,5.670000000000001
2014-03-18,3.5700000000000003
2014-03-19,2.66
2014-03-20,4.550000000000001
2014-03-21,3.22
2014-03-22,2.3800000000000003
2014-03-23,0.0
2014-03-24,3.6400000000000006
2014-03-25,1.4000000000000001
2014-03-26,4.41
2014-03-27,7.000000000000001
2014-03-28,4.69
2014-03-29,4.83
2014-03-30,1.6800000000000002
2014-03-31,2.87
2014-04-01,5.28
2014-04-02,2.96
2014-04-03,5.36
2014-04-04,1.2
2014-04-05,3.44
2014-04-06,1.68
2014-04-07,4.96
2014-04-08,4.16
2014-04-09,8.0
2014-04-10,1.28
2014-04-11,3.44
2014-04-12,4.16
2014-04-13,1.28
2014-04-14,3.92
2014-04-15,2.16
2014-04-16,4.4
2014-04-17,1.92
2014-04-18,3.52
2014-04-19,2.0
2014-04-20,1.44
2014-04-21,3.68
2014-04-22,2.96
2014-04-23,2.16
