date,MCD
2013-09-11,0.0
2013-09-12,8.58
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,9.9
2013-09-17,9.24
2013-09-18,0.0
2013-09-19,8.8
2013-09-20,12.98
2013-09-21,0.0
2013-09-22,8.36
2013-09-23,0.0
2013-09-24,6.38
2013-09-25,22.0
2013-09-26,11.44
2013-09-27,7.48
2013-09-28,8.36
2013-09-29,0.0
2013-09-30,7.7
2013-10-01,14.08
2013-10-02,15.36
2013-10-03,0.0
2013-10-04,8.96
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,16.0
2013-10-09,32.0
2013-10-10,9.92
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,8.64
2013-10-15,0.0
2013-10-16,10.56
2013-10-17,0.0
2013-10-18,16.96
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,13.76
2013-10-25,13.44
2013-10-26,22.72
2013-10-27,0.0
2013-10-28,12.16
2013-10-29,12.8
2013-10-30,11.52
2013-10-31,20.8
2013-11-01,8.84
2013-11-02,16.64
2013-11-03,9.88
2013-11-04,5.2
2013-11-05,5.46
2013-11-06,14.82
2013-11-07,22.1
2013-11-08,12.48
2013-11-09,21.06
2013-11-10,11.7
2013-11-11,14.56
2013-11-12,21.06
2013-11-13,14.04
2013-11-14,0.0
2013-11-15,12.22
2013-11-16,7.800000000000001
2013-11-17,0.0
2013-11-18,26.0
2013-11-19,8.58
2013-11-20,0.0
2013-11-21,12.48
2013-11-22,0.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,0.0
2013-11-26,0.0
2013-11-27,0.0
2013-11-28,0.0
2013-11-29,0.0
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,9.66
2013-12-03,9.24
2013-12-04,7.979999999999999
2013-12-05,7.77
2013-12-06,21.0
2013-12-07,15.96
2013-12-08,19.32
2013-12-09,5.67
2013-12-10,0.0
2013-12-11,13.23
2013-12-12,7.35
2013-12-13,0.0
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,0.0
2013-12-19,7.77
2013-12-20,0.0
2013-12-21,0.0
2013-12-22,0.0
2013-12-23,11.13
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,0.0
2013-12-30,0.0
2013-12-31,9.87
2014-01-01,10.66
2014-01-02,0.0
2014-01-03,11.44
2014-01-04,0.0
2014-01-05,13.78
2014-01-06,0.0
2014-01-07,8.84
2014-01-08,0.0
2014-01-09,5.98
2014-01-10,0.0
2014-01-11,26.0
2014-01-12,0.0
2014-01-13,0.0
2014-01-14,4.94
2014-01-15,5.46
2014-01-16,10.4
2014-01-17,26.0
2014-01-18,0.0
2014-01-19,6.5
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,0.0
2014-01-23,5.46
2014-01-24,6.24
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,0.0
2014-01-28,5.46
2014-01-29,0.0
2014-01-30,15.08
2014-01-31,17.16
2014-02-01,13.57
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,13.8
2014-02-05,6.21
2014-02-06,14.72
2014-02-07,0.0
2014-02-08,11.73
2014-02-09,7.36
2014-02-10,13.8
2014-02-11,0.0
2014-02-12,12.42
2014-02-13,10.12
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,6.9
2014-02-18,0.0
2014-02-19,9.66
2014-02-20,13.11
2014-02-21,23.0
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,6.9
2014-02-25,0.0
2014-02-26,7.13
2014-02-27,13.8
2014-02-28,8.74
2014-03-01,9.75
2014-03-02,0.0
2014-03-03,20.0
2014-03-04,0.0
2014-03-05,25.0
2014-03-06,7.0
2014-03-07,0.0
2014-03-08,0.0
2014-03-09,9.25
2014-03-10,0.0
2014-03-11,9.25
2014-03-12,15.25
2014-03-13,0.0
2014-03-14,20.5
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,23.75
2014-03-18,6.5
2014-03-19,7.25
2014-03-20,0.0
2014-03-21,0.0
2014-03-22,8.75
2014-03-23,20.0
2014-03-24,15.5
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,9.25
2014-03-28,12.0
2014-03-29,0.0
2014-03-30,20.0
2014-03-31,21.0
2014-04-01,7.590000000000001
2014-04-02,11.55
2014-04-03,0.0
2014-04-04,19.8
2014-04-05,7.92
2014-04-06,9.57
2014-04-07,13.53
2014-04-08,0.0
2014-04-09,5.94
2014-04-10,14.52
2014-04-11,0.0
2014-04-12,0.0
2014-04-13,33.0
2014-04-14,7.590000000000001
2014-04-15,24.09
2014-04-16,18.15
2014-04-17,11.55
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,8.58
2014-04-21,9.57
2014-04-22,19.14
2014-04-23,16.830000000000002
2014-04-24,25.41
2014-04-25,5.94
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,11.55
2014-04-29,0.0
2014-04-30,0.0
2014-05-01,10.85
2014-05-02,18.29
2014-05-03,12.71
2014-05-04,0.0
2014-05-05,22.32
2014-05-06,29.45
2014-05-07,13.02
2014-05-08,7.75
2014-05-09,0.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,10.54
2014-05-13,14.57
2014-05-14,0.0
2014-05-15,13.33
2014-05-16,13.95
2014-05-17,0.0
2014-05-18,10.85
2014-05-19,24.49
2014-05-20,0.0
2014-05-21,27.59
2014-05-22,14.26
2014-05-23,0.0
2014-05-24,20.46
2014-05-25,31.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,9.3
2014-05-29,20.15
2014-05-30,17.05
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,6.460000000000001
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,0.0
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,6.970000000000001
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,11.39
2014-06-13,17.0
2014-06-14,10.71
2014-06-15,0.0
2014-06-16,0.0
2014-06-17,10.54
2014-06-18,0.0
2014-06-19,7.48
2014-06-20,0.0
2014-06-21,13.43
2014-06-22,0.0
2014-06-23,10.71
2014-06-24,0.0
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,11.05
2014-06-28,0.0
2014-06-29,15.13
2014-06-30,8.67
2014-07-01,0.0
2014-07-02,3.42
2014-07-03,5.58
2014-07-04,0.0
2014-07-05,5.76
2014-07-06,15.66
2014-07-07,0.0
2014-07-08,4.68
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,0.0
2014-07-13,9.18
2014-07-14,0.0
2014-07-15,0.0
2014-07-16,5.58
2014-07-17,18.0
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,4.68
2014-07-24,0.0
2014-07-25,3.06
2014-07-26,0.0
2014-07-27,12.42
2014-07-28,8.28
2014-07-29,0.0
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,5.4
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,19.200000000000003
2014-08-05,0.0
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,6.0
2014-08-13,7.0
2014-08-14,0.0
2014-08-15,11.2
2014-08-16,0.0
2014-08-17,8.0
2014-08-18,0.0
2014-08-19,0.0
2014-08-20,20.0
2014-08-21,6.6000000000000005
2014-08-22,0.0
2014-08-23,0.0
2014-08-24,12.2
2014-08-25,0.0
2014-08-26,10.0
2014-08-27,4.2
2014-08-28,10.2
2014-08-29,4.2
2014-08-30,0.0
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,4.8
2014-09-03,6.0
2014-09-04,5.4
2014-09-05,8.7
2014-09-06,0.0
2014-09-07,0.0
2014-09-08,8.1
2014-09-09,0.0
2014-09-10,4.2
2014-09-11,16.2
2014-09-12,6.9
2014-09-13,0.0
2014-09-14,6.0
2014-09-15,4.8
2014-09-16,5.1
2014-09-17,4.8
2014-09-18,0.0
2014-09-19,4.2
2014-09-20,5.1
2014-09-21,0.0
2014-09-22,10.2
2014-09-23,4.5
2014-09-24,6.9
2014-09-25,12.3
2014-09-26,0.0
2014-09-27,30.0
2014-09-28,0.0
2014-09-29,4.2
2014-09-30,9.3
2014-10-01,0.0
2014-10-02,4.62
2014-10-03,4.95
2014-10-04,0.0
2014-10-05,0.0
2014-10-06,0.0
2014-10-07,9.57
2014-10-08,0.0
2014-10-09,0.0
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,0.0
2014-10-14,5.94
2014-10-15,12.54
2014-10-16,11.55
2014-10-17,0.0
2014-10-18,22.77
2014-10-19,5.61
2014-10-20,8.91
2014-10-21,19.47
2014-10-22,5.94
2014-10-23,33.0
2014-10-24,0.0
2014-10-25,0.0
2014-10-26,0.0
2014-10-27,9.24
2014-10-28,0.0
2014-10-29,6.6000000000000005
2014-10-30,8.91
2014-10-31,0.0
2014-11-01,0.0
2014-11-02,0.0
2014-11-03,13.160000000000002
2014-11-04,17.64
2014-11-05,20.160000000000004
2014-11-06,0.0
2014-11-07,0.0
2014-11-08,10.920000000000002
2014-11-09,0.0
2014-11-10,25.200000000000003
2014-11-11,14.000000000000002
2014-11-12,0.0
2014-11-13,24.08
2014-11-14,15.400000000000002
2014-11-15,0.0
2014-11-16,21.840000000000003
2014-11-17,0.0
2014-11-18,0.0
2014-11-19,14.840000000000002
2014-11-20,23.8
2014-11-21,16.240000000000002
2014-11-22,7.840000000000001
2014-11-23,0.0
2014-11-24,7.280000000000001
2014-11-25,10.080000000000002
2014-11-26,0.0
2014-11-27,22.12
2014-11-28,28.000000000000004
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,7.539999999999999
2014-12-02,6.38
2014-12-03,0.0
2014-12-04,6.67
2014-12-05,3.77
2014-12-06,0.0
2014-12-07,0.0
2014-12-08,0.0
2014-12-09,15.95
2014-12-10,0.0
2014-12-11,0.0
2014-12-12,0.0
2014-12-13,6.67
2014-12-14,0.0
2014-12-15,4.64
2014-12-16,29.0
2014-12-17,20.59
2014-12-18,19.43
2014-12-19,4.06
2014-12-20,0.0
2014-12-21,0.0
2014-12-22,4.64
2014-12-23,11.31
2014-12-24,11.02
2014-12-25,0.0
2014-12-26,8.99
2014-12-27,0.0
2014-12-28,0.0
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,8.41
2015-01-01,0.0
2015-01-02,8.4
2015-01-03,0.0
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,7.2
2015-01-07,0.0
2015-01-08,14.8
2015-01-09,0.0
2015-01-10,7.6
2015-01-11,0.0
2015-01-12,19.6
2015-01-13,11.6
2015-01-14,0.0
2015-01-15,19.6
2015-01-16,14.8
2015-01-17,16.8
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,12.0
2015-01-21,0.0
2015-01-22,15.6
2015-01-23,14.8
2015-01-24,20.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,16.400000000000002
2015-01-29,40.0
2015-01-30,32.0
2015-01-31,13.2
2015-02-01,12.18
2015-02-02,14.7
2015-02-03,24.36
