date,DIS
2013-10-12,0.0
2013-10-13,1.04
2013-10-14,1.72
2013-10-15,0.0
2013-10-16,1.4
2013-10-17,1.6
2013-10-18,1.36
2013-10-19,0.0
2013-10-20,1.08
2013-10-21,1.44
2013-10-22,2.6
2013-10-23,4.0
2013-10-24,1.84
2013-10-25,3.48
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,2.4
2013-10-29,3.04
2013-10-30,2.48
2013-10-31,0.72
2013-11-01,3.36
2013-11-02,1.04
2013-11-03,3.2
2013-11-04,4.0
2013-11-05,2.92
2013-11-06,1.92
2013-11-07,1.88
2013-11-08,3.52
2013-11-09,1.28
2013-11-10,3.36
2013-11-11,2.68
2013-11-12,0.0
2013-11-13,2.48
2013-11-14,2.28
2013-11-15,2.6
2013-11-16,1.44
2013-11-17,1.0
2013-11-18,1.28
2013-11-19,1.44
2013-11-20,3.56
2013-11-21,1.0
2013-11-22,1.28
2013-11-23,0.0
2013-11-24,2.36
2013-11-25,1.56
2013-11-26,2.24
2013-11-27,0.0
2013-11-28,2.6
2013-11-29,1.08
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,2.22
2013-12-03,3.0
2013-12-04,2.64
2013-12-05,2.25
2013-12-06,1.53
2013-12-07,1.26
2013-12-08,1.41
2013-12-09,2.61
2013-12-10,1.86
2013-12-11,2.22
2013-12-12,1.65
2013-12-13,1.62
2013-12-14,0.0
2013-12-15,1.23
2013-12-16,0.0
2013-12-17,0.0
2013-12-18,1.83
2013-12-19,2.16
2013-12-20,1.86
2013-12-21,0.0
2013-12-22,2.28
2013-12-23,2.1
2013-12-24,2.1
2013-12-25,0.0
2013-12-26,0.0
2013-12-27,2.25
2013-12-28,1.2
2013-12-29,0.0
2013-12-30,2.1
2013-12-31,0.0
2014-01-01,0.0
2014-01-02,2.32
2014-01-03,1.72
2014-01-04,1.08
2014-01-05,0.0
2014-01-06,3.4
2014-01-07,1.44
2014-01-08,2.72
2014-01-09,4.0
2014-01-10,1.88
2014-01-11,1.88
2014-01-12,0.0
2014-01-13,2.88
2014-01-14,2.16
2014-01-15,2.72
2014-01-16,0.88
2014-01-17,2.92
2014-01-18,2.6
2014-01-19,2.76
2014-01-20,0.0
2014-01-21,3.56
2014-01-22,2.72
2014-01-23,3.44
2014-01-24,2.8000000000000003
2014-01-25,0.0
2014-01-26,1.08
2014-01-27,2.36
2014-01-28,3.12
2014-01-29,3.04
2014-01-30,1.52
2014-01-31,1.68
2014-02-01,3.35
2014-02-02,0.8
2014-02-03,1.5
2014-02-04,1.0
2014-02-05,2.7
2014-02-06,2.95
2014-02-07,2.8000000000000003
2014-02-08,2.4000000000000004
2014-02-09,2.2
