date,CSCO
2013-09-07,9.88
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,8.93
2013-09-11,15.58
2013-09-12,13.11
2013-09-13,17.29
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,6.08
2013-09-17,9.88
2013-09-18,15.2
2013-09-19,11.21
2013-09-20,0.0
2013-09-21,0.0
2013-09-22,0.0
2013-09-23,13.49
2013-09-24,6.2700000000000005
2013-09-25,9.12
2013-09-26,0.0
2013-09-27,0.0
2013-09-28,19.0
2013-09-29,7.22
2013-09-30,0.0
2013-10-01,8.74
2013-10-02,6.08
2013-10-03,6.84
2013-10-04,6.84
2013-10-05,7.98
2013-10-06,0.0
2013-10-07,3.99
2013-10-08,9.88
2013-10-09,5.7
2013-10-10,0.0
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,4.75
2013-10-16,10.45
2013-10-17,3.8
2013-10-18,10.64
2013-10-19,7.79
2013-10-20,19.0
2013-10-21,4.5600000000000005
2013-10-22,3.61
2013-10-23,4.37
2013-10-24,3.8
2013-10-25,0.0
2013-10-26,8.36
2013-10-27,0.0
2013-10-28,0.0
2013-10-29,5.89
2013-10-30,0.0
2013-10-31,4.37
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,4.8
2013-11-05,0.0
2013-11-06,15.36
2013-11-07,8.4
2013-11-08,0.0
2013-11-09,0.0
2013-11-10,21.36
2013-11-11,0.0
2013-11-12,0.0
2013-11-13,10.08
2013-11-14,22.32
2013-11-15,24.0
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,0.0
2013-11-19,8.64
2013-11-20,0.0
2013-11-21,10.56
2013-11-22,15.36
2013-11-23,10.56
2013-11-24,0.0
2013-11-25,9.36
2013-11-26,6.96
2013-11-27,18.24
2013-11-28,13.68
2013-11-29,5.279999999999999
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,7.35
2013-12-03,14.28
2013-12-04,7.77
2013-12-05,9.24
2013-12-06,6.3
2013-12-07,0.0
2013-12-08,19.74
2013-12-09,6.72
2013-12-10,12.18
2013-12-11,0.0
2013-12-12,0.0
2013-12-13,0.0
2013-12-14,10.08
2013-12-15,0.0
2013-12-16,11.76
2013-12-17,0.0
2013-12-18,7.56
2013-12-19,10.5
2013-12-20,16.59
2013-12-21,13.44
2013-12-22,16.38
2013-12-23,10.5
2013-12-24,9.45
2013-12-25,0.0
2013-12-26,14.07
2013-12-27,0.0
2013-12-28,21.0
2013-12-29,0.0
2013-12-30,11.97
2013-12-31,10.29
2014-01-01,0.0
2014-01-02,12.25
2014-01-03,0.0
2014-01-04,8.75
2014-01-05,10.25
2014-01-06,8.5
2014-01-07,25.0
2014-01-08,0.0
2014-01-09,5.25
2014-01-10,8.75
2014-01-11,6.25
2014-01-12,0.0
2014-01-13,24.5
2014-01-14,6.0
2014-01-15,18.5
2014-01-16,0.0
2014-01-17,0.0
2014-01-18,0.0
2014-01-19,10.0
2014-01-20,5.25
2014-01-21,13.25
2014-01-22,0.0
2014-01-23,5.5
2014-01-24,10.5
2014-01-25,0.0
2014-01-26,9.0
2014-01-27,7.5
2014-01-28,6.0
2014-01-29,0.0
2014-01-30,9.5
2014-01-31,5.25
2014-02-01,19.5
2014-02-02,0.0
2014-02-03,9.25
2014-02-04,9.5
2014-02-05,8.0
2014-02-06,0.0
2014-02-07,0.0
2014-02-08,25.0
2014-02-09,7.5
2014-02-10,4.75
2014-02-11,0.0
2014-02-12,6.25
2014-02-13,7.5
2014-02-14,16.5
2014-02-15,10.25
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,0.0
2014-02-19,4.5
2014-02-20,13.25
2014-02-21,0.0
2014-02-22,8.75
2014-02-23,7.75
2014-02-24,4.75
2014-02-25,15.5
2014-02-26,7.25
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,8.36
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,0.0
2014-03-05,5.06
2014-03-06,0.0
2014-03-07,7.7
2014-03-08,12.1
2014-03-09,14.74
2014-03-10,0.0
2014-03-11,22.0
2014-03-12,12.54
2014-03-13,12.98
2014-03-14,10.34
2014-03-15,10.56
2014-03-16,0.0
2014-03-17,8.36
2014-03-18,0.0
2014-03-19,21.34
2014-03-20,0.0
2014-03-21,11.0
2014-03-22,0.0
2014-03-23,10.56
2014-03-24,9.24
2014-03-25,7.92
2014-03-26,12.76
2014-03-27,18.7
2014-03-28,17.38
2014-03-29,16.28
2014-03-30,0.0
2014-03-31,15.4
2014-04-01,11.25
2014-04-02,8.75
2014-04-03,10.5
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,16.25
2014-04-08,12.5
2014-04-09,10.75
2014-04-10,9.75
2014-04-11,5.5
2014-04-12,6.75
2014-04-13,0.0
2014-04-14,8.5
2014-04-15,10.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,17.75
2014-04-21,5.0
2014-04-22,6.5
2014-04-23,9.5
2014-04-24,0.0
2014-04-25,0.0
2014-04-26,13.5
2014-04-27,0.0
2014-04-28,25.0
2014-04-29,0.0
2014-04-30,7.0
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,0.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,3.61
2014-05-07,6.2700000000000005
2014-05-08,5.51
2014-05-09,5.13
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,5.7
2014-05-13,5.7
2014-05-14,12.54
2014-05-15,11.02
2014-05-16,0.0
2014-05-17,4.5600000000000005
2014-05-18,0.0
2014-05-19,5.32
2014-05-20,19.0
2014-05-21,0.0
2014-05-22,0.0
2014-05-23,0.0
2014-05-24,0.0
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.0
2014-05-30,0.0
2014-05-31,0.0
2014-06-01,0.0
2014-06-02,0.0
2014-06-03,0.0
2014-06-04,0.0
2014-06-05,0.0
2014-06-06,10.2
2014-06-07,0.0
2014-06-08,8.8
2014-06-09,0.0
2014-06-10,19.8
2014-06-11,12.8
2014-06-12,12.4
2014-06-13,10.2
2014-06-14,0.0
2014-06-15,0.0
2014-06-16,11.4
2014-06-17,0.0
2014-06-18,20.0
2014-06-19,0.0
2014-06-20,8.200000000000001
2014-06-21,14.6
2014-06-22,0.0
2014-06-23,10.4
2014-06-24,13.4
2014-06-25,0.0
2014-06-26,8.200000000000001
2014-06-27,9.2
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,12.4
2014-07-01,15.36
2014-07-02,14.16
2014-07-03,0.0
2014-07-04,24.0
2014-07-05,12.72
2014-07-06,0.0
2014-07-07,14.4
2014-07-08,18.0
2014-07-09,7.68
2014-07-10,11.76
2014-07-11,9.36
2014-07-12,0.0
2014-07-13,0.0
2014-07-14,7.199999999999999
2014-07-15,8.64
2014-07-16,18.0
2014-07-17,0.0
2014-07-18,0.0
2014-07-19,0.0
2014-07-20,14.64
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,0.0
2014-07-24,17.52
2014-07-25,13.44
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,0.0
2014-07-29,7.92
2014-07-30,0.0
2014-07-31,0.0
2014-08-01,0.0
2014-08-02,0.0
2014-08-03,0.0
2014-08-04,5.72
2014-08-05,7.92
2014-08-06,12.1
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,11.22
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,22.0
2014-08-15,7.92
2014-08-16,16.72
2014-08-17,5.94
2014-08-18,8.36
2014-08-19,4.62
2014-08-20,0.0
2014-08-21,7.92
2014-08-22,0.0
2014-08-23,10.56
2014-08-24,0.0
2014-08-25,4.4
2014-08-26,11.44
2014-08-27,5.5
2014-08-28,5.72
2014-08-29,19.14
2014-08-30,8.36
2014-08-31,0.0
2014-09-01,3.74
2014-09-02,0.0
2014-09-03,2.72
2014-09-04,0.0
2014-09-05,0.0
2014-09-06,4.25
2014-09-07,0.0
2014-09-08,6.970000000000001
2014-09-09,6.800000000000001
2014-09-10,7.99
2014-09-11,2.5500000000000003
2014-09-12,0.0
2014-09-13,5.2700000000000005
2014-09-14,0.0
2014-09-15,4.590000000000001
2014-09-16,0.0
2014-09-17,0.0
2014-09-18,4.25
2014-09-19,0.0
2014-09-20,0.0
2014-09-21,17.0
2014-09-22,4.25
2014-09-23,6.630000000000001
2014-09-24,4.25
2014-09-25,0.0
2014-09-26,5.2700000000000005
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,0.0
2014-09-30,4.930000000000001
2014-10-01,15.3
2014-10-02,0.0
2014-10-03,0.0
2014-10-04,0.0
2014-10-05,11.16
2014-10-06,13.86
2014-10-07,9.36
2014-10-08,0.0
2014-10-09,15.3
2014-10-10,0.0
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,18.0
2014-10-14,0.0
2014-10-15,10.8
2014-10-16,16.919999999999998
2014-10-17,10.8
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,0.0
2014-10-21,7.199999999999999
2014-10-22,0.0
2014-10-23,0.0
2014-10-24,7.92
2014-10-25,0.0
2014-10-26,11.7
2014-10-27,0.0
2014-10-28,12.42
2014-10-29,10.8
2014-10-30,0.0
2014-10-31,6.66
2014-11-01,15.4
2014-11-02,0.0
2014-11-03,0.0
2014-11-04,6.0
2014-11-05,5.800000000000001
2014-11-06,11.2
2014-11-07,6.800000000000001
2014-11-08,0.0
2014-11-09,20.0
2014-11-10,16.6
2014-11-11,16.0
