date,BA
2013-10-13,1.28
2013-10-14,0.0
2013-10-15,1.88
2013-10-16,2.0
2013-10-17,0.84
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,2.04
2013-10-23,2.28
2013-10-24,4.0
2013-10-25,3.04
2013-10-26,1.4
2013-10-27,1.72
2013-10-28,2.52
2013-10-29,0.0
2013-10-30,2.08
2013-10-31,1.56
2013-11-01,0.0
2013-11-02,3.12
2013-11-03,0.0
2013-11-04,2.08
2013-11-05,3.36
2013-11-06,0.0
2013-11-07,2.0
2013-11-08,0.0
2013-11-09,2.2
2013-11-10,2.48
2013-11-11,1.32
2013-11-12,3.76
2013-11-13,1.44
2013-11-14,1.24
2013-11-15,0.0
2013-11-16,0.0
2013-11-17,1.48
2013-11-18,3.08
2013-11-19,3.44
2013-11-20,1.76
2013-11-21,2.4
2013-11-22,4.0
2013-11-23,0.0
2013-11-24,3.3200000000000003
2013-11-25,2.6
2013-11-26,2.24
2013-11-27,3.92
2013-11-28,0.0
2013-11-29,2.4
2013-11-30,0.0
2013-12-01,0.69
2013-12-02,0.0
2013-12-03,1.44
2013-12-04,2.25
2013-12-05,1.08
2013-12-06,1.44
2013-12-07,1.5
2013-12-08,0.0
2013-12-09,2.43
2013-12-10,0.93
2013-12-11,1.68
2013-12-12,1.71
2013-12-13,1.29
2013-12-14,0.8099999999999999
2013-12-15,0.0
2013-12-16,1.53
2013-12-17,1.29
2013-12-18,1.3199999999999998
2013-12-19,2.25
2013-12-20,0.0
2013-12-21,0.6599999999999999
2013-12-22,1.62
2013-12-23,1.38
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,3.0
2013-12-27,1.62
2013-12-28,1.41
2013-12-29,1.92
2013-12-30,0.75
2013-12-31,1.38
2014-01-01,1.84
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,2.88
2014-01-05,0.0
2014-01-06,0.0
2014-01-07,2.2
2014-01-08,3.12
2014-01-09,2.2
2014-01-10,0.0
2014-01-11,0.96
2014-01-12,0.88
2014-01-13,0.76
2014-01-14,1.92
2014-01-15,2.6
2014-01-16,1.8
2014-01-17,0.88
2014-01-18,0.0
2014-01-19,1.92
2014-01-20,1.32
2014-01-21,3.08
2014-01-22,2.72
2014-01-23,0.0
2014-01-24,1.16
2014-01-25,0.96
2014-01-26,0.0
2014-01-27,0.0
2014-01-28,1.76
2014-01-29,3.16
2014-01-30,4.0
2014-01-31,3.04
2014-02-01,4.0
2014-02-02,1.08
2014-02-03,0.64
2014-02-04,0.0
