Date,Name,Market Cap,Price,Circulating Supply,Symbol
01-01-2022,Bitcoin,"$902,104,193,384.61","$47,686.81","18,917,268",BTC
01-01-2022,Ethereum,"$448,537,615,143.00","$3,769.70","118,985,060",ETH
01-01-2022,Binance Coin,"$87,963,039,449.38",$527.35,"166,801,148",BNB
01-01-2022,Tether,"$78,377,058,040.56",$1.0005,"78,337,882,507",USDT
01-01-2022,Solana,"$55,188,725,653.37",$178.52,"309,149,464",SOL
01-01-2022,Cardano,"$46,108,724,312.75",$1.3770,"33,485,518,330",ADA
01-01-2022,USD Coin,"$42,454,938,451.83",$1.0001,"42,451,317,815",USDC
01-01-2022,XRP,"$40,380,448,983.19",$0.8495,"47,535,964,473",XRP
01-01-2022,Terra,"$33,053,437,381.20",$91.36,"361,790,989",LUNA
01-01-2022,Polkadot,"$28,228,553,768.10",$28.58,"987,579,315",DOT
01-01-2022,Avalanche,"$27,805,319,077.80",$114.16,"243,568,709",AVAX
01-01-2022,Dogecoin,"$22,956,735,266.07",$0.173,"132,670,764,300",DOGE
01-01-2022,Shiba Inu,"$18,742,539,593.12",$0.00003414,"549,063,278,876,302",SHIB
01-01-2022,Polygon,"$18,442,951,471.61",$2.5748,"7,162,892,403",MATIC
01-01-2022,Crypto.com Coin,"$14,786,518,908.27",$0.5853,"25,263,013,692",CRO
01-01-2022,Binance USD,"$14,640,755,946.17",$1.0005,"14,633,196,848",BUSD
01-01-2022,Wrapped Bitcoin,"$12,282,060,800.90","$47,578.90","258,141",WBTC
01-01-2022,Algorand,"$11,090,344,584.00",$1.7401,"6,373,366,130",ALGO
01-01-2022,Uniswap,"$10,942,369,429.06",$17.44,"627,267,711",UNI
01-01-2022,Litecoin,"$10,446,644,958.21",$150.70,"69,321,982",LTC
02-01-2022,Bitcoin,"$895,688,387,523.14","$47,345.22","18,918,243",BTC
02-01-2022,Ethereum,"$455,713,570,380.85","$3,829.57","118,998,781",ETH
02-01-2022,Binance Coin,"$88,637,570,485.46",$531.40,"166,801,148",BNB
02-01-2022,Tether,"$78,373,882,136.14",$1.0005,"78,337,882,507",USDT
02-01-2022,Solana,"$54,552,495,291.77",$176.38,"309,284,593",SOL
02-01-2022,Cardano,"$46,129,061,735.77",$1.3776,"33,485,491,062",ADA
02-01-2022,USD Coin,"$42,562,534,941.23",$0.9998,"42,572,544,666",USDC
02-01-2022,XRP,"$40,838,984,413.81",$0.8591,"47,535,964,473",XRP
02-01-2022,Terra,"$32,335,168,164.92",$89.37,"361,805,570",LUNA
02-01-2022,Polkadot,"$29,361,884,232.15",$29.73,"987,579,315",DOT
02-01-2022,Avalanche,"$27,588,210,907.87",$113.19,"243,741,532",AVAX
02-01-2022,Dogecoin,"$23,138,181,422.90",$0.1744,"132,670,764,300",DOGE
02-01-2022,Shiba Inu,"$18,692,252,748.29",$0.00003404,"549,063,278,876,302",SHIB
02-01-2022,Polygon,"$18,259,576,689.35",$2.5492,"7,162,892,403",MATIC
02-01-2022,Crypto.com Coin,"$14,847,022,636.66",$0.5877,"25,263,013,692",CRO
02-01-2022,Binance USD,"$14,625,354,832.86",$0.9995,"14,633,196,848",BUSD
02-01-2022,Wrapped Bitcoin,"$12,221,555,860.50","$47,344.51","258,141",WBTC
02-01-2022,Uniswap,"$11,522,501,073.32",$18.37,"627,270,117",UNI
