Date,Price,Volume,Market_cap
26-02-2024,39.18903628,265213982.151431,14781314652.319632
25-02-2024,37.43868769,139122585.592064,14121050526.652506
24-02-2024,36.77073074,140396423.130898,13868951747.16324
23-02-2024,35.95848174,206021621.077045,13563045018.033424
22-02-2024,36.8148835,204787007.200003,13884999887.091396
21-02-2024,37.57289652,230207662.403825,13819537770.497572
20-02-2024,38.5418559,328637616.610915,14165528448.46223
19-02-2024,39.55753281,278012814.244172,14538580878.754017
18-02-2024,40.29652317,181142884.886698,14809894943.00531
17-02-2024,39.7383729,195569724.938363,14604485812.375858
16-02-2024,40.37152047,261353118.179947,14836884265.664177
15-02-2024,41.6234819,417432567.615963,15296595232.854506
14-02-2024,42.30990541,424417203.054506,15548569318.29186
13-02-2024,39.75530778,356024364.200067,14609439919.486849
12-02-2024,41.04775271,446048530.549072,15084316629.546808
11-02-2024,39.72105078,229455923.064235,14596407617.252762
10-02-2024,40.28090096,366153512.241783,14802117040.093382
09-02-2024,38.1189919,395943266.894099,14007507790.212944
08-02-2024,35.44024946,224753481.892793,13022829381.006674
07-02-2024,35.27790611,196666075.349548,12963004561.90597
06-02-2024,34.15428281,161753191.797685,12549621202.23256
05-02-2024,34.52379796,191746666.628753,12678782925.141748
04-02-2024,34.83370047,158905706.171743,12789550039.582798
03-02-2024,35.93268195,201857160.703277,13192752480.362797
02-02-2024,36.68019211,387313981.516364,13466922565.57633
01-02-2024,33.83193204,240576693.153619,12419830748.919024
31-01-2024,33.16630674,277350748.085006,12174889361.550108
30-01-2024,35.21681862,322855318.599402,12926907154.625956
29-01-2024,36.07009204,360019251.869828,13240019870.7268
28-01-2024,34.83599188,527435811.293335,12786251084.568935
27-01-2024,33.19459811,154779040.505845,12183727034.092163
26-01-2024,32.28852056,289303765.917786,11849915152.009624
25-01-2024,30.47929615,211595080.206194,11185844133.50682
24-01-2024,31.21025032,339568536.353052,11449247828.383545
23-01-2024,30.49376079,491278105.424692,11185274165.964884
22-01-2024,29.45166537,334921593.602959,10802945717.765177
21-01-2024,32.50450746,147802151.385723,11922561663.66968
20-01-2024,32.8431434,155866072.621252,12046718963.26576
19-01-2024,32.64061153,278494394.059371,11972364355.43772
18-01-2024,33.5258597,287169174.845496,12294241370.121202
17-01-2024,35.99366634,270871270.342362,13197582004.43418
16-01-2024,35.59597843,218392930.525673,12652630723.629082
15-01-2024,35.67621643,197323018.723391,12681151410.366983
14-01-2024,35.4484735,254805326.432763,12600199930.581997
13-01-2024,36.45728991,225273566.128094,12958784860.734264
12-01-2024,35.87929175,385512219.082148,12753334765.273108
11-01-2024,39.34677694,642990641.788933,13985856291.44443
10-01-2024,38.51630289,577331907.994091,13690663349.929798
09-01-2024,34.63948951,521243009.437931,12312645659.278122
08-01-2024,36.07956403,609930262.895214,12824521773.23337
07-01-2024,33.6305288,283703114.896474,11954009434.776632
06-01-2024,34.63398839,317806084.569454,12310690277.354734
05-01-2024,36.4150996,411973528.224738,12943788268.885714
04-01-2024,38.77331114,451688840.525715,13782017223.214886
03-01-2024,36.79158844,742761390.194443,13077611651.089268
02-01-2024,40.63704628,433824428.84407,14444483984.93987
01-01-2024,41.89780023,304191473.824048,14892620399.674952
31-12-2023,38.61670073,256737296.500283,13726349875.845837
30-12-2023,39.38650264,263167049.301243,13999976836.32398
29-12-2023,40.18227266,555886632.474348,14282834188.340422
28-12-2023,39.82964705,578454164.86714,14157493014.714972
27-12-2023,42.39758558,528202123.887341,15070269665.546156
26-12-2023,44.42029709,630871436.408282,15789244754.44439
25-12-2023,48.29884183,574461890.326381,17167877864.07808
24-12-2023,47.98272814,885449136.59448,17055514893.50062
23-12-2023,48.15506382,655852828.168317,17116771804.98594
22-12-2023,45.46803606,872926588.23522,16161664754.75066
21-12-2023,46.05043481,973545057.207095,16368679048.484083
20-12-2023,43.43352678,857508022.357293,15438496133.644476
19-12-2023,39.79154197,604628028.309538,14143948520.30917
18-12-2023,41.08250235,801073450.409176,14602821847.39371
17-12-2023,40.6789566,535025483.96946,14459381054.2018
16-12-2023,42.05767796,1035379753.181251,14949449119.196892
15-12-2023,39.94667458,968059508.073292,14199090584.751743
14-12-2023,39.2235865,775580949.148431,13942068109.86908
13-12-2023,39.08529422,1349352457.966702,13892911960.25344
12-12-2023,37.41083768,1191940772.629979,13297724494.981472
11-12-2023,38.34011472,1882442331.291222,13628037067.688824
10-12-2023,37.09894093,961054281.342824,13186860440.541138
09-12-2023,31.83848816,970916188.546227,11317026565.42643
08-12-2023,30.68441602,752703181.719285,10906810320.259775
07-12-2023,26.31361077,588346542.346701,9353202658.35803
06-12-2023,26.212715,857108305.812091,9317339143.734589
05-12-2023,24.42824032,455272634.570706,8683045602.553602
04-12-2023,22.53133677,342015394.038794,8008789094.977506
03-12-2023,21.97718149,161167477.012536,7811813975.621123
02-12-2023,22.22456869,148408237.558507,7899748035.778141
01-12-2023,21.84790241,306231099.301991,7765861578.517848
30-11-2023,21.39381135,187679881.2137,7604454400.340178
29-11-2023,21.05396432,274036086.381076,7483655390.84744
28-11-2023,20.67120726,214548567.183897,7347603961.77023
27-11-2023,20.35348266,168857672.976171,7234668391.367455
26-11-2023,21.11074048,189935348.093178,7503836540.303289
25-11-2023,21.26464326,152553219.302869,7558541457.112358
24-11-2023,20.88383577,256111868.53981,7423183005.663489
23-11-2023,20.67306277,185063258.550015,7348263502.798447
22-11-2023,20.82775894,360540426.233486,7403250431.717325
21-11-2023,19.08892034,602904582.460459,6785178288.757477
20-11-2023,20.83266647,362788689.913322,7404994817.198018
19-11-2023,22.92591108,352244377.660204,8149040977.452646
18-11-2023,22.0201999,426672902.47437,7827104916.338815
17-11-2023,21.97071894,1233598475.931014,7809516855.671062
16-11-2023,21.63920963,1404819456.376581,7691681496.023731
15-11-2023,20.71502513,981651154.799943,7363179072.544183
14-11-2023,17.07305053,560592279.776796,6068586529.798855
13-11-2023,16.16767687,451674506.73426,5746507455.196071
12-11-2023,18.902008,775216951.58727,6718298476.068009
11-11-2023,16.83558375,631164537.21059,5983794353.998491
10-11-2023,14.72734567,396947340.288772,5234331131.89522
09-11-2023,12.96783459,293107309.032943,4608328543.972884
08-11-2023,12.99668087,126895263.959361,4618527009.853403
07-11-2023,12.82022305,142043990.97272,4555766940.481066
06-11-2023,13.07822351,139138139.127449,4647417494.643888
05-11-2023,12.35333123,107987342.370738,4389667462.439273
04-11-2023,12.21978155,65788756.261177,4341931056.8160925
03-11-2023,12.10909004,108636394.072612,4300590786.9585085
02-11-2023,11.89111667,188647346.510895,4223121725.482938
01-11-2023,12.22625367,218470715.460059,4341995305.572208
31-10-2023,11.33153136,158790533.487784,4023959403.140623
30-10-2023,11.4605783,108452079.843018,4069613569.610194
29-10-2023,11.3707324,91656353.204025,4037245687.7045183
28-10-2023,10.98400665,105066244.420574,3899912462.257525
27-10-2023,10.59323321,126695869.44225,3761107328.198076
26-10-2023,11.05086643,253867433.328699,3923435975.964332
25-10-2023,10.51834742,138417729.397935,3734195290.590658
24-10-2023,10.32433337,195951985.355916,3665267490.8518543
23-10-2023,10.59184582,200384746.118885,3760133417.201212
22-10-2023,10.06819767,192858579.259171,3574088125.1090307
21-10-2023,9.6348293,156529327.409383,3419973251.0092983
20-10-2023,9.22487191,132801095.294968,3274440597.300124
19-10-2023,9.06626417,103249079.655803,3217025138.8138504
18-10-2023,8.9112399,104953448.288303,3161877502.0452905
17-10-2023,9.10793739,125659170.797019,3231578037.541116
16-10-2023,9.40720704,117295920.538567,3337417939.2785625
15-10-2023,9.17353945,62590635.009507,3254256859.232597
14-10-2023,9.14715896,37357745.327509,3244381639.125103
13-10-2023,9.15367731,95754455.659336,3246462395.9700465
12-10-2023,9.11340338,114279120.068152,3232156175.391238
11-10-2023,9.30565633,108216742.043988,3300239115.053094
10-10-2023,9.52378487,116053689.814591,3376437956.887561
09-10-2023,9.53655681,141353865.779723,3380072947.3905153
08-10-2023,10.08433773,99317787.850747,3574045380.814608
07-10-2023,10.35544847,226050361.511531,3670075434.98502
06-10-2023,10.65983447,148825254.922366,3777881309.762501
05-10-2023,10.12647637,184190449.900836,3588780814.6448107
04-10-2023,10.09800792,213519810.549449,3577129826.613048
03-10-2023,9.41188363,58961960.352991,3334016284.597444
02-10-2023,9.32687252,103392111.314951,3303774762.1442266
01-10-2023,9.74157125,100999775.840509,3450397439.42707
30-09-2023,9.24527285,63881051.412692,3274478733.0663123
29-09-2023,9.1813845,95918009.264982,3251659626.0513067
28-09-2023,9.26243806,94925226.409886,3280337887.7213383
27-09-2023,8.9162021,80133218.080654,3157628954.8645844
26-09-2023,9.05315075,68720040.058046,3206054302.882863
25-09-2023,8.9453324,69353593.961534,3167486628.463343
24-09-2023,8.79120207,56635394.220018,3112679538.5507393
23-09-2023,8.90790908,52710235.933296,3153877847.499084
22-09-2023,8.86907207,72505064.078703,3140074264.011442
21-09-2023,8.82981312,94497304.145123,3125927190.2238784
20-09-2023,9.04541766,105000147.14142,3202233531.8720875
19-09-2023,9.20858497,84883792.203257,3259844865.634146
18-09-2023,9.10810516,102011929.940533,3224128159.1954
17-09-2023,9.10848106,57759881.417209,3223916016.5119004
16-09-2023,9.38432773,56629269.023758,3321497320.988029
