Date,Name,Market Cap,Price,Circulating Supply,Symbol
01-01-2017,Bitcoin,"$16,050,414,525.76",$998.33,"16,077,337",BTC
01-01-2017,Ethereum,"$715,049,311.31",$8.1726,"87,493,800",ETH
01-01-2017,XRP,"$231,408,729.09",$0.006368,"36,337,298,649",XRP
01-01-2017,Litecoin,"$221,718,485.96",$4.5116,"49,144,154",LTC
01-01-2017,Monero,"$190,983,552.40",$13.97,"13,668,252",XMR
01-01-2017,Ethereum Classic,"$122,202,803.82",$1.3975,"87,444,118",ETC
01-01-2017,Dash,"$78,524,019.74",$11.23,"6,992,839",DASH
01-01-2017,Augur,"$43,994,859.70",$3.9995,"11,000,000",REP
01-01-2017,MaidSafeCoin,"$43,862,002.88",$0.09692,"452,552,412",MAID
01-01-2017,Steem,"$36,999,609.61",$0.1612,"229,582,096",STEEM
01-01-2017,NEM,"$30,962,257.88",$0.00344,"8,999,999,999",XEM
01-01-2017,Iconomi,"$26,381,301.91",$0.3032,"87,000,000",ICN
01-01-2017,Factom,"$25,392,986.26",$2.9010,"8,753,219",FCT
01-01-2017,Dogecoin,"$24,501,946.09",$0.0002278,"107,543,546,602",DOGE
01-01-2017,Waves,"$22,132,165.73",$0.2213,"100,000,000",WAVES
01-01-2017,DigixDAO,"$18,079,172.13",$9.0396,"2,000,000",DGD
01-01-2017,Stellar,"$17,173,253.18",$0.002481,"6,921,534,188",XLM
01-01-2017,Zcash,"$16,958,473.74",$48.47,"349,869",ZEC
01-01-2017,Lisk,"$15,220,159.16",$0.1502,"101,301,175",LSK
01-01-2017,GameCredits,"$13,091,197.05",$0.2193,"59,695,275",GAME
02-01-2017,Bitcoin,"$16,429,072,863.73","$1,021.75","16,079,300",BTC
02-01-2017,Ethereum,"$733,331,862.45",$8.3785,"87,525,306",ETH
02-01-2017,XRP,"$229,312,858.96",$0.006311,"36,337,298,649",XRP
02-01-2017,Litecoin,"$228,536,428.44",$4.6489,"49,158,829",LTC
02-01-2017,Monero,"$219,509,937.68",$16.05,"13,675,283",XMR
02-01-2017,Ethereum Classic,"$125,743,675.57",$1.4375,"87,476,792",ETC
02-01-2017,Dash,"$82,595,831.42",$11.81,"6,994,957",DASH
02-01-2017,Augur,"$46,101,566.31",$4.1911,"11,000,000",REP
