Date,Name,Market Cap,Price,Circulating Supply,Symbol
01-01-2015,Bitcoin,"$4,297,535,254.01",$314.25,"13,675,575",BTC
01-01-2015,XRP,"$755,559,204.14",$0.02439,"30,978,075,200",XRP
01-01-2015,PayCoin,"$95,951,277.32",$7.7846,"12,325,857",XPY
01-01-2015,Litecoin,"$95,086,706.84",$2.6990,"35,229,754",LTC
01-01-2015,BitShares,"$40,794,405.67",$0.01633,"2,497,973,773",BTS
01-01-2015,MaidSafeCoin,"$24,447,792.80",$0.05402,"452,552,412",MAID
01-01-2015,Stellar,"$19,541,311.09",$0.005493,"3,557,202,875",XLM
01-01-2015,Dogecoin,"$17,778,475.75",$0.0001829,"97,225,483,533",DOGE
01-01-2015,Nxt,"$17,703,597.25",$0.0177,"999,997,096",NXT
01-01-2015,Peercoin,"$12,831,534.34",$0.5838,"21,980,804",PPC
01-01-2015,Counterparty,"$10,525,992.65",$3.9772,"2,646,592",XCP
01-01-2015,Dash,"$9,714,873.81",$1.9433,"4,999,096",DASH
01-01-2015,Namecoin,"$7,459,610.68",$0.7036,"10,601,850",NMC
01-01-2015,FuelCoin,"$5,031,661.77",$0.05023,"100,170,280",FC2
01-01-2015,NuShares,"$4,135,005.74",$0.006819,"606,438,639",NSR
01-01-2015,SuperNET,"$3,921,723.97",$4.8057,"816,061",UNITY
01-01-2015,YbCoin,"$3,356,684.09",$1.1189,"3,000,000",YBC
01-01-2015,Banx,"$2,926,530.28",$1.1313,"2,586,882",BANX
01-01-2015,Monero,"$2,561,248.62",$0.4658,"5,499,070",XMR
01-01-2015,BlackCoin,"$2,305,483.00",$0.03084,"74,745,789",BLK
02-01-2015,Bitcoin,"$4,309,557,147.82",$315.03,"13,679,725",BTC
02-01-2015,XRP,"$753,341,633.10",$0.02432,"30,978,075,200",XRP
02-01-2015,Litecoin,"$94,048,877.99",$2.6674,"35,259,104",LTC
02-01-2015,PayCoin,"$70,897,337.39",$5.7519,"12,325,923",XPY
02-01-2015,BitShares,"$40,060,773.97",$0.01604,"2,497,973,773",BTS
02-01-2015,MaidSafeCoin,"$23,235,493.54",$0.05134,"452,552,412",MAID
02-01-2015,Nxt,"$19,674,935.05",$0.01967,"999,997,096",NXT
02-01-2015,Stellar,"$19,501,676.44",$0.005481,"3,557,805,925",XLM
02-01-2015,Dogecoin,"$18,075,721.19",$0.0001859,"97,247,006,463",DOGE
02-01-2015,Peercoin,"$13,178,822.39",$0.5995,"21,982,958",PPC
02-01-2015,Counterparty,"$10,281,119.08",$3.8847,"2,646,591",XCP
02-01-2015,Dash,"$9,707,610.43",$1.9407,"5,002,195",DASH
02-01-2015,Namecoin,"$7,698,392.29",$0.7256,"10,609,350",NMC
02-01-2015,FuelCoin,"$5,364,025.79",$0.05355,"100,171,850",FC2
02-01-2015,NuShares,"$4,590,158.59",$0.007568,"606,496,160",NSR
02-01-2015,SuperNET,"$4,459,674.65",$5.4649,"816,061",UNITY
