date,VZ
2013-10-07,23.099999999999998
2013-10-08,26.04
2013-10-09,23.52
2013-10-10,31.5
2013-10-11,36.96
2013-10-12,19.74
2013-10-13,19.74
2013-10-14,23.52
2013-10-15,20.16
2013-10-16,33.6
2013-10-17,42.0
2013-10-18,36.96
2013-10-19,25.619999999999997
2013-10-20,18.06
2013-10-21,28.56
2013-10-22,26.88
2013-10-23,31.5
2013-10-24,27.3
2013-10-25,24.779999999999998
2013-10-26,21.84
2013-10-27,15.54
2013-10-28,25.619999999999997
2013-10-29,29.82
2013-10-30,31.5
2013-10-31,27.72
2013-11-01,40.0
2013-11-02,30.0
2013-11-03,15.600000000000001
2013-11-04,27.200000000000003
2013-11-05,30.0
2013-11-06,28.400000000000002
2013-11-07,35.2
2013-11-08,23.200000000000003
2013-11-09,29.200000000000003
2013-11-10,16.400000000000002
2013-11-11,28.400000000000002
2013-11-12,32.0
2013-11-13,36.4
2013-11-14,31.6
2013-11-15,35.6
2013-11-16,34.0
2013-11-17,23.6
2013-11-18,36.4
2013-11-19,29.6
2013-11-20,31.200000000000003
2013-11-21,26.400000000000002
2013-11-22,28.8
2013-11-23,24.0
2013-11-24,32.4
2013-11-25,31.200000000000003
2013-11-26,32.0
2013-11-27,26.8
2013-11-28,24.8
2013-11-29,30.8
2013-11-30,26.0
2013-12-01,25.2
2013-12-02,23.52
2013-12-03,26.88
2013-12-04,25.2
2013-12-05,33.6
2013-12-06,32.76
2013-12-07,23.939999999999998
2013-12-08,21.84
2013-12-09,26.88
2013-12-10,32.76
2013-12-11,35.699999999999996
2013-12-12,30.24
2013-12-13,28.56
2013-12-14,24.36
2013-12-15,20.16
2013-12-16,26.88
2013-12-17,33.18
2013-12-18,34.86
2013-12-19,30.24
2013-12-20,33.18
2013-12-21,25.2
2013-12-22,26.459999999999997
2013-12-23,28.98
2013-12-24,26.88
2013-12-25,23.939999999999998
2013-12-26,29.4
2013-12-27,42.0
2013-12-28,21.84
2013-12-29,13.02
2013-12-30,24.779999999999998
2013-12-31,37.8
2014-01-01,23.52
2014-01-02,26.04
2014-01-03,26.04
2014-01-04,21.419999999999998
2014-01-05,21.84
2014-01-06,29.4
2014-01-07,27.3
2014-01-08,26.459999999999997
2014-01-09,26.04
2014-01-10,22.68
2014-01-11,17.22
2014-01-12,26.459999999999997
2014-01-13,23.939999999999998
2014-01-14,42.0
2014-01-15,25.2
2014-01-16,31.08
2014-01-17,28.56
2014-01-18,16.38
2014-01-19,22.259999999999998
2014-01-20,20.58
2014-01-21,31.919999999999998
2014-01-22,34.019999999999996
2014-01-23,34.44
2014-01-24,30.24
2014-01-25,27.72
2014-01-26,24.779999999999998
2014-01-27,20.16
2014-01-28,30.66
2014-01-29,28.14
2014-01-30,30.66
2014-01-31,24.779999999999998
2014-02-01,24.84
2014-02-02,18.400000000000002
