date,PG
2013-08-18,43.99
2013-08-19,48.760000000000005
2013-08-20,53.0
2013-08-21,45.05
2013-08-22,42.400000000000006
2013-08-23,39.75
2013-08-24,34.980000000000004
2013-08-25,42.93
2013-08-26,46.64
2013-08-27,42.400000000000006
2013-08-28,42.400000000000006
2013-08-29,46.11
2013-08-30,43.46
2013-08-31,42.93
2013-09-01,41.040000000000006
2013-09-02,45.36
2013-09-03,45.900000000000006
2013-09-04,42.66
2013-09-05,46.98
2013-09-06,42.66
2013-09-07,38.88
2013-09-08,44.28
2013-09-09,48.06
2013-09-10,45.900000000000006
2013-09-11,51.84
2013-09-12,44.28
2013-09-13,54.0
2013-09-14,40.5
2013-09-15,34.02
2013-09-16,42.66
2013-09-17,48.6
2013-09-18,41.040000000000006
2013-09-19,46.98
2013-09-20,39.96
2013-09-21,38.34
2013-09-22,34.56
2013-09-23,44.82
2013-09-24,45.900000000000006
2013-09-25,46.440000000000005
2013-09-26,44.28
2013-09-27,45.36
2013-09-28,38.34
2013-09-29,41.580000000000005
2013-09-30,49.14
2013-10-01,44.82
2013-10-02,44.28
2013-10-03,50.220000000000006
2013-10-04,50.760000000000005
2013-10-05,44.82
2013-10-06,39.42
2013-10-07,48.6
2013-10-08,46.440000000000005
2013-10-09,49.14
2013-10-10,46.98
2013-10-11,46.98
2013-10-12,38.88
2013-10-13,37.260000000000005
2013-10-14,46.98
2013-10-15,47.52
2013-10-16,43.2
2013-10-17,42.120000000000005
2013-10-18,49.14
2013-10-19,38.88
2013-10-20,39.42
2013-10-21,44.28
2013-10-22,49.14
2013-10-23,47.52
2013-10-24,49.68000000000001
2013-10-25,49.68000000000001
2013-10-26,45.900000000000006
2013-10-27,39.42
2013-10-28,50.220000000000006
2013-10-29,49.14
2013-10-30,54.0
2013-10-31,45.900000000000006
2013-11-01,46.440000000000005
2013-11-02,45.36
2013-11-03,34.02
2013-11-04,43.2
2013-11-05,44.82
2013-11-06,47.52
2013-11-07,46.440000000000005
2013-11-08,49.14
2013-11-09,41.040000000000006
2013-11-10,34.02
2013-11-11,45.36
2013-11-12,49.14
2013-11-13,50.220000000000006
2013-11-14,48.6
2013-11-15,50.220000000000006
2013-11-16,44.82
2013-11-17,36.72
2013-11-18,43.2
2013-11-19,45.900000000000006
2013-11-20,46.440000000000005
2013-11-21,45.36
2013-11-22,54.0
2013-11-23,41.040000000000006
2013-11-24,35.1
2013-11-25,43.74
2013-11-26,45.900000000000006
2013-11-27,41.580000000000005
2013-11-28,35.1
2013-11-29,39.42
2013-11-30,37.8
2013-12-01,24.01
2013-12-02,30.38
2013-12-03,32.34
2013-12-04,31.36
2013-12-05,31.36
2013-12-06,31.36
2013-12-07,27.93
2013-12-08,30.38
2013-12-09,49.0
2013-12-10,38.22
2013-12-11,36.75
2013-12-12,33.32
2013-12-13,31.85
2013-12-14,28.91
2013-12-15,24.01
2013-12-16,32.34
2013-12-17,30.87
2013-12-18,30.87
2013-12-19,32.34
2013-12-20,29.4
2013-12-21,30.38
2013-12-22,25.97
2013-12-23,32.83
2013-12-24,26.46
2013-12-25,24.99
2013-12-26,29.89
2013-12-27,26.46
2013-12-28,30.87
2013-12-29,25.48
2013-12-30,29.4
2013-12-31,28.91
2014-01-01,47.52
2014-01-02,52.8
2014-01-03,61.38
2014-01-04,42.24
2014-01-05,42.9
2014-01-06,54.120000000000005
2014-01-07,60.06
2014-01-08,50.82
2014-01-09,53.46
2014-01-10,57.42
2014-01-11,54.120000000000005
2014-01-12,49.5
2014-01-13,59.400000000000006
2014-01-14,56.1
2014-01-15,57.42
2014-01-16,52.14
2014-01-17,58.74
2014-01-18,53.46
2014-01-19,42.24
2014-01-20,51.48
2014-01-21,63.36
2014-01-22,66.0
2014-01-23,59.400000000000006
2014-01-24,62.040000000000006
2014-01-25,47.52
2014-01-26,46.86
2014-01-27,49.5
2014-01-28,57.42
2014-01-29,66.0
2014-01-30,55.440000000000005
2014-01-31,52.14
2014-02-01,46.97
2014-02-02,39.65
2014-02-03,50.63
2014-02-04,51.24
2014-02-05,61.0
2014-02-06,46.36
2014-02-07,46.36
2014-02-08,42.7
2014-02-09,43.92
2014-02-10,56.12
2014-02-11,46.36
2014-02-12,50.02
2014-02-13,50.63
2014-02-14,54.9
2014-02-15,50.63
2014-02-16,44.53
2014-02-17,49.41
2014-02-18,56.73
2014-02-19,48.19
2014-02-20,48.8
2014-02-21,47.58
2014-02-22,46.97
2014-02-23,42.09
2014-02-24,46.97
2014-02-25,48.8
2014-02-26,51.24
2014-02-27,49.41
2014-02-28,51.85
2014-03-01,46.17
2014-03-02,42.74999999999999
2014-03-03,46.17
2014-03-04,51.3
2014-03-05,53.01
2014-03-06,42.74999999999999
2014-03-07,44.46
2014-03-08,41.04
2014-03-09,36.48
2014-03-10,45.6
2014-03-11,46.17
2014-03-12,46.17
2014-03-13,45.03
2014-03-14,44.46
2014-03-15,39.33
2014-03-16,35.91
2014-03-17,56.99999999999999
2014-03-18,54.72
2014-03-19,45.6
2014-03-20,43.31999999999999
2014-03-21,45.03
2014-03-22,33.629999999999995
2014-03-23,36.48
2014-03-24,43.31999999999999
2014-03-25,47.31
2014-03-26,43.31999999999999
2014-03-27,43.31999999999999
2014-03-28,46.17
2014-03-29,35.34
2014-03-30,39.33
2014-03-31,43.88999999999999
