date,HON
2013-10-03,51.74999999999999
2013-10-04,57.959999999999994
2013-10-05,55.199999999999996
2013-10-06,44.849999999999994
2013-10-07,51.059999999999995
2013-10-08,47.61
2013-10-09,65.55
2013-10-10,69.0
2013-10-11,53.129999999999995
2013-10-12,55.199999999999996
2013-10-13,49.67999999999999
2013-10-14,44.16
2013-10-15,57.269999999999996
2013-10-16,48.989999999999995
2013-10-17,62.099999999999994
2013-10-18,55.199999999999996
2013-10-19,59.339999999999996
2013-10-20,51.059999999999995
2013-10-21,52.44
2013-10-22,53.129999999999995
2013-10-23,62.78999999999999
2013-10-24,55.88999999999999
2013-10-25,52.44
2013-10-26,54.51
2013-10-27,55.199999999999996
2013-10-28,57.959999999999994
2013-10-29,44.16
2013-10-30,57.959999999999994
2013-10-31,58.65
2013-11-01,54.81
2013-11-02,44.73
2013-11-03,45.99
2013-11-04,54.18
2013-11-05,54.18
2013-11-06,54.81
2013-11-07,56.7
2013-11-08,56.7
2013-11-09,50.4
2013-11-10,51.660000000000004
2013-11-11,55.44
2013-11-12,63.0
2013-11-13,53.55
2013-11-14,49.14
2013-11-15,61.74
2013-11-16,42.84
2013-11-17,46.62
2013-11-18,56.07
2013-11-19,48.51
2013-11-20,54.81
2013-11-21,50.4
2013-11-22,46.62
2013-11-23,44.73
2013-11-24,52.92
2013-11-25,47.25
2013-11-26,39.06
2013-11-27,45.36
2013-11-28,44.73
2013-11-29,49.77
2013-11-30,45.36
2013-12-01,45.26
2013-12-02,43.8
2013-12-03,48.91
2013-12-04,55.48
2013-12-05,56.21
2013-12-06,63.51
2013-12-07,58.4
2013-12-08,44.53
2013-12-09,61.32
2013-12-10,63.51
2013-12-11,58.4
2013-12-12,59.129999999999995
2013-12-13,60.589999999999996
2013-12-14,54.75
2013-12-15,73.0
2013-12-16,73.0
2013-12-17,56.94
2013-12-18,63.51
2013-12-19,67.16
2013-12-20,68.62
2013-12-21,59.129999999999995
2013-12-22,56.94
2013-12-23,71.53999999999999
2013-12-24,56.94
2013-12-25,70.08
2013-12-26,69.35
2013-12-27,64.97
2013-12-28,66.42999999999999
2013-12-29,56.21
2013-12-30,67.89
2013-12-31,64.97
2014-01-01,54.75
2014-01-02,64.5
2014-01-03,69.75
2014-01-04,57.75
2014-01-05,45.75
2014-01-06,61.5
2014-01-07,75.0
2014-01-08,61.5
2014-01-09,69.0
2014-01-10,63.0
2014-01-11,48.0
2014-01-12,60.75
2014-01-13,66.0
2014-01-14,57.75
2014-01-15,60.75
2014-01-16,63.75
2014-01-17,55.5
2014-01-18,50.25
2014-01-19,54.0
2014-01-20,61.5
2014-01-21,51.0
2014-01-22,59.25
2014-01-23,58.5
2014-01-24,57.75
2014-01-25,48.0
2014-01-26,65.25
2014-01-27,59.25
2014-01-28,63.75
2014-01-29,67.5
2014-01-30,57.0
2014-01-31,66.75
2014-02-01,45.36
2014-02-02,51.12
2014-02-03,48.96
2014-02-04,51.839999999999996
2014-02-05,53.28
2014-02-06,43.92
2014-02-07,50.4
2014-02-08,51.12
2014-02-09,48.239999999999995
2014-02-10,46.08
2014-02-11,59.76
2014-02-12,53.28
2014-02-13,61.919999999999995
2014-02-14,56.16
2014-02-15,48.96
2014-02-16,55.44
2014-02-17,63.36
2014-02-18,62.64
2014-02-19,59.04
2014-02-20,52.559999999999995
