date,DIS
2013-09-28,26.400000000000002
2013-09-29,25.6
2013-09-30,35.2
2013-10-01,28.88
2013-10-02,29.64
2013-10-03,34.96
2013-10-04,31.16
2013-10-05,25.84
2013-10-06,29.26
2013-10-07,29.64
2013-10-08,33.82
2013-10-09,34.2
2013-10-10,38.0
2013-10-11,35.72
2013-10-12,24.32
2013-10-13,24.7
2013-10-14,32.68
2013-10-15,32.68
2013-10-16,34.58
2013-10-17,30.78
2013-10-18,36.1
2013-10-19,28.88
2013-10-20,29.26
2013-10-21,34.96
2013-10-22,32.3
2013-10-23,33.44
2013-10-24,32.3
2013-10-25,34.58
2013-10-26,26.98
2013-10-27,27.740000000000002
2013-10-28,33.82
2013-10-29,29.26
2013-10-30,36.1
2013-10-31,31.16
2013-11-01,27.69
2013-11-02,23.01
2013-11-03,24.18
2013-11-04,29.25
2013-11-05,28.080000000000002
2013-11-06,26.130000000000003
2013-11-07,32.370000000000005
2013-11-08,39.0
2013-11-09,27.69
2013-11-10,21.45
2013-11-11,30.42
2013-11-12,30.810000000000002
2013-11-13,27.3
2013-11-14,30.42
2013-11-15,34.32
2013-11-16,27.69
2013-11-17,23.79
2013-11-18,31.59
2013-11-19,27.3
2013-11-20,31.59
2013-11-21,29.64
2013-11-22,33.15
2013-11-23,23.400000000000002
2013-11-24,22.23
2013-11-25,29.25
2013-11-26,33.54
2013-11-27,30.03
2013-11-28,38.22
2013-11-29,30.03
2013-11-30,27.69
2013-12-01,36.480000000000004
2013-12-02,32.68
2013-12-03,34.2
2013-12-04,36.480000000000004
2013-12-05,37.62
2013-12-06,34.58
2013-12-07,23.94
2013-12-08,30.4
2013-12-09,28.12
2013-12-10,35.34
2013-12-11,38.0
2013-12-12,31.54
2013-12-13,35.72
2013-12-14,25.84
2013-12-15,26.22
2013-12-16,38.0
2013-12-17,35.72
2013-12-18,36.86
2013-12-19,33.06
2013-12-20,36.480000000000004
2013-12-21,28.88
2013-12-22,27.740000000000002
2013-12-23,30.4
2013-12-24,28.88
2013-12-25,29.64
2013-12-26,26.22
2013-12-27,29.64
2013-12-28,26.98
2013-12-29,24.7
2013-12-30,30.4
2013-12-31,33.82
2014-01-01,26.52
2014-01-02,28.470000000000002
2014-01-03,27.69
2014-01-04,26.52
2014-01-05,24.57
2014-01-06,30.42
2014-01-07,27.69
2014-01-08,29.64
2014-01-09,33.93
2014-01-10,31.200000000000003
2014-01-11,29.25
2014-01-12,31.98
2014-01-13,30.42
2014-01-14,30.810000000000002
2014-01-15,33.93
2014-01-16,33.15
2014-01-17,30.810000000000002
2014-01-18,27.3
2014-01-19,28.470000000000002
2014-01-20,27.3
2014-01-21,27.3
2014-01-22,30.810000000000002
2014-01-23,35.1
2014-01-24,35.1
2014-01-25,25.35
2014-01-26,23.01
2014-01-27,28.080000000000002
2014-01-28,33.54
2014-01-29,39.0
2014-01-30,35.1
2014-01-31,31.98
2014-02-01,23.18
2014-02-02,28.5
2014-02-03,34.2
2014-02-04,35.72
2014-02-05,36.480000000000004
2014-02-06,38.0
2014-02-07,34.96
2014-02-08,31.92
2014-02-09,25.46
2014-02-10,34.2
2014-02-11,31.92
2014-02-12,30.4
2014-02-13,30.02
2014-02-14,34.58
2014-02-15,28.12
2014-02-16,30.4
2014-02-17,30.02
2014-02-18,30.4
2014-02-19,34.96
2014-02-20,35.34
2014-02-21,35.34
2014-02-22,25.84
2014-02-23,25.46
2014-02-24,34.96
2014-02-25,29.64
2014-02-26,34.58
2014-02-27,32.68
2014-02-28,30.4
2014-03-01,26.8
2014-03-02,27.6
2014-03-03,32.800000000000004
2014-03-04,30.8
2014-03-05,34.4
2014-03-06,38.0
2014-03-07,34.800000000000004
2014-03-08,28.0
2014-03-09,31.200000000000003
2014-03-10,34.800000000000004
2014-03-11,34.800000000000004
2014-03-12,33.6
2014-03-13,36.0
2014-03-14,37.2
2014-03-15,28.0
2014-03-16,28.400000000000002
2014-03-17,35.2
2014-03-18,34.800000000000004
2014-03-19,34.800000000000004
2014-03-20,35.2
2014-03-21,32.4
2014-03-22,27.6
2014-03-23,30.400000000000002
2014-03-24,34.800000000000004
2014-03-25,36.0
2014-03-26,40.0
2014-03-27,34.800000000000004
2014-03-28,28.400000000000002
2014-03-29,27.200000000000003
2014-03-30,29.200000000000003
2014-03-31,34.800000000000004
2014-04-01,37.0
2014-04-02,31.82
2014-04-03,32.56
2014-04-04,27.009999999999998
2014-04-05,25.9
2014-04-06,27.38
2014-04-07,32.56
2014-04-08,32.19
2014-04-09,32.93
2014-04-10,30.71
2014-04-11,28.49
2014-04-12,27.75
2014-04-13,27.009999999999998
2014-04-14,29.97
2014-04-15,26.27
2014-04-16,28.49
2014-04-17,30.34
2014-04-18,28.12
2014-04-19,23.31
2014-04-20,24.419999999999998
2014-04-21,27.009999999999998
2014-04-22,28.12
2014-04-23,29.97
2014-04-24,31.45
2014-04-25,28.49
2014-04-26,27.38
2014-04-27,29.6
2014-04-28,30.71
2014-04-29,31.08
2014-04-30,34.04
2014-05-01,35.26
2014-05-02,29.669999999999998
2014-05-03,26.66
2014-05-04,25.8
2014-05-05,32.25
2014-05-06,43.0
2014-05-07,38.7
2014-05-08,34.4
2014-05-09,35.26
2014-05-10,27.09
2014-05-11,27.09
2014-05-12,32.25
2014-05-13,35.69
2014-05-14,32.25
2014-05-15,30.53
2014-05-16,26.23
2014-05-17,25.37
2014-05-18,25.37
2014-05-19,31.39
2014-05-20,30.53
2014-05-21,27.52
2014-05-22,30.099999999999998
2014-05-23,26.66
2014-05-24,25.37
2014-05-25,23.22
2014-05-26,26.66
2014-05-27,28.38
2014-05-28,30.53
2014-05-29,31.39
2014-05-30,29.669999999999998
2014-05-31,21.5
2014-06-01,25.9
2014-06-02,36.63
2014-06-03,32.93
2014-06-04,33.67
2014-06-05,36.63
2014-06-06,33.3
2014-06-07,30.34
2014-06-08,31.08
2014-06-09,29.97
2014-06-10,31.08
