date,AAPL
2013-10-11,23.4
2013-10-12,7.800000000000001
2013-10-13,5.2
2013-10-14,24.7
2013-10-15,31.200000000000003
2013-10-16,29.9
2013-10-17,31.85
2013-10-18,34.45
2013-10-19,10.4
2013-10-20,7.15
2013-10-21,37.05
2013-10-22,55.25
2013-10-23,42.25
2013-10-24,37.7
2013-10-25,34.45
2013-10-26,11.7
2013-10-27,8.450000000000001
2013-10-28,65.0
2013-10-29,57.2
2013-10-30,38.35
2013-10-31,28.6
2013-11-01,40.0
2013-11-02,12.4
2013-11-03,8.4
2013-11-04,40.0
2013-11-05,40.0
2013-11-06,38.8
2013-11-07,38.400000000000006
2013-11-08,34.800000000000004
2013-11-09,11.6
2013-11-10,8.8
2013-11-11,34.0
2013-11-12,36.0
2013-11-13,34.0
2013-11-14,34.0
2013-11-15,34.4
2013-11-16,10.8
2013-11-17,8.0
2013-11-18,31.6
2013-11-19,30.4
2013-11-20,29.200000000000003
2013-11-21,31.200000000000003
2013-11-22,31.200000000000003
2013-11-23,8.0
2013-11-24,6.800000000000001
2013-11-25,26.4
2013-11-26,31.6
2013-11-27,38.8
2013-11-28,16.0
2013-11-29,33.6
2013-11-30,14.0
2013-12-01,9.31
2013-12-02,29.89
2013-12-03,32.83
2013-12-04,34.79
2013-12-05,44.59
2013-12-06,33.81
2013-12-07,9.31
2013-12-08,6.859999999999999
2013-12-09,30.38
2013-12-10,27.93
2013-12-11,26.95
2013-12-12,25.48
2013-12-13,24.5
2013-12-14,7.35
2013-12-15,7.35
2013-12-16,26.46
2013-12-17,24.5
2013-12-18,29.89
2013-12-19,25.97
2013-12-20,29.4
2013-12-21,8.82
2013-12-22,9.31
2013-12-23,49.0
2013-12-24,33.32
2013-12-25,11.27
2013-12-26,27.44
2013-12-27,27.93
2013-12-28,9.8
2013-12-29,7.35
2013-12-30,24.5
2013-12-31,25.48
2014-01-01,6.36
2014-01-02,16.43
2014-01-03,18.02
2014-01-04,6.890000000000001
2014-01-05,3.71
2014-01-06,18.55
2014-01-07,15.9
2014-01-08,15.37
2014-01-09,16.96
2014-01-10,16.43
2014-01-11,5.300000000000001
2014-01-12,3.71
2014-01-13,15.37
2014-01-14,17.490000000000002
2014-01-15,21.73
2014-01-16,18.55
2014-01-17,21.200000000000003
2014-01-18,6.36
2014-01-19,3.71
2014-01-20,10.07
2014-01-21,19.61
2014-01-22,19.08
2014-01-23,18.55
2014-01-24,20.14
2014-01-25,6.36
2014-01-26,4.24
2014-01-27,37.1
2014-01-28,53.0
2014-01-29,33.39
2014-01-30,26.5
2014-01-31,21.200000000000003
2014-02-01,11.61
2014-02-02,9.46
2014-02-03,34.83
2014-02-04,37.84
2014-02-05,30.53
2014-02-06,31.39
2014-02-07,43.0
2014-02-08,13.33
2014-02-09,8.6
2014-02-10,36.98
2014-02-11,35.26
2014-02-12,33.11
2014-02-13,33.97
2014-02-14,32.68
2014-02-15,11.18
2014-02-16,6.88
2014-02-17,15.48
2014-02-18,30.96
2014-02-19,30.96
2014-02-20,30.53
2014-02-21,27.95
2014-02-22,9.03
2014-02-23,6.45
2014-02-24,29.67
2014-02-25,26.23
2014-02-26,27.95
2014-02-27,29.24
2014-02-28,32.25
2014-03-01,11.47
2014-03-02,6.2
2014-03-03,31.0
2014-03-04,27.59
2014-03-05,26.04
2014-03-06,23.87
2014-03-07,23.56
2014-03-08,6.51
2014-03-09,5.27
2014-03-10,23.87
2014-03-11,24.8
2014-03-12,22.63
2014-03-13,22.63
2014-03-14,22.63
2014-03-15,7.439999999999999
2014-03-16,4.34
2014-03-17,23.87
2014-03-18,24.49
2014-03-19,22.63
2014-03-20,22.63
2014-03-21,20.77
2014-03-22,6.2
2014-03-23,4.34
2014-03-24,23.87
2014-03-25,26.97
2014-03-26,26.97
2014-03-27,23.56
2014-03-28,22.94
2014-03-29,5.89
2014-03-30,4.96
2014-03-31,22.01
2014-04-01,10.32
2014-04-02,9.46
2014-04-03,9.46
2014-04-04,8.6
2014-04-05,3.01
2014-04-06,2.15
2014-04-07,9.46
2014-04-08,10.32
2014-04-09,8.6
2014-04-10,10.75
2014-04-11,9.03
2014-04-12,3.01
2014-04-13,2.15
2014-04-14,9.46
2014-04-15,8.6
2014-04-16,9.46
2014-04-17,9.46
2014-04-18,6.45
2014-04-19,2.15
2014-04-20,2.15
2014-04-21,10.32
2014-04-22,11.61
2014-04-23,28.81
2014-04-24,43.0
2014-04-25,24.08
2014-04-26,6.88
2014-04-27,4.3
2014-04-28,19.78
2014-04-29,19.78
2014-04-30,18.49
2014-05-01,35.2
2014-05-02,30.36
2014-05-03,12.32
2014-05-04,5.72
2014-05-05,31.24
2014-05-06,35.2
2014-05-07,29.48
2014-05-08,29.92
2014-05-09,38.28
2014-05-10,9.68
2014-05-11,6.6
2014-05-12,29.04
2014-05-13,30.8
2014-05-14,27.28
2014-05-15,28.6
2014-05-16,25.52
2014-05-17,11.0
2014-05-18,6.6
2014-05-19,28.16
