date,AMGN
2013-08-30,27.75
2013-08-31,21.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,29.150000000000002
2013-09-04,37.63
2013-09-05,34.980000000000004
2013-09-06,19.080000000000002
2013-09-07,10.07
2013-09-08,0.0
2013-09-09,13.25
2013-09-10,29.150000000000002
2013-09-11,13.780000000000001
2013-09-12,23.32
2013-09-13,22.26
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,20.14
2013-09-17,12.72
2013-09-18,25.970000000000002
2013-09-19,25.970000000000002
2013-09-20,15.9
2013-09-21,19.080000000000002
2013-09-22,0.0
2013-09-23,25.970000000000002
2013-09-24,0.0
2013-09-25,53.0
2013-09-26,15.9
2013-09-27,21.73
2013-09-28,23.85
2013-09-29,21.73
2013-09-30,14.31
2013-10-01,31.92
2013-10-02,12.32
2013-10-03,19.040000000000003
2013-10-04,15.680000000000001
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,53.2
2013-10-08,29.120000000000005
2013-10-09,19.040000000000003
2013-10-10,33.040000000000006
2013-10-11,15.120000000000001
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,0.0
2013-10-15,29.120000000000005
2013-10-16,25.200000000000003
2013-10-17,16.8
2013-10-18,24.64
2013-10-19,38.080000000000005
2013-10-20,0.0
2013-10-21,26.320000000000004
2013-10-22,56.00000000000001
2013-10-23,39.2
2013-10-24,48.720000000000006
2013-10-25,11.760000000000002
2013-10-26,0.0
2013-10-27,0.0
2013-10-28,12.88
2013-10-29,27.44
2013-10-30,0.0
2013-10-31,28.560000000000002
2013-11-01,17.28
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,11.04
2013-11-06,29.279999999999998
2013-11-07,28.32
2013-11-08,10.559999999999999
2013-11-09,9.12
2013-11-10,0.0
2013-11-11,7.199999999999999
2013-11-12,14.399999999999999
2013-11-13,16.8
2013-11-14,28.799999999999997
2013-11-15,10.559999999999999
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,14.879999999999999
2013-11-19,23.04
2013-11-20,15.84
2013-11-21,30.24
2013-11-22,48.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,24.0
2013-11-26,44.64
2013-11-27,8.16
2013-11-28,17.28
2013-11-29,6.72
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,22.04
2013-12-03,13.3
2013-12-04,20.14
2013-12-05,9.88
2013-12-06,0.0
2013-12-07,17.48
2013-12-08,0.0
2013-12-09,0.0
2013-12-10,26.22
2013-12-11,13.3
2013-12-12,12.92
2013-12-13,30.4
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,13.68
2013-12-17,29.64
2013-12-18,38.0
2013-12-19,35.72
2013-12-20,16.72
2013-12-21,0.0
2013-12-22,21.66
2013-12-23,20.9
2013-12-24,12.16
2013-12-25,17.86
2013-12-26,0.0
2013-12-27,28.12
2013-12-28,13.3
2013-12-29,0.0
2013-12-30,11.02
2013-12-31,17.48
2014-01-01,13.569999999999999
2014-01-02,0.0
2014-01-03,8.26
2014-01-04,0.0
2014-01-05,26.549999999999997
2014-01-06,10.03
2014-01-07,34.809999999999995
2014-01-08,11.799999999999999
2014-01-09,17.11
2014-01-10,27.139999999999997
2014-01-11,0.0
2014-01-12,0.0
2014-01-13,14.16
2014-01-14,27.139999999999997
2014-01-15,23.009999999999998
2014-01-16,54.87
2014-01-17,29.5
2014-01-18,0.0
2014-01-19,8.85
2014-01-20,0.0
2014-01-21,0.0
2014-01-22,35.4
2014-01-23,59.0
2014-01-24,21.83
2014-01-25,0.0
2014-01-26,10.03
2014-01-27,41.3
2014-01-28,34.809999999999995
2014-01-29,21.83
2014-01-30,24.189999999999998
2014-01-31,34.22
2014-02-01,15.979999999999999
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,30.08
2014-02-05,22.09
2014-02-06,13.16
2014-02-07,21.15
2014-02-08,12.219999999999999
2014-02-09,23.97
2014-02-10,22.09
2014-02-11,7.989999999999999
2014-02-12,7.52
2014-02-13,21.15
2014-02-14,15.51
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,47.0
2014-02-19,11.28
2014-02-20,22.09
2014-02-21,20.209999999999997
2014-02-22,25.38
2014-02-23,0.0
2014-02-24,11.28
2014-02-25,0.0
2014-02-26,27.729999999999997
2014-02-27,11.28
2014-02-28,32.43
2014-03-01,43.07
2014-03-02,0.0
2014-03-03,0.0
2014-03-04,25.369999999999997
2014-03-05,29.5
2014-03-06,48.97
2014-03-07,25.369999999999997
2014-03-08,0.0
2014-03-09,0.0
2014-03-10,52.51
2014-03-11,0.0
2014-03-12,12.389999999999999
2014-03-13,18.88
2014-03-14,27.729999999999997
2014-03-15,22.419999999999998
2014-03-16,0.0
2014-03-17,16.52
2014-03-18,28.91
2014-03-19,25.369999999999997
2014-03-20,13.569999999999999
2014-03-21,47.199999999999996
2014-03-22,15.34
2014-03-23,30.09
2014-03-24,29.5
2014-03-25,55.459999999999994
2014-03-26,43.07
2014-03-27,30.09
2014-03-28,43.66
2014-03-29,0.0
2014-03-30,0.0
2014-03-31,59.0
2014-04-01,58.52
2014-04-02,30.4
2014-04-03,38.0
2014-04-04,38.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,35.72
2014-04-08,37.24
2014-04-09,37.24
2014-04-10,47.12
2014-04-11,47.88
2014-04-12,12.92
2014-04-13,0.0
2014-04-14,47.88
2014-04-15,28.12
2014-04-16,29.64
2014-04-17,0.0
2014-04-18,10.64
2014-04-19,43.32
2014-04-20,0.0
2014-04-21,19.76
2014-04-22,76.0
2014-04-23,69.92
2014-04-24,22.04
2014-04-25,53.2
2014-04-26,20.52
2014-04-27,0.0
2014-04-28,41.8
2014-04-29,26.6
2014-04-30,0.0
2014-05-01,7.5600000000000005
2014-05-02,23.220000000000002
2014-05-03,11.34
2014-05-04,0.0
2014-05-05,17.28
2014-05-06,27.540000000000003
2014-05-07,18.36
2014-05-08,22.14
2014-05-09,54.0
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,25.380000000000003
2014-05-13,0.0
2014-05-14,0.0
2014-05-15,19.44
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,12.420000000000002
2014-05-19,19.44
2014-05-20,30.240000000000002
2014-05-21,24.3
2014-05-22,27.0
2014-05-23,19.98
2014-05-24,0.0
2014-05-25,15.120000000000001
2014-05-26,0.0
2014-05-27,34.02
2014-05-28,18.36
2014-05-29,20.520000000000003
2014-05-30,21.060000000000002
2014-05-31,12.420000000000002
2014-06-01,34.980000000000004
2014-06-02,28.09
2014-06-03,36.57
2014-06-04,21.200000000000003
2014-06-05,38.160000000000004
2014-06-06,48.760000000000005
2014-06-07,0.0
2014-06-08,13.780000000000001
2014-06-09,17.490000000000002
2014-06-10,0.0
2014-06-11,13.25
2014-06-12,21.200000000000003
2014-06-13,11.13
2014-06-14,0.0
2014-06-15,51.410000000000004
2014-06-16,0.0
2014-06-17,25.44
2014-06-18,0.0
2014-06-19,20.67
2014-06-20,53.0
2014-06-21,50.35
2014-06-22,12.72
2014-06-23,21.200000000000003
2014-06-24,13.25
2014-06-25,38.160000000000004
2014-06-26,13.780000000000001
2014-06-27,19.61
2014-06-28,0.0
2014-06-29,0.0
2014-06-30,7.95
2014-07-01,13.65
2014-07-02,0.0
2014-07-03,48.75
2014-07-04,10.4
2014-07-05,33.800000000000004
2014-07-06,0.0
2014-07-07,0.0
2014-07-08,0.0
2014-07-09,24.05
2014-07-10,27.95
2014-07-11,16.900000000000002
2014-07-12,0.0
2014-07-13,18.2
2014-07-14,15.600000000000001
2014-07-15,16.900000000000002
2014-07-16,19.5
2014-07-17,0.0
2014-07-18,10.4
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,12.35
2014-07-22,22.75
2014-07-23,13.0
2014-07-24,11.700000000000001
2014-07-25,14.3
2014-07-26,0.0
2014-07-27,0.0
2014-07-28,33.800000000000004
2014-07-29,55.25
2014-07-30,65.0
2014-07-31,26.650000000000002
2014-08-01,35.28
2014-08-02,13.86
2014-08-03,14.49
2014-08-04,17.64
2014-08-05,28.35
2014-08-06,23.31
2014-08-07,63.0
2014-08-08,29.61
2014-08-09,0.0
2014-08-10,28.35
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,42.21
2014-08-14,45.36
2014-08-15,27.72
2014-08-16,0.0
2014-08-17,0.0
2014-08-18,21.42
2014-08-19,22.68
2014-08-20,12.6
2014-08-21,13.86
2014-08-22,22.68
2014-08-23,0.0
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,26.46
2014-08-27,15.75
2014-08-28,24.57
2014-08-29,42.21
2014-08-30,11.34
2014-08-31,0.0
2014-09-01,0.0
2014-09-02,31.849999999999998
2014-09-03,11.76
2014-09-04,14.209999999999999
2014-09-05,21.56
2014-09-06,8.33
2014-09-07,0.0
2014-09-08,8.33
2014-09-09,6.859999999999999
2014-09-10,21.56
2014-09-11,15.19
2014-09-12,28.91
2014-09-13,0.0
2014-09-14,27.439999999999998
2014-09-15,20.09
2014-09-16,13.23
2014-09-17,15.68
2014-09-18,18.62
2014-09-19,23.52
2014-09-20,16.169999999999998
2014-09-21,0.0
2014-09-22,49.0
2014-09-23,24.99
2014-09-24,17.64
2014-09-25,10.78
2014-09-26,23.03
2014-09-27,0.0
2014-09-28,0.0
2014-09-29,17.15
2014-09-30,0.0
2014-10-01,0.0
2014-10-02,12.299999999999999
2014-10-03,0.0
2014-10-04,13.12
2014-10-05,0.0
2014-10-06,18.04
2014-10-07,19.68
2014-10-08,16.4
2014-10-09,28.7
2014-10-10,16.4
2014-10-11,0.0
2014-10-12,0.0
2014-10-13,8.2
2014-10-14,27.06
2014-10-15,36.9
2014-10-16,0.0
2014-10-17,31.979999999999997
2014-10-18,0.0
2014-10-19,0.0
2014-10-20,22.959999999999997
2014-10-21,45.919999999999995
2014-10-22,50.839999999999996
2014-10-23,14.76
2014-10-24,0.0
2014-10-25,24.599999999999998
2014-10-26,9.84
2014-10-27,58.22
2014-10-28,82.0
2014-10-29,46.739999999999995
2014-10-30,25.419999999999998
2014-10-31,21.32
2014-11-01,0.0
2014-11-02,35.28
2014-11-03,38.43
2014-11-04,47.88
2014-11-05,15.120000000000001
2014-11-06,36.54
2014-11-07,39.06
2014-11-08,0.0
2014-11-09,0.0
2014-11-10,35.910000000000004
2014-11-11,63.0
2014-11-12,0.0
2014-11-13,60.480000000000004
2014-11-14,44.73
2014-11-15,0.0
2014-11-16,0.0
2014-11-17,0.0
2014-11-18,15.120000000000001
2014-11-19,0.0
2014-11-20,34.65
2014-11-21,34.65
2014-11-22,0.0
2014-11-23,0.0
2014-11-24,15.75
2014-11-25,22.05
2014-11-26,51.03
2014-11-27,0.0
2014-11-28,28.35
2014-11-29,0.0
2014-11-30,0.0
2014-12-01,20.009999999999998
2014-12-02,0.0
2014-12-03,53.81999999999999
2014-12-04,64.17
2014-12-05,29.669999999999998
2014-12-06,33.12
2014-12-07,20.009999999999998
2014-12-08,0.0
2014-12-09,29.669999999999998
2014-12-10,33.809999999999995
2014-12-11,45.54
2014-12-12,51.059999999999995
2014-12-13,0.0
2014-12-14,0.0
2014-12-15,42.779999999999994
2014-12-16,20.009999999999998
2014-12-17,24.15
2014-12-18,69.0
2014-12-19,28.979999999999997
2014-12-20,14.489999999999998
2014-12-21,15.87
2014-12-22,30.36
2014-12-23,59.339999999999996
2014-12-24,40.019999999999996
2014-12-25,0.0
2014-12-26,34.5
2014-12-27,20.7
2014-12-28,20.009999999999998
2014-12-29,17.25
2014-12-30,11.04
2014-12-31,27.599999999999998
2015-01-01,0.0
2015-01-02,0.0
2015-01-03,18.900000000000002
2015-01-04,0.0
2015-01-05,0.0
2015-01-06,11.34
2015-01-07,27.540000000000003
2015-01-08,14.040000000000001
2015-01-09,20.520000000000003
2015-01-10,0.0
2015-01-11,0.0
2015-01-12,21.6
2015-01-13,18.36
2015-01-14,11.88
2015-01-15,16.740000000000002
2015-01-16,18.36
2015-01-17,0.0
2015-01-18,0.0
2015-01-19,0.0
2015-01-20,19.98
2015-01-21,21.6
2015-01-22,12.420000000000002
2015-01-23,26.46
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,29.700000000000003
2015-01-27,32.940000000000005
2015-01-28,54.0
2015-01-29,11.34
2015-01-30,19.44
2015-01-31,8.64
2015-02-01,0.0
2015-02-02,0.0
2015-02-03,12.48
2015-02-04,0.0
2015-02-05,37.44
2015-02-06,0.0
2015-02-07,0.0
2015-02-08,21.45
2015-02-09,12.870000000000001
2015-02-10,39.0
2015-02-11,0.0
2015-02-12,37.050000000000004
2015-02-13,34.32
2015-02-14,0.0
2015-02-15,33.54
2015-02-16,0.0
2015-02-17,23.400000000000002
2015-02-18,18.330000000000002
2015-02-19,21.45
2015-02-20,37.44
2015-02-21,0.0
2015-02-22,21.84
2015-02-23,18.72
2015-02-24,33.93
2015-02-25,30.810000000000002
2015-02-26,24.96
2015-02-27,24.57
2015-02-28,0.0
2015-03-01,7.9799999999999995
2015-03-02,17.099999999999998
2015-03-03,23.369999999999997
2015-03-04,19.38
2015-03-05,13.68
2015-03-06,9.69
2015-03-07,0.0
2015-03-08,19.38
2015-03-09,17.099999999999998
2015-03-10,17.099999999999998
2015-03-11,18.81
2015-03-12,16.529999999999998
2015-03-13,0.0
2015-03-14,0.0
2015-03-15,13.68
2015-03-16,29.639999999999997
2015-03-17,18.24
2015-03-18,56.99999999999999
2015-03-19,13.68
2015-03-20,56.99999999999999
2015-03-21,0.0
2015-03-22,0.0
2015-03-23,7.9799999999999995
2015-03-24,14.819999999999999
2015-03-25,0.0
2015-03-26,27.929999999999996
2015-03-27,15.389999999999999
2015-03-28,0.0
2015-03-29,0.0
2015-03-30,37.62
2015-03-31,0.0
2015-04-01,11.9
2015-04-02,42.5
2015-04-03,33.15
2015-04-04,0.0
2015-04-05,0.0
2015-04-06,25.5
2015-04-07,0.0
2015-04-08,24.65
2015-04-09,18.7
2015-04-10,11.049999999999999
2015-04-11,0.0
2015-04-12,0.0
2015-04-13,21.25
2015-04-14,10.2
2015-04-15,34.85
2015-04-16,57.8
2015-04-17,34.85
2015-04-18,28.05
2015-04-19,14.45
2015-04-20,34.85
2015-04-21,63.75
2015-04-22,85.0
2015-04-23,46.75
2015-04-24,13.6
2015-04-25,17.849999999999998
2015-04-26,0.0
2015-04-27,30.599999999999998
2015-04-28,34.0
2015-04-29,22.099999999999998
2015-04-30,49.3
2015-05-01,24.779999999999998
2015-05-02,39.53
2015-05-03,16.52
2015-05-04,29.5
2015-05-05,11.209999999999999
2015-05-06,30.68
2015-05-07,54.87
2015-05-08,38.35
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,27.139999999999997
2015-05-12,32.449999999999996
2015-05-13,29.5
2015-05-14,59.0
2015-05-15,28.91
2015-05-16,10.62
2015-05-17,0.0
2015-05-18,10.03
2015-05-19,20.06
2015-05-20,38.35
2015-05-21,8.85
2015-05-22,20.06
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,21.83
2015-05-27,24.189999999999998
2015-05-28,50.739999999999995
2015-05-29,47.79
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,75.0
2015-06-02,20.25
2015-06-03,37.5
2015-06-04,22.5
2015-06-05,14.25
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,8.25
2015-06-09,27.75
2015-06-10,43.5
2015-06-11,34.5
2015-06-12,24.75
2015-06-13,12.75
2015-06-14,17.25
2015-06-15,9.0
2015-06-16,38.25
2015-06-17,26.25
2015-06-18,42.75
2015-06-19,34.5
2015-06-20,0.0
2015-06-21,0.0
2015-06-22,18.0
2015-06-23,15.75
2015-06-24,19.5
2015-06-25,27.75
2015-06-26,15.75
2015-06-27,24.0
2015-06-28,0.0
2015-06-29,34.5
2015-06-30,16.5
2015-07-01,32.9
2015-07-02,24.439999999999998
2015-07-03,0.0
2015-07-04,0.0
2015-07-05,48.879999999999995
2015-07-06,30.08
2015-07-07,0.0
2015-07-08,15.979999999999999
2015-07-09,24.439999999999998
2015-07-10,18.799999999999997
2015-07-11,0.0
2015-07-12,57.339999999999996
2015-07-13,28.2
2015-07-14,33.839999999999996
2015-07-15,21.619999999999997
2015-07-16,40.419999999999995
2015-07-17,46.059999999999995
2015-07-18,13.16
2015-07-19,0.0
2015-07-20,48.879999999999995
2015-07-21,51.699999999999996
2015-07-22,28.2
2015-07-23,15.979999999999999
2015-07-24,0.0
2015-07-25,32.9
2015-07-26,0.0
2015-07-27,64.86
2015-07-28,87.42
2015-07-29,87.42
2015-07-30,93.05999999999999
2015-07-31,94.0
2015-08-01,0.0
2015-08-02,46.5
2015-08-03,34.410000000000004
2015-08-04,53.010000000000005
2015-08-05,51.150000000000006
2015-08-06,70.68
2015-08-07,49.29
2015-08-08,46.5
2015-08-09,0.0
2015-08-10,19.53
2015-08-11,34.410000000000004
2015-08-12,52.080000000000005
2015-08-13,12.09
2015-08-14,21.39
2015-08-15,0.0
2015-08-16,25.110000000000003
2015-08-17,39.06
2015-08-18,58.59
2015-08-19,29.76
2015-08-20,35.34
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,19.53
2015-08-24,55.800000000000004
2015-08-25,93.0
2015-08-26,54.870000000000005
2015-08-27,56.730000000000004
2015-08-28,79.98
2015-08-29,0.0
2015-08-30,30.69
2015-08-31,46.5
2015-09-01,47.36
2015-09-02,37.12
2015-09-03,40.32
2015-09-04,52.480000000000004
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,36.480000000000004
2015-09-08,23.04
2015-09-09,33.92
2015-09-10,64.0
2015-09-11,36.480000000000004
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,17.28
2015-09-15,21.12
2015-09-16,33.92
2015-09-17,17.28
2015-09-18,30.080000000000002
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,51.84
2015-09-22,29.44
2015-09-23,22.400000000000002
2015-09-24,0.0
2015-09-25,46.72
2015-09-26,37.76
2015-09-27,0.0
2015-09-28,40.32
2015-09-29,49.92
2015-09-30,30.72
2015-10-01,25.16
2015-10-02,45.14
2015-10-03,0.0
2015-10-04,35.519999999999996
2015-10-05,25.16
2015-10-06,26.64
2015-10-07,59.94
2015-10-08,30.34
2015-10-09,8.879999999999999
2015-10-10,17.759999999999998
2015-10-11,0.0
2015-10-12,28.86
2015-10-13,34.04
2015-10-14,28.12
2015-10-15,29.6
2015-10-16,18.5
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,16.28
2015-10-20,0.0
2015-10-21,39.96
2015-10-22,26.64
2015-10-23,22.2
2015-10-24,15.54
2015-10-25,11.84
2015-10-26,28.12
2015-10-27,58.46
2015-10-28,59.2
2015-10-29,74.0
2015-10-30,31.82
