date,CRM
2013-09-30,45.5
2013-10-01,42.120000000000005
2013-10-02,43.68
2013-10-03,48.88
2013-10-04,46.28
2013-10-05,13.52
2013-10-06,14.56
2013-10-07,40.04
2013-10-08,45.24
2013-10-09,52.0
2013-10-10,46.28
2013-10-11,40.56
2013-10-12,19.240000000000002
2013-10-13,14.040000000000001
2013-10-14,40.04
2013-10-15,42.120000000000005
2013-10-16,47.32
2013-10-17,47.32
2013-10-18,43.68
2013-10-19,17.16
2013-10-20,16.64
2013-10-21,46.28
2013-10-22,47.84
2013-10-23,46.800000000000004
2013-10-24,47.32
2013-10-25,36.4
2013-10-26,16.64
2013-10-27,16.64
2013-10-28,40.04
2013-10-29,46.800000000000004
2013-10-30,45.24
2013-10-31,47.84
2013-11-01,36.57
2013-11-02,15.370000000000001
2013-11-03,13.780000000000001
2013-11-04,44.52
2013-11-05,41.34
2013-11-06,46.11
2013-11-07,43.46
2013-11-08,43.46
2013-11-09,15.370000000000001
2013-11-10,16.43
2013-11-11,37.1
2013-11-12,46.11
2013-11-13,46.11
2013-11-14,40.81
2013-11-15,44.52
2013-11-16,17.490000000000002
2013-11-17,11.66
2013-11-18,46.64
2013-11-19,53.0
2013-11-20,45.580000000000005
2013-11-21,44.52
2013-11-22,41.870000000000005
2013-11-23,16.43
2013-11-24,13.780000000000001
2013-11-25,39.75
2013-11-26,35.510000000000005
2013-11-27,30.740000000000002
2013-11-28,10.07
2013-11-29,15.370000000000001
2013-11-30,11.66
2013-12-01,13.2
2013-12-02,32.56
2013-12-03,42.24
2013-12-04,44.0
2013-12-05,39.6
2013-12-06,32.56
2013-12-07,15.4
2013-12-08,13.2
2013-12-09,36.08
2013-12-10,40.04
2013-12-11,40.04
2013-12-12,37.84
2013-12-13,35.2
2013-12-14,14.52
2013-12-15,12.76
2013-12-16,33.88
2013-12-17,36.52
2013-12-18,35.2
2013-12-19,41.8
2013-12-20,31.68
2013-12-21,14.08
2013-12-22,9.24
2013-12-23,25.080000000000002
2013-12-24,16.28
2013-12-25,8.8
2013-12-26,21.56
2013-12-27,21.56
2013-12-28,10.12
2013-12-29,10.12
2013-12-30,25.96
2013-12-31,23.76
2014-01-01,12.96
2014-01-02,38.88
2014-01-03,37.260000000000005
2014-01-04,16.740000000000002
2014-01-05,9.72
2014-01-06,44.82
2014-01-07,45.36
2014-01-08,44.28
2014-01-09,53.46
2014-01-10,45.900000000000006
2014-01-11,14.040000000000001
2014-01-12,13.5
2014-01-13,44.28
2014-01-14,52.92
2014-01-15,53.46
2014-01-16,49.14
2014-01-17,46.980000000000004
2014-01-18,15.120000000000001
2014-01-19,14.580000000000002
2014-01-20,36.72
2014-01-21,44.82
2014-01-22,49.68000000000001
2014-01-23,53.46
2014-01-24,49.14
2014-01-25,19.98
2014-01-26,17.28
2014-01-27,41.040000000000006
2014-01-28,54.0
2014-01-29,43.74
2014-01-30,45.900000000000006
2014-01-31,50.760000000000005
2014-02-01,17.6
2014-02-02,14.850000000000001
2014-02-03,40.150000000000006
2014-02-04,54.45
2014-02-05,51.150000000000006
2014-02-06,48.400000000000006
2014-02-07,49.50000000000001
2014-02-08,22.55
2014-02-09,17.6
2014-02-10,48.400000000000006
2014-02-11,50.050000000000004
2014-02-12,49.50000000000001
2014-02-13,51.7
2014-02-14,49.50000000000001
2014-02-15,23.1
2014-02-16,18.150000000000002
2014-02-17,42.35
2014-02-18,46.75000000000001
2014-02-19,50.050000000000004
2014-02-20,47.85
2014-02-21,50.050000000000004
2014-02-22,18.700000000000003
2014-02-23,22.0
2014-02-24,47.300000000000004
2014-02-25,50.6
2014-02-26,52.800000000000004
2014-02-27,52.800000000000004
2014-02-28,55.00000000000001
2014-03-01,19.25
2014-03-02,18.150000000000002
2014-03-03,44.0
2014-03-04,52.800000000000004
2014-03-05,55.00000000000001
2014-03-06,49.50000000000001
2014-03-07,41.800000000000004
2014-03-08,21.450000000000003
2014-03-09,18.700000000000003
2014-03-10,53.35
2014-03-11,47.300000000000004
2014-03-12,52.25000000000001
2014-03-13,50.050000000000004
2014-03-14,46.75000000000001
2014-03-15,20.35
2014-03-16,17.6
2014-03-17,46.2
2014-03-18,53.900000000000006
2014-03-19,52.800000000000004
2014-03-20,50.050000000000004
2014-03-21,52.800000000000004
