date,IBM
2013-08-24,30.599999999999998
2013-08-25,29.75
2013-08-26,61.199999999999996
2013-08-27,65.45
2013-08-28,72.25
2013-08-29,59.5
2013-08-30,56.949999999999996
2013-08-31,24.65
2013-09-01,27.6
2013-09-02,34.04
2013-09-03,72.68
2013-09-04,75.44
2013-09-05,75.44
2013-09-06,69.92
2013-09-07,50.6
2013-09-08,45.080000000000005
2013-09-09,92.0
2013-09-10,85.56
2013-09-11,87.4
2013-09-12,81.88000000000001
2013-09-13,73.60000000000001
2013-09-14,33.120000000000005
2013-09-15,29.44
2013-09-16,73.60000000000001
2013-09-17,82.8
2013-09-18,80.96000000000001
2013-09-19,80.96000000000001
2013-09-20,67.16
2013-09-21,38.64
2013-09-22,34.04
2013-09-23,81.88000000000001
2013-09-24,82.8
2013-09-25,81.88000000000001
2013-09-26,77.28
2013-09-27,75.44
2013-09-28,35.88
2013-09-29,32.2
2013-09-30,72.68
2013-10-01,68.16
2013-10-02,64.32
2013-10-03,77.75999999999999
2013-10-04,60.48
2013-10-05,27.84
2013-10-06,31.68
2013-10-07,59.519999999999996
2013-10-08,81.6
2013-10-09,72.96
2013-10-10,64.32
2013-10-11,63.36
2013-10-12,25.919999999999998
2013-10-13,24.96
2013-10-14,58.559999999999995
2013-10-15,58.559999999999995
2013-10-16,82.56
2013-10-17,96.0
2013-10-18,81.6
2013-10-19,33.6
2013-10-20,31.68
2013-10-21,72.0
2013-10-22,74.88
2013-10-23,76.8
2013-10-24,72.96
2013-10-25,66.24
2013-10-26,26.88
2013-10-27,26.88
2013-10-28,65.28
2013-10-29,71.03999999999999
2013-10-30,72.96
2013-10-31,62.4
2013-11-01,67.15
2013-11-02,32.39
2013-11-03,29.23
2013-11-04,68.73
2013-11-05,75.84
2013-11-06,74.26
2013-11-07,72.68
2013-11-08,71.89
2013-11-09,33.18
2013-11-10,26.86
2013-11-11,60.040000000000006
2013-11-12,78.21000000000001
2013-11-13,72.68
2013-11-14,71.10000000000001
2013-11-15,69.52000000000001
2013-11-16,31.6
2013-11-17,32.39
2013-11-18,70.31
2013-11-19,74.26
2013-11-20,72.68
2013-11-21,79.0
2013-11-22,65.57000000000001
2013-11-23,30.020000000000003
2013-11-24,28.44
2013-11-25,59.25
2013-11-26,63.99
