date,MCD
2013-09-05,16.79
2013-09-06,17.94
2013-09-07,11.73
2013-09-08,16.1
2013-09-09,16.330000000000002
2013-09-10,21.62
2013-09-11,19.78
2013-09-12,11.73
2013-09-13,20.93
2013-09-14,10.58
2013-09-15,9.43
2013-09-16,15.87
2013-09-17,22.77
2013-09-18,19.32
2013-09-19,22.08
2013-09-20,13.8
2013-09-21,12.42
2013-09-22,14.03
2013-09-23,20.47
2013-09-24,20.01
2013-09-25,14.26
2013-09-26,16.79
2013-09-27,19.55
2013-09-28,9.43
2013-09-29,13.57
2013-09-30,23.0
2013-10-01,21.32
2013-10-02,12.48
2013-10-03,20.8
2013-10-04,16.12
2013-10-05,21.06
2013-10-06,15.6
2013-10-07,16.64
2013-10-08,18.98
2013-10-09,18.72
2013-10-10,24.96
2013-10-11,16.64
2013-10-12,14.04
2013-10-13,8.58
2013-10-14,21.06
2013-10-15,18.98
2013-10-16,24.18
2013-10-17,22.880000000000003
2013-10-18,19.5
2013-10-19,18.72
2013-10-20,13.26
2013-10-21,26.0
2013-10-22,23.92
2013-10-23,20.02
2013-10-24,18.2
2013-10-25,16.12
2013-10-26,15.08
2013-10-27,9.36
2013-10-28,17.16
2013-10-29,26.0
2013-10-30,25.48
2013-10-31,18.72
2013-11-01,12.25
2013-11-02,12.25
2013-11-03,10.75
2013-11-04,17.5
2013-11-05,15.5
2013-11-06,20.5
2013-11-07,14.5
2013-11-08,23.25
2013-11-09,9.5
2013-11-10,5.5
2013-11-11,16.0
2013-11-12,16.5
2013-11-13,19.25
2013-11-14,15.75
2013-11-15,24.75
2013-11-16,7.5
2013-11-17,12.0
2013-11-18,18.75
2013-11-19,25.0
2013-11-20,20.5
2013-11-21,18.25
2013-11-22,17.5
2013-11-23,12.75
2013-11-24,10.5
2013-11-25,19.5
2013-11-26,18.0
2013-11-27,16.25
2013-11-28,7.5
2013-11-29,14.0
2013-11-30,11.5
2013-12-01,5.04
2013-12-02,11.52
2013-12-03,14.88
2013-12-04,14.64
2013-12-05,14.16
2013-12-06,15.36
2013-12-07,11.76
2013-12-08,14.4
2013-12-09,12.96
2013-12-10,18.24
2013-12-11,16.08
2013-12-12,14.4
2013-12-13,14.16
2013-12-14,12.0
2013-12-15,8.64
2013-12-16,12.96
2013-12-17,16.08
2013-12-18,14.4
2013-12-19,24.0
2013-12-20,9.84
2013-12-21,4.08
2013-12-22,9.36
2013-12-23,11.28
2013-12-24,9.12
2013-12-25,12.96
2013-12-26,13.68
2013-12-27,13.68
2013-12-28,8.64
2013-12-29,7.68
2013-12-30,12.0
2013-12-31,14.88
2014-01-01,5.75
2014-01-02,17.0
2014-01-03,13.25
2014-01-04,13.75
2014-01-05,13.0
2014-01-06,14.5
