date,TSLA
2013-10-01,7.2
2013-10-02,9.76
2013-10-03,16.0
2013-10-04,11.68
2013-10-05,3.68
2013-10-06,2.08
2013-10-07,6.88
2013-10-08,8.16
2013-10-09,8.96
2013-10-10,8.48
2013-10-11,6.24
2013-10-12,1.92
2013-10-13,1.44
2013-10-14,5.6000000000000005
2013-10-15,6.88
2013-10-16,6.5600000000000005
2013-10-17,6.08
2013-10-18,5.6000000000000005
2013-10-19,1.92
2013-10-20,1.44
2013-10-21,6.5600000000000005
2013-10-22,7.36
2013-10-23,7.5200000000000005
2013-10-24,7.5200000000000005
2013-10-25,6.4
2013-10-26,2.08
2013-10-27,1.28
2013-10-28,6.72
2013-10-29,8.32
2013-10-30,6.72
2013-10-31,6.5600000000000005
2013-11-01,4.760000000000001
2013-11-02,1.53
2013-11-03,1.1900000000000002
2013-11-04,6.630000000000001
2013-11-05,13.260000000000002
2013-11-06,17.0
2013-11-07,14.110000000000001
2013-11-08,12.58
2013-11-09,3.4000000000000004
2013-11-10,2.21
2013-11-11,7.140000000000001
2013-11-12,7.99
2013-11-13,7.140000000000001
2013-11-14,6.29
2013-11-15,4.930000000000001
2013-11-16,2.3800000000000003
2013-11-17,1.02
2013-11-18,8.16
2013-11-19,10.030000000000001
2013-11-20,7.65
2013-11-21,6.970000000000001
2013-11-22,6.630000000000001
2013-11-23,2.21
2013-11-24,1.1900000000000002
2013-11-25,4.42
2013-11-26,5.44
2013-11-27,4.760000000000001
2013-11-28,1.87
2013-11-29,3.74
2013-11-30,1.53
2013-12-01,1.21
2013-12-02,5.06
2013-12-03,10.23
2013-12-04,11.0
2013-12-05,7.59
2013-12-06,6.49
2013-12-07,2.31
2013-12-08,1.1
2013-12-09,5.06
2013-12-10,4.73
2013-12-11,4.84
2013-12-12,4.62
2013-12-13,5.83
2013-12-14,1.87
2013-12-15,1.1
2013-12-16,5.28
2013-12-17,5.39
2013-12-18,5.39
2013-12-19,6.2700000000000005
2013-12-20,5.5
2013-12-21,1.32
2013-12-22,0.44
2013-12-23,4.4
2013-12-24,6.6
2013-12-25,2.2
2013-12-26,5.83
2013-12-27,5.17
2013-12-28,1.76
2013-12-29,0.99
2013-12-30,3.41
2013-12-31,4.18
2014-01-01,1.3
2014-01-02,3.6
2014-01-03,3.9000000000000004
2014-01-04,1.1
2014-01-05,0.6000000000000001
2014-01-06,3.5
2014-01-07,3.3000000000000003
2014-01-08,4.1000000000000005
2014-01-09,3.8000000000000003
2014-01-10,3.5
2014-01-11,1.0
2014-01-12,0.5
2014-01-13,3.3000000000000003
2014-01-14,8.6
2014-01-15,10.0
2014-01-16,7.0
2014-01-17,7.2
2014-01-18,1.7000000000000002
2014-01-19,1.1
2014-01-20,2.4000000000000004
2014-01-21,5.1000000000000005
2014-01-22,5.1000000000000005
2014-01-23,5.7
2014-01-24,5.4
2014-01-25,1.2000000000000002
2014-01-26,1.4000000000000001
2014-01-27,3.9000000000000004
2014-01-28,4.6000000000000005
2014-01-29,4.5
2014-01-30,4.7
2014-01-31,5.0
2014-02-01,1.52
2014-02-02,0.76
2014-02-03,3.61
2014-02-04,4.18
2014-02-05,4.18
2014-02-06,3.42
2014-02-07,3.99
2014-02-08,1.1400000000000001
2014-02-09,1.1400000000000001
2014-02-10,6.08
2014-02-11,6.84
2014-02-12,5.7
2014-02-13,5.51
2014-02-14,6.46
2014-02-15,1.9
2014-02-16,1.1400000000000001
2014-02-17,2.66
2014-02-18,8.36
2014-02-19,15.01
2014-02-20,15.01
2014-02-21,8.55
2014-02-22,2.85
2014-02-23,1.52
2014-02-24,7.03
2014-02-25,18.05
2014-02-26,19.0
2014-02-27,15.96
2014-02-28,11.4
2014-03-01,5.720000000000001
2014-03-02,3.25
2014-03-03,12.74
2014-03-04,13.0
2014-03-05,11.700000000000001
2014-03-06,10.01
2014-03-07,9.75
2014-03-08,2.99
2014-03-09,2.34
2014-03-10,9.1
2014-03-11,11.05
2014-03-12,10.01
2014-03-13,9.75
2014-03-14,9.620000000000001
2014-03-15,2.73
2014-03-16,1.9500000000000002
2014-03-17,7.54
2014-03-18,8.71
2014-03-19,6.24
