date,KO
2013-10-17,35.88
2013-10-18,46.0
2013-10-19,41.86
2013-10-20,38.64
2013-10-21,38.64
2013-10-22,38.64
2013-10-23,40.48
2013-10-24,41.4
2013-10-25,41.4
2013-10-26,37.260000000000005
2013-10-27,40.02
2013-10-28,45.54
2013-10-29,40.940000000000005
2013-10-30,40.48
2013-10-31,39.1
2013-11-01,38.7
2013-11-02,35.1
2013-11-03,31.05
2013-11-04,35.1
2013-11-05,40.05
2013-11-06,39.6
2013-11-07,40.95
2013-11-08,41.85
2013-11-09,36.9
2013-11-10,43.2
2013-11-11,43.2
2013-11-12,38.25
2013-11-13,40.05
2013-11-14,38.25
2013-11-15,38.25
2013-11-16,42.3
2013-11-17,36.45
2013-11-18,38.25
2013-11-19,40.5
2013-11-20,41.4
2013-11-21,45.0
2013-11-22,43.2
2013-11-23,44.1
2013-11-24,42.75
2013-11-25,43.2
2013-11-26,37.8
2013-11-27,40.05
2013-11-28,37.35
2013-11-29,40.05
2013-11-30,34.2
2013-12-01,35.0
2013-12-02,40.0
2013-12-03,37.5
2013-12-04,42.5
2013-12-05,42.0
2013-12-06,39.5
2013-12-07,47.0
2013-12-08,37.5
2013-12-09,43.0
2013-12-10,39.0
2013-12-11,41.5
2013-12-12,43.0
2013-12-13,45.0
2013-12-14,47.5
2013-12-15,45.5
2013-12-16,44.5
2013-12-17,41.5
2013-12-18,46.5
2013-12-19,46.5
2013-12-20,46.5
2013-12-21,39.0
2013-12-22,43.5
2013-12-23,49.5
2013-12-24,49.5
2013-12-25,50.0
2013-12-26,50.0
2013-12-27,46.0
2013-12-28,41.5
2013-12-29,45.0
2013-12-30,42.0
2013-12-31,48.0
2014-01-01,44.5
2014-01-02,50.0
2014-01-03,44.0
2014-01-04,42.0
2014-01-05,43.5
2014-01-06,43.5
2014-01-07,43.0
2014-01-08,44.5
2014-01-09,46.5
2014-01-10,43.5
2014-01-11,36.5
2014-01-12,41.0
2014-01-13,39.5
2014-01-14,42.0
2014-01-15,42.0
2014-01-16,34.5
2014-01-17,46.5
2014-01-18,41.5
2014-01-19,35.0
2014-01-20,37.5
2014-01-21,41.5
2014-01-22,43.5
2014-01-23,43.5
2014-01-24,47.0
2014-01-25,39.0
2014-01-26,37.5
2014-01-27,37.5
2014-01-28,38.0
2014-01-29,38.0
2014-01-30,43.5
2014-01-31,38.5
2014-02-01,36.75
2014-02-02,32.83
2014-02-03,35.77
2014-02-04,42.63
2014-02-05,40.18
2014-02-06,44.1
2014-02-07,42.63
2014-02-08,41.16
2014-02-09,36.26
2014-02-10,33.32
2014-02-11,37.24
2014-02-12,37.24
2014-02-13,39.69
2014-02-14,42.63
2014-02-15,42.63
2014-02-16,38.22
2014-02-17,40.18
2014-02-18,49.0
2014-02-19,48.02
2014-02-20,39.69
2014-02-21,43.61
2014-02-22,48.02
2014-02-23,44.1
2014-02-24,39.2
2014-02-25,43.12
2014-02-26,41.65
2014-02-27,40.18
2014-02-28,40.67
2014-03-01,48.23
2014-03-02,41.34
2014-03-03,39.75
2014-03-04,42.400000000000006
2014-03-05,42.93
2014-03-06,43.99
2014-03-07,45.580000000000005
2014-03-08,40.81
2014-03-09,45.580000000000005
2014-03-10,38.690000000000005
2014-03-11,39.75
2014-03-12,40.81
2014-03-13,42.400000000000006
2014-03-14,45.580000000000005
2014-03-15,53.0
2014-03-16,43.46
2014-03-17,44.52
2014-03-18,44.52
2014-03-19,45.05
2014-03-20,43.46
2014-03-21,48.760000000000005
2014-03-22,47.7
2014-03-23,50.88
2014-03-24,48.760000000000005
2014-03-25,48.23
2014-03-26,46.64
2014-03-27,48.23
2014-03-28,51.940000000000005
2014-03-29,53.0
2014-03-30,44.52
2014-03-31,43.46
2014-04-01,45.36000000000001
2014-04-02,39.760000000000005
2014-04-03,42.00000000000001
2014-04-04,44.8
2014-04-05,42.00000000000001
2014-04-06,43.68000000000001
2014-04-07,40.32000000000001
2014-04-08,45.92
2014-04-09,44.24
2014-04-10,46.48
2014-04-11,48.16
2014-04-12,49.28
2014-04-13,46.48
2014-04-14,43.120000000000005
2014-04-15,45.36000000000001
2014-04-16,45.92
2014-04-17,43.68000000000001
2014-04-18,48.16
2014-04-19,44.24
2014-04-20,45.36000000000001
2014-04-21,47.040000000000006
2014-04-22,45.36000000000001
2014-04-23,48.16
2014-04-24,42.00000000000001
2014-04-25,52.080000000000005
2014-04-26,48.720000000000006
2014-04-27,44.24
2014-04-28,56.00000000000001
2014-04-29,44.8
2014-04-30,44.8
2014-05-01,43.92
2014-05-02,43.92
2014-05-03,44.53
2014-05-04,43.31
2014-05-05,40.26
2014-05-06,43.31
2014-05-07,41.48
2014-05-08,40.26
2014-05-09,39.65
2014-05-10,46.97
2014-05-11,39.04
2014-05-12,46.97
2014-05-13,47.58
2014-05-14,42.09
2014-05-15,48.8
2014-05-16,48.8
2014-05-17,52.46
2014-05-18,54.9
2014-05-19,48.8
2014-05-20,47.58
2014-05-21,53.68
2014-05-22,46.97
2014-05-23,53.07
2014-05-24,61.0
2014-05-25,54.9
2014-05-26,52.46
2014-05-27,49.41
2014-05-28,51.24
2014-05-29,48.19
2014-05-30,44.53
2014-05-31,53.68
2014-06-01,51.84
2014-06-02,53.28
2014-06-03,51.12
2014-06-04,49.68
2014-06-05,56.16
2014-06-06,61.2
2014-06-07,58.32
2014-06-08,63.36
2014-06-09,55.44
2014-06-10,56.88
2014-06-11,56.16
2014-06-12,56.88
2014-06-13,54.72
2014-06-14,58.32
2014-06-15,58.32
2014-06-16,56.16
2014-06-17,61.92
2014-06-18,55.44
2014-06-19,64.08
2014-06-20,64.08
2014-06-21,72.0
2014-06-22,66.96
2014-06-23,61.2
2014-06-24,59.76
2014-06-25,55.44
2014-06-26,61.2
2014-06-27,63.36
2014-06-28,66.96
2014-06-29,61.92
2014-06-30,51.84
2014-07-01,53.72
2014-07-02,51.35
2014-07-03,52.93
2014-07-04,58.46
2014-07-05,62.41
2014-07-06,79.0
2014-07-07,55.3
2014-07-08,51.35
2014-07-09,46.61
2014-07-10,48.98
2014-07-11,53.72
2014-07-12,60.040000000000006
2014-07-13,51.35
2014-07-14,49.77
2014-07-15,48.98
2014-07-16,46.61
2014-07-17,45.82
2014-07-18,51.35
2014-07-19,61.620000000000005
2014-07-20,58.46
2014-07-21,53.72
2014-07-22,53.72
2014-07-23,52.14
2014-07-24,50.56
2014-07-25,48.190000000000005
2014-07-26,54.510000000000005
2014-07-27,45.82
2014-07-28,45.82
2014-07-29,49.77
2014-07-30,50.56
2014-07-31,49.77
2014-08-01,63.08
2014-08-02,66.12
2014-08-03,64.6
2014-08-04,60.04
2014-08-05,57.0
2014-08-06,61.56
2014-08-07,60.04
2014-08-08,68.4
2014-08-09,76.0
2014-08-10,68.4
2014-08-11,60.8
2014-08-12,52.44
2014-08-13,57.76
2014-08-14,60.04
2014-08-15,62.32
2014-08-16,59.28
2014-08-17,69.16
2014-08-18,63.08
2014-08-19,70.68
2014-08-20,71.44
2014-08-21,66.88
2014-08-22,69.16
2014-08-23,67.64
2014-08-24,69.16
2014-08-25,57.0
2014-08-26,56.24
2014-08-27,56.24
2014-08-28,55.48
2014-08-29,62.32
2014-08-30,64.6
2014-08-31,67.64
2014-09-01,55.440000000000005
2014-09-02,45.54
2014-09-03,52.14
2014-09-04,42.9
2014-09-05,48.18
2014-09-06,52.14
2014-09-07,48.84
2014-09-08,46.2
2014-09-09,44.88
2014-09-10,49.5
2014-09-11,46.86
2014-09-12,48.84
