date,HD
2013-10-05,56.00000000000001
2013-10-06,52.080000000000005
2013-10-07,43.68000000000001
2013-10-08,42.00000000000001
2013-10-09,40.32000000000001
2013-10-10,40.32000000000001
2013-10-11,45.36000000000001
2013-10-12,50.96000000000001
2013-10-13,49.84
2013-10-14,43.120000000000005
2013-10-15,42.00000000000001
2013-10-16,43.68000000000001
2013-10-17,41.440000000000005
2013-10-18,42.56
2013-10-19,50.96000000000001
2013-10-20,54.32000000000001
2013-10-21,43.120000000000005
2013-10-22,40.88
2013-10-23,43.68000000000001
2013-10-24,43.68000000000001
2013-10-25,43.120000000000005
2013-10-26,49.28
2013-10-27,49.84
2013-10-28,42.56
2013-10-29,40.32000000000001
2013-10-30,42.56
2013-10-31,42.56
2013-11-01,37.8
2013-11-02,44.8
2013-11-03,42.0
2013-11-04,41.3
2013-11-05,35.7
2013-11-06,36.4
2013-11-07,34.3
2013-11-08,36.4
2013-11-09,42.7
2013-11-10,43.4
2013-11-11,40.6
2013-11-12,41.3
2013-11-13,39.2
2013-11-14,37.1
2013-11-15,36.4
2013-11-16,44.1
2013-11-17,46.2
2013-11-18,37.8
2013-11-19,43.4
2013-11-20,39.2
2013-11-21,38.5
2013-11-22,39.9
2013-11-23,51.8
2013-11-24,46.9
2013-11-25,44.1
2013-11-26,44.8
2013-11-27,46.9
2013-11-28,62.99999999999999
2013-11-29,70.0
2013-11-30,61.6
2013-12-01,53.2
2013-12-02,55.48
2013-12-03,45.6
2013-12-04,41.04
2013-12-05,44.08
2013-12-06,43.32
2013-12-07,50.16
2013-12-08,55.48
2013-12-09,44.84
2013-12-10,46.36
2013-12-11,41.04
2013-12-12,40.28
2013-12-13,44.08
2013-12-14,50.92
2013-12-15,51.68
2013-12-16,46.36
2013-12-17,41.8
2013-12-18,44.08
2013-12-19,41.8
2013-12-20,43.32
2013-12-21,53.96
2013-12-22,57.76
2013-12-23,50.92
2013-12-24,51.68
2013-12-25,76.0
2013-12-26,70.68
2013-12-27,57.76
2013-12-28,59.28
2013-12-29,57.76
2013-12-30,48.64
2013-12-31,44.84
2014-01-01,65.34
2014-01-02,56.1
2014-01-03,56.1
2014-01-04,65.34
2014-01-05,66.0
2014-01-06,50.82
2014-01-07,52.8
2014-01-08,49.5
2014-01-09,50.82
2014-01-10,50.16
2014-01-11,62.040000000000006
2014-01-12,61.38
2014-01-13,46.86
2014-01-14,48.18
2014-01-15,51.48
2014-01-16,48.84
2014-01-17,49.5
2014-01-18,62.7
2014-01-19,58.74
2014-01-20,53.46
2014-01-21,48.84
2014-01-22,46.2
2014-01-23,50.82
2014-01-24,46.2
2014-01-25,60.06
2014-01-26,58.080000000000005
2014-01-27,45.54
2014-01-28,44.88
2014-01-29,44.22
2014-01-30,51.48
2014-01-31,45.54
2014-02-01,54.88
2014-02-02,52.080000000000005
2014-02-03,43.68000000000001
2014-02-04,36.96
2014-02-05,45.36000000000001
2014-02-06,39.760000000000005
2014-02-07,48.16
2014-02-08,56.00000000000001
2014-02-09,55.440000000000005
2014-02-10,43.68000000000001
2014-02-11,42.56
2014-02-12,42.56
2014-02-13,44.8
2014-02-14,45.36000000000001
2014-02-15,54.32000000000001
2014-02-16,56.00000000000001
2014-02-17,50.400000000000006
2014-02-18,45.92
2014-02-19,44.8
2014-02-20,42.56
2014-02-21,45.92
2014-02-22,56.00000000000001
2014-02-23,55.440000000000005
2014-02-24,45.36000000000001
2014-02-25,42.00000000000001
2014-02-26,39.760000000000005
2014-02-27,43.68000000000001
2014-02-28,46.48
2014-03-01,54.72
2014-03-02,49.02
2014-03-03,42.18
2014-03-04,41.04
2014-03-05,45.03
2014-03-06,40.47
2014-03-07,43.88999999999999
2014-03-08,51.87
2014-03-09,52.44
2014-03-10,44.46
2014-03-11,43.88999999999999
2014-03-12,43.88999999999999
2014-03-13,42.74999999999999
2014-03-14,48.45
2014-03-15,52.44
2014-03-16,54.72
2014-03-17,42.18
2014-03-18,45.03
2014-03-19,45.6
2014-03-20,42.74999999999999
2014-03-21,47.31
2014-03-22,51.87
2014-03-23,54.15
2014-03-24,44.46
2014-03-25,42.74999999999999
2014-03-26,46.17
2014-03-27,45.03
2014-03-28,45.6
2014-03-29,54.72
2014-03-30,56.99999999999999
2014-03-31,43.88999999999999
2014-04-01,43.92
2014-04-02,45.14
2014-04-03,43.31
2014-04-04,45.75
2014-04-05,53.07
2014-04-06,55.51
2014-04-07,45.14
2014-04-08,45.14
2014-04-09,42.7
2014-04-10,46.36
2014-04-11,45.75
2014-04-12,59.78
2014-04-13,54.29
2014-04-14,44.53
2014-04-15,45.14
2014-04-16,46.36
2014-04-17,43.92
2014-04-18,46.36
2014-04-19,52.46
2014-04-20,61.0
2014-04-21,49.41
2014-04-22,45.75
2014-04-23,46.36
2014-04-24,42.7
2014-04-25,46.36
2014-04-26,48.8
2014-04-27,55.51
2014-04-28,44.53
2014-04-29,46.36
2014-04-30,44.53
2014-05-01,44.16
2014-05-02,45.44
2014-05-03,54.4
2014-05-04,57.6
2014-05-05,44.16
2014-05-06,47.36
2014-05-07,47.36
2014-05-08,46.72
2014-05-09,46.72
2014-05-10,55.68
2014-05-11,61.44
2014-05-12,50.56
2014-05-13,47.36
2014-05-14,46.08
2014-05-15,46.08
2014-05-16,50.56
2014-05-17,59.52
2014-05-18,62.08
2014-05-19,50.56
2014-05-20,47.36
2014-05-21,48.64
2014-05-22,46.72
2014-05-23,51.2
2014-05-24,55.68
2014-05-25,64.0
2014-05-26,58.88
2014-05-27,49.92
2014-05-28,48.0
2014-05-29,49.28
2014-05-30,49.28
2014-05-31,59.52
2014-06-01,59.17
2014-06-02,50.63
2014-06-03,45.75
2014-06-04,46.36
2014-06-05,46.36
2014-06-06,54.9
2014-06-07,57.95
2014-06-08,59.78
2014-06-09,53.68
2014-06-10,50.63
2014-06-11,50.02
2014-06-12,51.24
2014-06-13,56.12
2014-06-14,59.78
2014-06-15,61.0
2014-06-16,50.63
2014-06-17,49.41
2014-06-18,42.7
2014-06-19,51.85
2014-06-20,50.63
2014-06-21,60.39
2014-06-22,57.95
2014-06-23,48.8
2014-06-24,48.8
2014-06-25,46.97
2014-06-26,48.19
2014-06-27,48.8
2014-06-28,59.78
2014-06-29,57.95
2014-06-30,45.75
