date,CRM_unscaled,CRM_monthly,scale,CRM
2013-05-01,86,56.0,0.56,48.160000000000004
2013-05-02,91,56.0,0.56,50.96000000000001
2013-05-03,82,56.0,0.56,45.92
2013-05-04,35,56.0,0.56,19.6
2013-05-05,35,56.0,0.56,19.6
2013-05-06,83,56.0,0.56,46.480000000000004
2013-05-07,98,56.0,0.56,54.88
2013-05-08,90,56.0,0.56,50.400000000000006
2013-05-09,89,56.0,0.56,49.84
2013-05-10,89,56.0,0.56,49.84
2013-05-11,38,56.0,0.56,21.28
2013-05-12,29,56.0,0.56,16.240000000000002
2013-05-13,89,56.0,0.56,49.84
2013-05-14,95,56.0,0.56,53.2
2013-05-15,100,56.0,0.56,56.00000000000001
2013-05-16,83,56.0,0.56,46.480000000000004
2013-05-17,77,56.0,0.56,43.120000000000005
2013-05-18,34,56.0,0.56,19.040000000000003
2013-05-19,33,56.0,0.56,18.48
2013-05-20,91,56.0,0.56,50.96000000000001
2013-05-21,89,56.0,0.56,49.84
2013-05-22,88,56.0,0.56,49.28
2013-05-23,99,56.0,0.56,55.440000000000005
2013-05-24,76,56.0,0.56,42.56
2013-05-25,24,56.0,0.56,13.440000000000001
2013-05-26,25,56.0,0.56,14.000000000000002
2013-05-27,30,56.0,0.56,16.8
2013-05-28,77,56.0,0.56,43.120000000000005
2013-05-29,91,56.0,0.56,50.96000000000001
2013-05-30,94,56.0,0.56,52.64000000000001
2013-05-31,77,56.0,0.56,43.120000000000005
2013-06-01,34,55.0,0.55,18.700000000000003
2013-06-02,29,55.0,0.55,15.950000000000001
2013-06-03,78,55.0,0.55,42.900000000000006
2013-06-04,94,55.0,0.55,51.7
2013-06-05,99,55.0,0.55,54.45
2013-06-06,82,55.0,0.55,45.1
2013-06-07,89,55.0,0.55,48.95
2013-06-08,35,55.0,0.55,19.25
2013-06-09,32,55.0,0.55,17.6
2013-06-10,79,55.0,0.55,43.45
2013-06-11,94,55.0,0.55,51.7
2013-06-12,83,55.0,0.55,45.650000000000006
2013-06-13,84,55.0,0.55,46.2
2013-06-14,80,55.0,0.55,44.0
2013-06-15,31,55.0,0.55,17.05
2013-06-16,23,55.0,0.55,12.65
2013-06-17,79,55.0,0.55,43.45
2013-06-18,100,55.0,0.55,55.00000000000001
2013-06-19,80,55.0,0.55,44.0
2013-06-20,86,55.0,0.55,47.300000000000004
2013-06-21,92,55.0,0.55,50.6
2013-06-22,34,55.0,0.55,18.700000000000003
2013-06-23,22,55.0,0.55,12.100000000000001
2013-06-24,86,55.0,0.55,47.300000000000004
2013-06-25,82,55.0,0.55,45.1
2013-06-26,84,55.0,0.55,46.2
2013-06-27,91,55.0,0.55,50.050000000000004
2013-06-28,77,55.0,0.55,42.35
2013-06-29,25,55.0,0.55,13.750000000000002
2013-06-30,32,55.0,0.55,17.6
2013-07-01,82,51.0,0.51,41.82
2013-07-02,78,51.0,0.51,39.78
2013-07-03,72,51.0,0.51,36.72
2013-07-04,29,51.0,0.51,14.790000000000001
2013-07-05,49,51.0,0.51,24.990000000000002
2013-07-06,27,51.0,0.51,13.77
2013-07-07,24,51.0,0.51,12.24
2013-07-08,86,51.0,0.51,43.86
2013-07-09,87,51.0,0.51,44.37
2013-07-10,86,51.0,0.51,43.86
2013-07-11,91,51.0,0.51,46.410000000000004
2013-07-12,85,51.0,0.51,43.35
2013-07-13,35,51.0,0.51,17.85
2013-07-14,26,51.0,0.51,13.26
2013-07-15,85,51.0,0.51,43.35
2013-07-16,90,51.0,0.51,45.9
2013-07-17,88,51.0,0.51,44.88
2013-07-18,99,51.0,0.51,50.49
2013-07-19,80,51.0,0.51,40.8
2013-07-20,39,51.0,0.51,19.89
2013-07-21,28,51.0,0.51,14.280000000000001
2013-07-22,95,51.0,0.51,48.45
2013-07-23,100,51.0,0.51,51.0
2013-07-24,93,51.0,0.51,47.43
2013-07-25,96,51.0,0.51,48.96
2013-07-26,84,51.0,0.51,42.84
2013-07-27,40,51.0,0.51,20.4
2013-07-28,23,51.0,0.51,11.73
2013-07-29,89,51.0,0.51,45.39
2013-07-30,94,51.0,0.51,47.94
2013-07-31,93,51.0,0.51,47.43
2013-08-01,88,58.0,0.58,51.04
2013-08-02,81,58.0,0.58,46.98
2013-08-03,27,58.0,0.58,15.659999999999998
2013-08-04,29,58.0,0.58,16.82
2013-08-05,77,58.0,0.58,44.66
2013-08-06,93,58.0,0.58,53.94
2013-08-07,96,58.0,0.58,55.67999999999999
2013-08-08,96,58.0,0.58,55.67999999999999
2013-08-09,88,58.0,0.58,51.04
2013-08-10,32,58.0,0.58,18.56
2013-08-11,30,58.0,0.58,17.4
2013-08-12,90,58.0,0.58,52.199999999999996
2013-08-13,90,58.0,0.58,52.199999999999996
2013-08-14,90,58.0,0.58,52.199999999999996
2013-08-15,90,58.0,0.58,52.199999999999996
2013-08-16,77,58.0,0.58,44.66
2013-08-17,32,58.0,0.58,18.56
2013-08-18,29,58.0,0.58,16.82
2013-08-19,91,58.0,0.58,52.779999999999994
2013-08-20,86,58.0,0.58,49.879999999999995
2013-08-21,98,58.0,0.58,56.839999999999996
2013-08-22,88,58.0,0.58,51.04
2013-08-23,85,58.0,0.58,49.3
2013-08-24,32,58.0,0.58,18.56
2013-08-25,32,58.0,0.58,18.56
2013-08-26,82,58.0,0.58,47.559999999999995
2013-08-27,100,58.0,0.58,57.99999999999999
2013-08-28,96,58.0,0.58,55.67999999999999
2013-08-29,89,58.0,0.58,51.62
2013-08-30,91,58.0,0.58,52.779999999999994
2013-08-31,27,58.0,0.58,15.659999999999998
2013-09-01,28,51.0,0.51,14.280000000000001
2013-09-02,33,51.0,0.51,16.830000000000002
2013-09-03,83,51.0,0.51,42.33
2013-09-04,90,51.0,0.51,45.9
2013-09-05,88,51.0,0.51,44.88
2013-09-06,89,51.0,0.51,45.39
2013-09-07,30,51.0,0.51,15.3
2013-09-08,28,51.0,0.51,14.280000000000001
2013-09-09,88,51.0,0.51,44.88
2013-09-10,90,51.0,0.51,45.9
2013-09-11,91,51.0,0.51,46.410000000000004
2013-09-12,93,51.0,0.51,47.43
2013-09-13,83,51.0,0.51,42.33
2013-09-14,37,51.0,0.51,18.87
2013-09-15,35,51.0,0.51,17.85
2013-09-16,75,51.0,0.51,38.25
2013-09-17,95,51.0,0.51,48.45
2013-09-18,88,51.0,0.51,44.88
2013-09-19,91,51.0,0.51,46.410000000000004
2013-09-20,79,51.0,0.51,40.29
2013-09-21,29,51.0,0.51,14.790000000000001
2013-09-22,23,51.0,0.51,11.73
2013-09-23,86,51.0,0.51,43.86
2013-09-24,97,51.0,0.51,49.47
2013-09-25,96,51.0,0.51,48.96
2013-09-26,100,51.0,0.51,51.0
2013-09-27,81,51.0,0.51,41.31
2013-09-28,38,51.0,0.51,19.38
2013-09-29,26,51.0,0.51,13.26
2013-09-30,88,51.0,0.51,44.88
2013-10-01,85,59.0,0.59,50.15
2013-10-02,87,59.0,0.59,51.33
2013-10-03,97,59.0,0.59,57.23
2013-10-04,83,59.0,0.59,48.97
2013-10-05,27,59.0,0.59,15.93
2013-10-06,29,59.0,0.59,17.11
2013-10-07,82,59.0,0.59,48.379999999999995
2013-10-08,88,59.0,0.59,51.919999999999995
2013-10-09,100,59.0,0.59,59.0
2013-10-10,88,59.0,0.59,51.919999999999995
2013-10-11,74,59.0,0.59,43.66
2013-10-12,38,59.0,0.59,22.419999999999998
2013-10-13,26,59.0,0.59,15.34
2013-10-14,81,59.0,0.59,47.79
2013-10-15,79,59.0,0.59,46.61
2013-10-16,91,59.0,0.59,53.69
2013-10-17,89,59.0,0.59,52.51
2013-10-18,89,59.0,0.59,52.51
2013-10-19,34,59.0,0.59,20.06
2013-10-20,33,59.0,0.59,19.47
2013-10-21,93,59.0,0.59,54.87
2013-10-22,93,59.0,0.59,54.87
2013-10-23,90,59.0,0.59,53.099999999999994
2013-10-24,95,59.0,0.59,56.05
2013-10-25,69,59.0,0.59,40.71
2013-10-26,33,59.0,0.59,19.47
2013-10-27,31,59.0,0.59,18.29
2013-10-28,80,59.0,0.59,47.199999999999996
2013-10-29,91,59.0,0.59,53.69
2013-10-30,91,59.0,0.59,53.69
2013-10-31,94,59.0,0.59,55.459999999999994
2013-11-01,74,54.0,0.54,39.96
2013-11-02,30,54.0,0.54,16.200000000000003
2013-11-03,26,54.0,0.54,14.040000000000001
2013-11-04,87,54.0,0.54,46.980000000000004
2013-11-05,83,54.0,0.54,44.82
2013-11-06,92,54.0,0.54,49.68000000000001
2013-11-07,82,54.0,0.54,44.28
2013-11-08,85,54.0,0.54,45.900000000000006
2013-11-09,33,54.0,0.54,17.82
2013-11-10,29,54.0,0.54,15.66
2013-11-11,77,54.0,0.54,41.580000000000005
2013-11-12,93,54.0,0.54,50.220000000000006
2013-11-13,90,54.0,0.54,48.6
2013-11-14,79,54.0,0.54,42.660000000000004
2013-11-15,83,54.0,0.54,44.82
2013-11-16,31,54.0,0.54,16.740000000000002
2013-11-17,24,54.0,0.54,12.96
2013-11-18,90,54.0,0.54,48.6
2013-11-19,100,54.0,0.54,54.0
2013-11-20,93,54.0,0.54,50.220000000000006
2013-11-21,82,54.0,0.54,44.28
2013-11-22,77,54.0,0.54,41.580000000000005
2013-11-23,33,54.0,0.54,17.82
2013-11-24,24,54.0,0.54,12.96
