Date,PX_LAST,Change,% Change,PX_VOLUME,Change.1,% Change.1
2023-12-29,25.8172,-0.4845000000000006,-1.8420862529798476,10859224,2959318.0,37.46016724755965
2023-12-28,26.3017,-0.03950000000000031,-0.14995520325573744,7899906,-365584.0,-4.423016663258924
2023-12-27,26.3412,0.029700000000001836,0.11287839917907318,8265490,-1915568.0,-18.81501902847425
2023-12-26,26.3115,0.38560000000000016,1.4873157730300595,10181058,403943.0,4.1315152782799425
2023-12-22,25.9259,0.15819999999999723,0.6139469180407923,9777115,-891346.0,-8.35496328851931
2023-12-21,25.7677,0.6525999999999996,2.5984367969866717,10668461,332805.0,3.2199697822760354
2023-12-20,25.1151,-0.6228999999999978,-2.4201569663532436,10335656,-2167855.0,-17.337970110955236
2023-12-19,25.738,1.0381999999999998,4.203272900995149,12503511,1347356.0,12.077243458879874
2023-12-18,24.6998,-0.2176000000000009,-0.8732853347460043,11156155,-11161022.0,-50.01090415691913
2023-12-15,24.9174,0.05940000000000012,0.23895727733526478,22317177,-766373.0,-3.3199962744032003
2023-12-14,24.858,0.5043000000000006,2.070732578622553,23083550,3931228.0,20.52611688546172
2023-12-13,24.3537,1.6809000000000012,7.413729226209385,19152322,395289.0,2.1074175217370468
2023-12-12,22.6728,-0.06920000000000215,-0.3042828247295847,18757033,489021.0,2.6769251082164827
2023-12-11,22.742,-0.15820000000000078,-0.6908236609287289,18268012,704159.0,4.009137402823857
2023-12-08,22.9002,0.24720000000000297,1.0912461925572903,17563853,-9502068.0,-35.10712973705938
2023-12-07,22.653,1.5127999999999986,7.156034474602882,27065921,12941086.0,91.6193782086658
2023-12-06,21.1402,0.860199999999999,4.241617357001967,14124835,5192681.0,58.13470076758641
2023-12-05,20.28,-0.27679999999999794,-1.3465130759651207,8932154,-723273.0,-7.490844268202743
2023-12-04,20.5568,0.0,0.0,9655427,-2702639.0,-21.86943329158462
2023-12-01,20.5568,0.8403999999999989,4.262441419326038,12358066,-582782.0,-4.503429759780812
2023-11-30,19.7164,-0.03950000000000031,-0.19994027100764994,12940848,1685666.0,14.976799131280151
2023-11-29,19.7559,0.0,0.0,11255182,-1304184.0,-10.384154741568961
2023-11-28,19.7559,-0.12849999999999895,-0.6462352396853762,12559366,413153.0,3.4014964170313826
2023-11-27,19.8844,-0.7317,-3.549167883353302,12146213,7828914.0,181.33823948723497
2023-11-24,20.6161,0.15820000000000078,0.7732954017763348,4317299,-3364977.0,-43.80182383449905
2023-11-22,20.4579,-0.28680000000000305,-1.3825218007491216,7682276,-15020.0,-0.19513345985395392
2023-11-21,20.7447,-0.049399999999998556,-0.23756738690300883,7697296,-2973126.0,-27.863246645727788
2023-11-20,20.7941,-0.18789999999999907,-0.8955295014774525,10670422,-1311407.0,-10.944965080039117
2023-11-17,20.982,0.46470000000000056,2.264917898553906,11981829,1259129.0,11.742648773163475
2023-11-16,20.5173,-0.7910000000000004,-3.7121684977215472,10722700,-843304.0,-7.291230402479543
2023-11-15,21.3083,0.45479999999999876,2.180928860862679,11566004,833917.0,7.770315317048771
2023-11-14,20.8535,0.9097000000000008,4.5613173016175494,10732087,1108937.0,11.523638309701086
2023-11-13,19.9438,-0.10869999999999891,-0.5420770477496517,9623150,807655.0,9.161765731816534
2023-11-10,20.0525,0.29939999999999856,1.5157114579483653,8815495,529459.0,6.389774314280073
2023-11-09,19.7531,-0.5313000000000017,-2.619254205202035,8286036,225699.0,2.800118655088491
2023-11-08,20.2844,-0.627799999999997,-3.002075343579332,8060337,1392892.0,20.890940982640277
2023-11-07,20.9122,-0.11589999999999989,-0.5511672476353066,6667445,-981542.0,-12.832313612246955
2023-11-06,21.0281,-0.328400000000002,-1.5377051483155106,7648987,-728756.0,-8.698715155143814
2023-11-03,21.3565,0.5892000000000017,2.8371526390045974,8377743,-933261.0,-10.023204801544495
2023-11-02,20.7673,0.8402999999999992,4.216891654539063,9311004,-6844012.0,-42.364625327514375
2023-11-01,19.927,-0.43459999999999965,-2.134409869558383,16155016,4300404.0,36.27621047403323
2023-10-31,20.3616,-0.019400000000000972,-0.09518669348903867,11854612,2614726.0,28.29824956714834
2023-10-30,20.381,-0.03859999999999886,-0.1890340653097948,9239886,31284.0,0.3397258346055134
2023-10-27,20.4196,-0.5409000000000006,-2.5805682116361757,9208602,376106.0,4.258207419510861
2023-10-26,20.9605,0.028999999999999915,0.1385471657549622,8832496,-1575861.0,-15.140343475920359
2023-10-25,20.9315,0.28969999999999985,1.4034628762995467,10408357,250661.0,2.4676954301447886
2023-10-24,20.6418,-0.5699000000000005,-2.6867247792491904,10157696,-9763398.0,-49.01035053596956
2023-10-23,21.2117,0.6762000000000015,3.2928343600107204,19921094,6365588.0,46.9594274090543
2023-10-20,20.5355,0.2897999999999996,1.4314150659152296,13555506,2692044.0,24.78071907463753
2023-10-19,20.2457,-0.2801000000000009,-1.3646240341424007,10863462,-6684716.0,-38.09350463620782
2023-10-18,20.5258,-1.5455000000000005,-7.002306162301272,17548178,4907515.0,38.82324052148214
2023-10-17,22.0713,0.06760000000000232,0.30722105827657314,12640663,-3105160.0,-19.720531597490968
2023-10-16,22.0037,-0.4540000000000006,-2.0215783450665055,15745823,-5235795.0,-24.954200386261917
2023-10-13,22.4577,-0.9080000000000013,-3.8860380814612925,20981618,-14237060.0,-40.42474280266852
2023-10-12,23.3657,1.5359000000000016,7.035795105772849,35218678,17563712.0,99.48312559763639
2023-10-11,21.8298,0.21249999999999858,0.983008978919655,17654966,9912022.0,128.01360826063058
